areas,bathrooms,bedrooms,latitude,longitude,r$_pmo,coord
87.0,2.0,3.0,-22.9966799,-43.4249176,1800,"(-22.9966799, -43.4249176)"
80.0,1.0,2.0,-22.877274300000003,-43.4301032,1000,"(-22.877274300000003, -43.4301032)"
91.0,2.0,2.0,-23.0143229,-43.2972041,4900,"(-23.0143229, -43.2972041)"
85.0,1.0,2.0,-22.9166067,-43.3698172,1200,"(-22.9166067, -43.3698172)"
152.0,3.0,4.0,-22.9864374,-43.20719879999999,6000,"(-22.9864374, -43.20719879999999)"
35.0,1.0,1.0,-22.8702644,-43.2512759,850,"(-22.8702644, -43.2512759)"
150.0,3.0,3.0,-22.9841897,-43.2223282,12000,"(-22.9841897, -43.2223282)"
78.0,2.0,2.0,-22.8887124,-43.2681563,1000,"(-22.8887124, -43.2681563)"
80.0,2.0,2.0,-22.9805083,-43.2134793,3500,"(-22.9805083, -43.2134793)"
212.0,4.0,4.0,-22.9862574,-43.1922967,9000,"(-22.9862574, -43.1922967)"
120.0,2.0,2.0,-22.9805083,-43.2134793,8000,"(-22.9805083, -43.2134793)"
113.0,2.0,3.0,-22.9662234,-43.3827688,4000,"(-22.9662234, -43.3827688)"
72.0,2.0,2.0,-22.9732812,-43.3792193,3000,"(-22.9732812, -43.3792193)"
77.0,2.0,2.0,-22.9883399,-43.3529408,2700,"(-22.9883399, -43.3529408)"
205.0,4.0,4.0,-22.9840518,-43.2215379,13000,"(-22.9840518, -43.2215379)"
63.0,2.0,2.0,-22.841664,-43.2644477,1100,"(-22.841664, -43.2644477)"
79.0,2.0,2.0,-22.9137898,-43.2662065,790,"(-22.9137898, -43.2662065)"
144.0,3.0,3.0,-23.018515100000002,-43.4634021,2800,"(-23.018515100000002, -43.4634021)"
26.0,1.0,1.0,-22.8147968,-43.3181717,700,"(-22.8147968, -43.3181717)"
59.0,2.0,2.0,-22.9248493,-43.3596031,1100,"(-22.9248493, -43.3596031)"
60.0,,2.0,-22.8496243,-43.3354635,1000,"(-22.8496243, -43.3354635)"
176.0,2.0,3.0,-22.937072600000004,-43.3354416,2900,"(-22.937072600000004, -43.3354416)"
108.0,3.0,3.0,-22.9073832,-43.2876155,2500,"(-22.9073832, -43.2876155)"
450.0,3.0,3.0,-22.984338600000005,-43.2328045,15000,"(-22.984338600000005, -43.2328045)"
52.0,1.0,2.0,-22.9690341,-43.1870259,1900,"(-22.9690341, -43.1870259)"
80.0,2.0,1.0,-22.8953827,-43.1154167,600,"(-22.8953827, -43.1154167)"
70.0,2.0,2.0,-22.9176624,-43.24595770000001,1200,"(-22.9176624, -43.24595770000001)"
90.0,2.0,2.0,-22.92292,-43.24442370000001,1600,"(-22.92292, -43.24442370000001)"
280.0,3.0,4.0,-22.9843423,-43.2007642,14000,"(-22.9843423, -43.2007642)"
95.0,,2.0,-22.9323641,-43.1821872,2800,"(-22.9323641, -43.1821872)"
61.0,1.0,2.0,-22.9050183,-43.2907075,850,"(-22.9050183, -43.2907075)"
450.0,7.0,4.0,-22.9997388,-43.2684256,18000,"(-22.9997388, -43.2684256)"
680.0,5.0,4.0,-22.9766415,-43.188297,27000,"(-22.9766415, -43.188297)"
235.0,,3.0,-22.9282465,-43.170790419174786,17000,"(-22.9282465, -43.170790419174786)"
166.0,2.0,3.0,-22.9821776,-43.2133851,7500,"(-22.9821776, -43.2133851)"
117.0,1.0,2.0,-22.9663701,-43.1901344,3000,"(-22.9663701, -43.1901344)"
350.0,,4.0,-22.9318016,-43.1823899,10000,"(-22.9318016, -43.1823899)"
50.0,1.0,1.0,-22.9095503,-43.185599,1300,"(-22.9095503, -43.185599)"
70.0,1.0,2.0,-22.928988,-43.3534191,1400,"(-22.928988, -43.3534191)"
64.0,1.0,2.0,-23.004933800000003,-43.3312167,2200,"(-23.004933800000003, -43.3312167)"
130.0,3.0,2.0,-22.985511,-43.19287620000001,5000,"(-22.985511, -43.19287620000001)"
64.0,,2.0,-22.88537,-43.3527065,1000,"(-22.88537, -43.3527065)"
69.0,1.0,2.0,-22.934253100000006,-43.3513689,1500,"(-22.934253100000006, -43.3513689)"
82.0,3.0,2.0,-22.9920076,-43.4023471,2500,"(-22.9920076, -43.4023471)"
65.0,2.0,2.0,-22.9014952,-43.3525042,650,"(-22.9014952, -43.3525042)"
94.0,4.0,2.0,-22.9130141,-43.2167248,2800,"(-22.9130141, -43.2167248)"
60.0,2.0,2.0,-22.9665038,-43.3713193,1300,"(-22.9665038, -43.3713193)"
60.0,2.0,1.0,-22.9219495,-43.2345965,1950,"(-22.9219495, -43.2345965)"
70.0,2.0,2.0,-22.8355116,-43.3182064,800,"(-22.8355116, -43.3182064)"
78.0,2.0,2.0,-22.9757782,-43.373473,2600,"(-22.9757782, -43.373473)"
65.0,,2.0,-22.892945,-43.2891639,1390,"(-22.892945, -43.2891639)"
70.0,2.0,2.0,-22.8974155,-43.30709210000001,900,"(-22.8974155, -43.30709210000001)"
84.0,2.0,2.0,-22.9396582,-43.3369363,1400,"(-22.9396582, -43.3369363)"
70.0,2.0,2.0,-22.9451467,-43.3374151,1590,"(-22.9451467, -43.3374151)"
70.0,2.0,2.0,-22.9708126,-43.3943784,2300,"(-22.9708126, -43.3943784)"
54.0,2.0,2.0,-22.8947555,-43.2215672,1600,"(-22.8947555, -43.2215672)"
92.0,3.0,2.0,-23.0048388,-43.3662798,2600,"(-23.0048388, -43.3662798)"
71.0,2.0,2.0,-22.9264873,-43.2362387,1700,"(-22.9264873, -43.2362387)"
134.0,4.0,4.0,-22.9790043,-43.21843320000001,6500,"(-22.9790043, -43.21843320000001)"
150.0,2.0,3.0,-22.9831584,-43.2050161,4000,"(-22.9831584, -43.2050161)"
92.0,2.0,3.0,-22.8128362,-43.2007792,1700,"(-22.8128362, -43.2007792)"
51.0,2.0,2.0,-22.9785558,-43.4178749,1300,"(-22.9785558, -43.4178749)"
70.0,2.0,2.0,-22.8306464,-43.3137382,1500,"(-22.8306464, -43.3137382)"
72.0,,2.0,-22.999740399999997,-43.3659929,2100,"(-22.999740399999997, -43.3659929)"
50.0,1.0,1.0,-22.9535105,-43.1815368,2000,"(-22.9535105, -43.1815368)"
120.0,3.0,3.0,-27.5660564,-53.9719817,4500,"(-27.5660564, -53.9719817)"
80.0,1.0,1.0,-23.0048388,-43.3662798,3300,"(-23.0048388, -43.3662798)"
56.0,2.0,2.0,-22.9277167,-43.3590896,1600,"(-22.9277167, -43.3590896)"
50.0,1.0,1.0,-22.989396600000006,-43.2304766,1700,"(-22.989396600000006, -43.2304766)"
60.0,1.0,2.0,-22.8966014,-43.3447441,800,"(-22.8966014, -43.3447441)"
