,address,areas,bathrooms,bedrooms,parking-spaces,price,price-item-0,price-item-1,
11,"Avenida Braz de Pina, Penha Circular",58 m²,2,2,1,R$ 950 /mês,condomínio R$ 550,IPTU R$ 101,
12,"Rua Adalberto Ferreira, Leblon",120 m²,,2,,R$ 10.500 /mês,condomínio R$ 1.565,IPTU R$ 699,
13,"Avenida Lúcio Costa, Barra da Tijuca",143 m²,3,3,2,R$ 5.000 /mês,condomínio R$ 2.120,IPTU R$ 856,
14,"Rua do Bispo, Rio Comprido",66 m²,1,1,1,R$ 1.500 /mês,condomínio R$ 576,IPTU R$ 53,
15,"Avenida Rui Barbosa, Flamengo",250 m²,3,3,1,R$ 7.000 /mês,condomínio R$ 1.640,IPTU R$ 860,
16,"Rua Visconde de Santa Isabel, Vila Isabel",52 m²,1,1,2,R$ 1.400 /mês,condomínio R$ 500,,
17,"Ipanema, Rio de Janeiro",180 m²,3,4,1,R$ 12.850 /mês,condomínio R$ 2.900,IPTU R$ 1.250,
18,"Rua Ipanema, Barra da Tijuca",161 m²,2,3,2,R$ 4.500 /mês,condomínio R$ 2.478,IPTU R$ 451,
19,"Avenida Malibu, Barra da Tijuca",65 m²,,1,1,R$ 2.350 /mês,,,
20,"Rua Correa Dutra, Flamengo",44 m²,,1,1,R$ 2.000 /mês,condomínio R$ 720,IPTU R$ 118,
21,"Rua Figueiredo Magalhães, Copacabana",30 m²,1,1,,R$ 1.200 /mês,condomínio R$ 850,IPTU R$ 60,
22,"Rua Evandro de Castro Lima, Recreio dos Bandeirantes",76 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 785,IPTU R$ 113,
23,"Avenida Niemeyer, São Conrado",133 m²,2,3,1,R$ 3.500 /mês,condomínio R$ 1.606,IPTU R$ 340,
24,"Rua Marquês de São Vicente, Gávea",75 m²,2,2,1,R$ 4.400 /mês,condomínio R$ 830,IPTU R$ 1.745,
25,"Rua Soldado Constantino Maroqui, Pedra de Guaratiba",169 m²,2,2,,R$ 850 /mês,condomínio R$ 150,IPTU R$ 134,
26,"Avenida das Américas, Recreio dos Bandeirantes",70 m²,1,3,1,R$ 1.600 /mês,condomínio R$ 1.000,IPTU R$ 183,
27,"Rua Murundu, Padre Miguel",52 m²,1,2,1,R$ 850 /mês,,,
28,"Estrada do Rio Grande, Jacarepaguá",200 m²,3,3,2,R$ 2.500 /mês,condomínio R$ 462,IPTU R$ 250,
29,"Rua Babaçu, Jardim Guanabara",54 m²,1,2,1,R$ 1.200 /mês,condomínio R$ 385,IPTU R$ 82,
30,"Avenida Salvador Allende, Recreio dos Bandeirantes",87 m²,2,3,2,R$ 1.800 /mês,condomínio R$ 1.200,IPTU R$ 200,
31,"Rua Artur Tavares da Silva, Realengo",80 m²,1,2,,R$ 1.000 /mês,,,
32,"Avenida Pepe, Barra da Tijuca",91 m²,2,2,1,R$ 4.900 /mês,condomínio R$ 3.427,IPTU R$ 622,
33,"Rua Brigadeiro João Manuel, Tanque",85 m²,1,2,1,R$ 1.200 /mês,IPTU R$ 54,,
34,"Rua Maria Quitéria, Ipanema",152 m²,3,4,2,R$ 6.000 /mês,condomínio R$ 2.200,IPTU R$ 750,
35,"Rua Pesqueira, Bonsucesso",35 m²,1,1,,R$ 850 /mês,IPTU R$ 14,,
0,"Rua João Líra, Leblon",150 m²,3,3,1,R$ 12.000 /mês,condomínio R$ 224.600,IPTU R$ 62.800,
1,"Rua Basílio de Brito, Cachambi",78 m²,2,2,1,R$ 1.000 /mês,condomínio R$ 650,,
2,"Avenida Epitácio Pessoa, Ipanema",80 m²,2,2,1,R$ 3.500 /mês,condomínio R$ 1.160,,
4,"Rua Joaquim Nabuco, Copacabana",212 m²,4,4,2,R$ 9.000 /mês,condomínio R$ 2.200,IPTU R$ 914,
5,"Avenida Epitácio Pessoa, Ipanema",120 m²,2,2,1,R$ 8.000 /mês,condomínio R$ 3.699,IPTU R$ 574,
