address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Avenida Visconde de Albuquerque, Leblon",140 m²,4.0,3.0,1.0,R$ 7.500 /mês,condomínio R$ 1.500,IPTU R$ 581,-22.9877577,-43.2286995,Avenida Visconde de Albuquerque, Leblon,7500,1743.35
"Rua Coronel Paulo Malta Rezende, Barra da Tijuca",65 m²,2.0,2.0,1.0,R$ 2.200 /mês,condomínio R$ 713,IPTU R$ 229,-23.004933800000003,-43.3312167,Rua Coronel Paulo Malta Rezende, Barra da Tijuca,2200,511.38
"Rua Retiro dos Artistas, Pechincha",62 m²,2.0,2.0,1.0,R$ 1.300 /mês,condomínio R$ 550,IPTU R$ 88,-22.930480300000003,-43.3555556,Rua Retiro dos Artistas, Pechincha,1300,302.18
"Rua Paulo Moura, Barra da Tijuca",82 m²,3.0,2.0,1.0,R$ 2.200 /mês,condomínio R$ 950,IPTU R$ 280,-22.9920076,-43.4023471,Rua Paulo Moura, Barra da Tijuca,2200,511.38
"Rua Bolivar, Copacabana",57 m²,1.0,1.0,,R$ 1.600 /mês,condomínio R$ 608,IPTU R$ 121,-22.975793300000003,-43.1912304,Rua Bolivar, Copacabana,1600,371.91
"Rua Ituverava, Anil",75 m²,2.0,2.0,,R$ 1.500 /mês,condomínio R$ 300,IPTU R$ 75,-22.9454515,-43.33619829999999,Rua Ituverava, Anil,1500,348.67
"Rua Siqueira Campos, Copacabana",65 m²,1.0,2.0,,R$ 1.900 /mês,,,-22.968515300000004,-43.1850961,Rua Siqueira Campos, Copacabana,1900,441.65
"Avenida José Luiz Ferraz, Recreio dos Bandeirantes",92 m²,2.0,3.0,1.0,R$ 1.900 /mês,condomínio R$ 97.000,IPTU R$ 230,-23.0217111,-43.486967799999995,Avenida José Luiz Ferraz, Recreio dos Bandeirantes,1900,441.65
"Rua Ribeiro Guimarães, Vila Isabel",70 m²,2.0,2.0,2.0,R$ 2.000 /mês,condomínio R$ 745,IPTU R$ 103,-22.9190092,-43.2373143,Rua Ribeiro Guimarães, Vila Isabel,2000,464.89
"Estrada Pau-ferro, Pechincha",55 m²,2.0,2.0,1.0,R$ 1.700 /mês,condomínio R$ 342,IPTU R$ 94,-22.928988,-43.3534191,Estrada Pau-ferro, Pechincha,1700,395.16
"Praia do Jequia, Ribeira",105 m²,3.0,2.0,1.0,R$ 2.000 /mês,condomínio R$ 510,,-22.8264095,-43.1726886,Praia do Jequia, Ribeira,2000,464.89
