price,title,furnishing,tenants preferred,bathroom,availability,latitude,longitude,balcony,floor,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 45,000","3 BHK Apartment for rent in Aditya Sunshine, Hitech City 2500 sqft",,,,,17.46539,78.3712816666667,,,,,,,₹,False,45000.0,630.99
"₹ 25,000",3 BHK Apartment for rent in kphb phase 6 1530 sqft,Semi-Furnished,Family,2,Immediately,17.4939602,78.4008412,3,1 out of 5 Floors,East,,1 Covered,,₹,False,25000.0,350.55
"₹ 35,000","3 BHK Villa for rent in Alkapur Township, Manikonda, Outer Ring Road 2600 sqft",Furnished,Bachelors/Family,4,Immediately,,,2,,,,,,₹,False,35000.0,490.77
"₹ 11,000","2 BHK House for rent in Kalyan Puri, Secunderabad 1200 sqft",Furnished,Family,2,Immediately,17.413158416748,78.5576400756836,2,1 out of 2 Floors,East,Main Road,1 Open,Same Premise,₹,False,11000.0,154.24
"₹ 25,600","2 BHK House for rent in Rajarajeshwari Nagar, Kondapur 1200 sqft",Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 4 Floors,,,,,₹,False,25600.0,358.96
"₹ 23,000",2 BHK Apartment for rent in Kondapur 1200 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.462682723999027,78.35317993164062,2,1 out of 6 Floors,,,,,₹,False,23000.0,322.51
"₹ 16,000","2 BHK Apartment for rent in Kukatpally, NH 9 1050 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.4930841,78.4054408,,2 out of 5 Floors,,,,,₹,False,16000.0,224.35
"₹ 15,000","2 BHK House for rent in Gayatri Nagar, Medbowli, Inner Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 3 Floors,,,,,₹,False,15000.0,210.33
"₹ 15,000",3 BHK Apartment for rent in Kompally 1530 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,18.0823869,78.003997,,2 out of 4 Floors,,,,,₹,False,15000.0,210.33
"₹ 21,000",3 BHK Apartment for rent in Sai Nagar-Uppal 1605 sqft,Furnished,Bachelors,3,Immediately,17.400156021118164,78.5891342163086,1,3 out of 5 Floors,,,,,₹,False,21000.0,294.46
"₹ 9,500","2 BHK House for rent in West Venkatapuram, Secunderabad, Siddipet Road 1000 sqft",Furnished,Family,2,Immediately,,,,Ground out of 1 Floor,,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,9500.0,133.21
"₹ 36,500",2 BHK Apartment for rent in Madhapur 1290 sqft,Furnished,Bachelors,3,Immediately,17.4408578,78.3916289,2,1 out of 9 Floors,North - West,Garden/Park,,,₹,False,36500.0,511.8
"₹ 10,000","2 BHK Villa for rent in Peerzadiguda, NH 2 2 1750 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.3945004,78.5925253,,,,,,,₹,False,10000.0,140.22
"₹ 6,500","1 BHK Penthouse for rent in Chandanagar, NH 9",Unfurnished,Bachelors,1,Immediately,17.509449005126953,78.31008911132812,1,2 out of 2 Floors,East,,,,₹,False,6500.0,91.14
"₹ 16,500","2 BHK Apartment for rent in Miyapur, NH 9 1050 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.521093368530273,78.34429931640625,,2 out of 5 Floors,,,,,₹,False,16500.0,231.36
"₹ 10,000","2 BHK House for rent in LB Nagar, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.362995147705078,78.55517578125,1,2 out of 2 Floors,North,Main Road,,,₹,False,10000.0,140.22
"₹ 28,000",2 BHK Apartment for rent in Kondapur 1250 sqft,Furnished,Bachelors/Family,2,Immediately,18.3309604,79.9224686,,1 out of 5 Floors,,,,,₹,False,28000.0,392.62
"₹ 25,000","3 BHK Apartment for rent in Domalguda, Himayath Nagar, NH 7 1575 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,4 out of 5 Floors,,,,,₹,False,25000.0,350.55
"₹ 22,000","3 BHK House for rent in Concrete OU Colony, Tanasha Nagar, Outer Ring Road 1850 sqft",,,,,17.408002399999997,78.3915439,,,,,,,₹,False,22000.0,308.48
"₹ 16,500","3 BHK Apartment for rent in Trident Grande, Kompally 1898 sqft",,,,,17.5622357986078,78.4880920923764,,,,,,,₹,False,16500.0,231.36
"₹ 15,000","2 BHK Apartment for rent in Gudi Malkapur, Mehdipatnam 1000 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.38923454284668,78.4422378540039,,5 out of 5 Floors,East,,"1 Covered, 1 Open",,₹,False,15000.0,210.33
"₹ 16,000",2 BHK Apartment for rent in Moghalpura 160 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.3575281,78.4770839,,1 out of 3 Floors,,,,,₹,False,16000.0,224.35
"₹ 13,000","3 BHK Apartment for rent in Bachupally, Outer Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,1 out of 5 Floors,,,,,₹,False,13000.0,182.29
"₹ 25,000","2 BHK Apartment for rent in SMR Vinay Harmony County, Appa junction 1285 sqft",,,,,17.350308,78.389608,,,,,,,₹,False,25000.0,350.55
"₹ 23,000","3 BHK Builder Floor for rent in Hyder Nagar, NH 9 1500 sqft",Furnished,Bachelors/Family,2,Immediately,11.9249106,79.8304047,,1 out of 2 Floors,East,,1 Covered,,₹,False,23000.0,322.51
"₹ 20,000","2 BHK Apartment for rent in Sai Keerthi Estates, Chandanagar, NH 9 1200 sqft",,,,,17.4990705,78.3228208,,,,,,,₹,False,20000.0,280.44
"₹ 27,000","3 BHK Apartment for rent in Aditya Imperial Heights, Hafeezpet, NH 9",,,,,17.4851348,78.358788,,,,,,,₹,False,27000.0,378.59
