areas,bathrooms,bedrooms,r$_pmo,coord,class
60.0,,2.0,1000,"(-22.849624300000002, -43.3354635)",0.0
176.0,2.0,3.0,2900,"(-22.937072600000004, -43.3354416)",0.0
108.0,3.0,3.0,2500,"(-22.907383199999998, -43.2876155)",0.0
450.0,3.0,3.0,15000,"(-22.984338600000005, -43.2328045)",0.0
52.0,1.0,2.0,1900,"(-22.969034100000002, -43.187025899999995)",0.0
80.0,2.0,1.0,600,"(-22.8953827, -43.115416700000004)",0.0
70.0,2.0,2.0,1200,"(-22.917662399999998, -43.24595770000001)",0.0
90.0,2.0,2.0,1600,"(-22.92292, -43.24442370000001)",0.0
280.0,3.0,4.0,14000,"(-22.9843423, -43.2007642)",0.0
95.0,,2.0,2800,"(-22.9323641, -43.1821872)",0.0
61.0,1.0,2.0,850,"(-22.905018300000002, -43.2907075)",0.0
450.0,7.0,4.0,18000,"(-22.9997388, -43.2684256)",0.0
680.0,5.0,4.0,27000,"(-22.9766415, -43.188297)",0.0
235.0,,3.0,17000,"(-22.9282465, -43.170790419174786)",0.0
166.0,2.0,3.0,7500,"(-22.9821776, -43.2133851)",0.0
117.0,1.0,2.0,3000,"(-22.9663701, -43.1901344)",0.0
350.0,,4.0,10000,"(-22.9318016, -43.1823899)",0.0
50.0,1.0,1.0,1300,"(-22.9095503, -43.185598999999996)",0.0
70.0,1.0,2.0,1400,"(-22.928988, -43.353419099999996)",1.0
64.0,1.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0
130.0,3.0,2.0,5000,"(-22.985511, -43.19287620000001)",0.0
64.0,,2.0,1000,"(-22.88537, -43.352706500000004)",0.0
69.0,1.0,2.0,1500,"(-22.93425310000001, -43.351368900000004)",0.0
82.0,3.0,2.0,2500,"(-22.9920076, -43.4023471)",0.0
65.0,2.0,2.0,650,"(-22.9014952, -43.3525042)",0.0
94.0,4.0,2.0,2800,"(-22.9130141, -43.216724799999994)",0.0
60.0,2.0,2.0,1300,"(-22.9665038, -43.371319299999996)",0.0
60.0,2.0,1.0,1950,"(-22.9219495, -43.2345965)",0.0
70.0,2.0,2.0,800,"(-22.8355116, -43.3182064)",0.0
78.0,2.0,2.0,2600,"(-22.9757782, -43.373473)",0.0
65.0,,2.0,1390,"(-22.892945, -43.2891639)",0.0
70.0,2.0,2.0,900,"(-22.8974155, -43.30709210000001)",0.0
