areas,bathrooms,bedrooms,r$_pmo,coord,class
,,3.0,2600,"(-23.004016800000002, -43.3247702)",0.0
,,2.0,2400,"(-23.014923800000002, -43.407209)",0.0
,,1.0,3250,"(-22.9732812, -43.379219299999995)",0.0
,,3.0,4500,"(-22.984338600000005, -43.2328045)",0.0
,,3.0,4200,"(-23.0248278, -43.45716289999999)",0.0
95.0,2.0,2.0,3000,"(-22.983158399999997, -43.2050161)",0.0
85.0,2.0,2.0,2800,"(-23.001908, -43.3501969)",0.0
87.0,1.0,2.0,5500,"(-22.9855992, -43.1969718)",0.0
70.0,3.0,2.0,2900,"(-22.9641285, -43.2174013)",0.0
370.0,3.0,4.0,25000,"(-22.986815, -43.23017279999999)",0.0
124.0,4.0,2.0,4200,"(-23.014923800000002, -43.407209)",0.0
123.0,2.0,3.0,3500,"(-22.9646242, -43.1916985)",1.0
85.0,1.0,2.0,1000,"(-22.899547899999998, -43.2700858)",0.0
65.0,1.0,2.0,800,"(-22.9023055, -43.29320728141141)",0.0
336.0,3.0,3.0,38000,"(-22.98679, -43.2200859)",0.0
53.0,1.0,2.0,1500,"(-22.9997404, -43.3659929)",0.0
80.0,2.0,2.0,1400,"(-23.0234203, -43.487091299999996)",0.0
78.0,1.0,2.0,1300,"(-22.908114899999998, -43.2807014)",0.0
120.0,3.0,3.0,2500,"(-22.9210997, -43.2188249)",0.0
130.0,4.0,3.0,3650,"(-22.965578, -43.17784879999999)",0.0
49.0,1.0,1.0,700,"(-22.916182199999998, -43.371660799999994)",0.0
87.0,1.0,2.0,1700,"(-22.9245892, -43.235199200000004)",0.0
48.0,1.0,2.0,850,"(-22.9044357, -43.298857700000006)",0.0
406.0,4.0,3.0,15000,"(-22.9672354, -43.18357460000001)",0.0
72.0,1.0,2.0,850,"(-22.886189899999998, -43.29380250000001)",0.0
99.0,2.0,3.0,1600,"(-22.9279379, -43.236188)",0.0
100.0,1.0,2.0,3200,"(-22.7537242, -47.1673325)",0.0
103.0,3.0,3.0,2900,"(-23.0211861, -43.4540997)",0.0
47.0,1.0,1.0,1400,"(-22.9155343, -43.2459053)",0.0
78.0,4.0,2.0,1500,"(-22.995434399999997, -43.25830379999999)",0.0
50.0,1.0,2.0,600,"(-22.8973512, -43.5483958)",0.0
50.0,1.0,1.0,2200,"(-22.9654545, -43.18084520000001)",0.0
65.0,1.0,1.0,2800,"(-22.9641285, -43.2174013)",0.0
145.0,2.0,3.0,2799,"(-22.966940100000002, -43.181606200000004)",0.0
80.0,1.0,1.0,750,"(-22.893945600000002, -43.299163799999995)",0.0
289.0,2.0,3.0,5000,"(-22.98422080000001, -43.1916424)",0.0
200.0,3.0,4.0,6800,"(-22.9839557, -43.202216299999996)",0.0
96.0,1.0,3.0,2100,"(-22.9279379, -43.236188)",0.0
435.0,5.0,5.0,15000,"(-23.000417300000002, -43.332459)",0.0
205.0,3.0,4.0,9000,"(-22.9840518, -43.221537899999994)",0.0
168.0,2.0,3.0,8500,"(-22.9758762, -43.2187075)",0.0
58.0,1.0,2.0,1600,"(-22.925157100000003, -43.23006760000001)",0.0
99.0,1.0,2.0,1600,"(-22.9654545, -43.18084520000001)",0.0
70.0,2.0,2.0,2200,"(-22.9662234, -43.382768799999994)",0.0
62.0,1.0,3.0,850,"(-22.9077385, -43.2887029)",0.0
51.0,1.0,2.0,910,"(-22.8923285, -43.2968314)",0.0
116.0,2.0,3.0,7000,"(-22.9847565, -43.19540679999999)",0.0
76.0,3.0,2.0,1600,"(-23.0048388, -43.366279799999994)",0.0
162.0,5.0,4.0,6300,"(-22.9938255, -43.35094820000001)",0.0
60.0,1.0,1.0,500,"(-22.8790904, -43.2955477)",0.0
50.0,1.0,2.0,1200,"(-22.9732812, -43.379219299999995)",0.0
250.0,4.0,5.0,8500,"(-22.9646379, -43.20259)",0.0
105.0,1.0,3.0,3100,"(-22.9530993, -43.177193700000004)",0.0
50.0,1.0,2.0,1300,"(nan, nan)",
40.0,1.0,1.0,1200,"(-22.9183909, -43.3971464)",1.0
50.0,2.0,1.0,4500,"(-22.9770236, -43.230294)",0.0
250.0,2.0,4.0,6000,"(-22.965375299999998, -43.183738500000004)",0.0
95.0,,2.0,3500,"(-23.000417300000002, -43.332459)",0.0
345.0,3.0,4.0,23000,"(-22.986815, -43.23017279999999)",0.0
59.0,1.0,2.0,1000,"(-22.88537, -43.352706500000004)",0.0
158.0,5.0,4.0,5000,"(-22.9986176, -43.2529098)",0.0
65.0,1.0,3.0,1300,"(-22.829468, -43.3274693)",0.0
140.0,2.0,1.0,5000,"(-22.955651, -43.1737289)",0.0
185.0,3.0,4.0,5000,"(-23.014923800000002, -43.407209)",0.0
594.0,4.0,4.0,6500,"(-22.9282465, -43.170790419174786)",0.0
88.0,,2.0,2300,"(-22.965375299999998, -43.183738500000004)",0.0
70.0,2.0,2.0,2300,"(-22.9676704, -43.1844375)",0.0
89.0,1.0,2.0,1650,"(-22.9308143, -43.371767)",1.0
35.0,1.0,1.0,2050,"(-22.955022800000002, -43.1998851)",0.0
70.0,2.0,3.0,2300,"(-22.9318016, -43.1823899)",0.0
160.0,2.0,3.0,6500,"(-22.968132699999998, -43.1830609)",0.0
150.0,3.0,3.0,3500,"(-22.92126780000001, -43.255565399999995)",0.0
147.0,,3.0,4500,"(-22.9997404, -43.3659929)",0.0
220.0,2.0,3.0,3500,"(-22.9707145, -43.1899429)",0.0
38.0,1.0,1.0,2000,"(-22.975583899999997, -43.193523600000006)",0.0
55.0,1.0,2.0,700,"(-22.8997079, -43.5392258)",0.0
60.0,2.0,2.0,1100,"(-22.9022005, -43.2718717)",0.0
69.0,1.0,2.0,2500,"(-22.9656645, -43.223445299999995)",0.0
170.0,5.0,4.0,5500,"(-22.9454241, -43.18079099640421)",0.0
100.0,2.0,2.0,6000,"(-23.014923800000002, -43.407209)",0.0
48.0,1.0,1.0,2150,"(-22.9530993, -43.177193700000004)",0.0
104.0,2.0,2.0,4500,"(-22.955651, -43.1737289)",0.0
140.0,2.0,3.0,4000,"(-22.9690461, -43.18946629999999)",0.0
179.0,5.0,3.0,6500,"(-22.9890302, -43.3549717)",0.0
140.0,3.0,3.0,9000,"(-22.9877577, -43.2286995)",0.0
146.0,,3.0,1700,"(-22.939245899999996, -43.3212971)",0.0
210.0,3.0,3.0,30000,"(-22.9862375, -43.209178200000004)",0.0
59.0,1.0,2.0,1800,"(-22.8539901, -43.2613098)",0.0
330.0,4.0,4.0,30000,"(-22.9862375, -43.209178200000004)",0.0
100.0,,2.0,2500,"(-22.968132699999998, -43.1830609)",0.0
38.0,,1.0,1650,"(-22.9530993, -43.177193700000004)",0.0
20.0,1.0,1.0,1300,"(-22.9489811, -43.165986600000004)",0.0
100.0,3.0,3.0,3100,"(-22.97579330000001, -43.1912304)",0.0
55.0,2.0,1.0,1000,"(-22.9113832, -43.2430739)",0.0
140.0,,4.0,2000,"(-22.9739287, -43.35973320000001)",0.0
73.0,2.0,2.0,2000,"(-22.9997404, -43.3659929)",0.0
470.0,5.0,4.0,17999,"(-22.9997388, -43.2684256)",0.0
109.0,2.0,2.0,4100,"(-22.984338600000005, -43.2328045)",0.0
69.0,1.0,2.0,1600,"(-22.918893899999997, -43.183184999999995)",0.0
78.0,2.0,3.0,2100,"(-22.9408899, -43.3422564)",1.0
280.0,6.0,3.0,14000,"(-22.9844707, -43.2168847)",0.0
62.0,2.0,3.0,1250,"(-12.2323038, -56.64182510000001)",0.0
110.0,1.0,3.0,4000,"(-22.951239800000003, -43.1752885)",0.0
90.0,2.0,2.0,5800,"(-22.9828411, -43.2170388)",0.0
50.0,1.0,1.0,2900,"(-22.9857245, -43.19650410000001)",0.0
100.0,3.0,2.0,2500,"(-22.9163901, -43.2221112)",0.0
75.0,1.0,2.0,1800,"(-23.0066417, -43.4845412)",0.0
64.0,1.0,1.0,3000,"(-22.9393527, -43.1745967)",0.0
92.0,2.0,3.0,5800,"(-22.983158399999997, -43.2050161)",0.0
95.0,3.0,2.0,1800,"(-23.0185151, -43.4634021)",0.0
64.0,2.0,2.0,1999,"(-22.9665038, -43.3713193)",0.0
69.0,2.0,2.0,2500,"(-22.9732812, -43.379219299999995)",0.0
70.0,1.0,1.0,4500,"(-22.9105539, -43.176095600000004)",0.0
50.0,1.0,2.0,1050,"(-22.8912676, -43.3031848)",0.0
120.0,3.0,3.0,6000,"(-22.9843423, -43.2007642)",0.0
80.0,2.0,3.0,1550,"(-22.943258800000002, -43.3372836)",0.0
40.0,2.0,1.0,1500,"(-22.9202866, -43.1815614)",1.0
90.0,3.0,2.0,1600,"(-23.014309, -43.45027260000001)",0.0
106.0,3.0,3.0,6000,"(-22.9804456, -43.2221655)",0.0
50.0,1.0,1.0,1100,"(-22.8912676, -43.3031848)",0.0
60.0,2.0,2.0,1400,"(-22.915698100000004, -43.2319433)",0.0
70.0,3.0,1.0,2500,"(-22.924572, -43.1768622)",0.0
30.0,1.0,1.0,500,"(-22.9091631, -43.1886929)",0.0
62.0,1.0,2.0,850,"(-22.9301996, -43.3938251)",0.0
105.0,3.0,3.0,2300,"(-22.936339899999997, -43.3330978)",0.0
86.0,2.0,2.0,1800,"(-22.8625462, -43.3678684)",0.0
58.0,1.0,2.0,600,"(-22.9191815, -43.6155325)",1.0
53.0,2.0,1.0,2000,"(-22.97579330000001, -43.1912304)",0.0
90.0,2.0,1.0,2200,"(-23.002106100000002, -43.39327614523657)",0.0
67.0,2.0,3.0,1300,"(-22.9009341, -43.2865096)",0.0
67.0,2.0,2.0,870,"(-22.9055807, -43.2769402)",0.0
52.0,1.0,2.0,1500,"(-22.9215236, -43.248205299999995)",0.0
64.0,2.0,2.0,1999,"(-22.9731137, -43.3709498)",0.0
180.0,4.0,3.0,7000,"(-22.98679, -43.2200859)",0.0
94.0,1.0,3.0,4000,"(-22.955651, -43.1737289)",0.0
52.0,1.0,2.0,1300,"(-22.9966799, -43.4249176)",0.0
40.0,1.0,1.0,2600,"(-22.9777288, -43.224804999999996)",0.0
83.0,3.0,3.0,1100,"(-22.9426706, -43.3547521)",0.0
120.0,3.0,2.0,1800,"(-22.9294089, -43.3756395)",0.0
64.0,1.0,2.0,2100,"(-23.004933800000003, -43.3312167)",0.0
76.0,3.0,2.0,1450,"(-23.003173699999998, -43.4840149)",0.0
46.0,1.0,1.0,1200,"(-22.9010359, -43.183833)",0.0
76.0,2.0,3.0,1800,"(-22.9382421, -43.3327874)",0.0
63.0,1.0,2.0,1100,"(-22.9090942, -43.2678381)",0.0
85.0,2.0,3.0,2000,"(-22.9709611, -43.395351399999996)",0.0
50.0,1.0,2.0,600,"(-22.8852277, -43.5562164)",0.0
55.0,1.0,2.0,1150,"(-22.943258800000002, -43.3372836)",0.0
121.0,4.0,4.0,1700,"(-23.027836100000002, -43.4690364)",1.0
176.0,4.0,3.0,6500,"(-23.0113772, -43.312129)",0.0
48.0,1.0,2.0,800,"(-22.94624115, -43.557178065955135)",0.0
70.0,2.0,2.0,1200,"(-22.87592, -43.3570529)",0.0
103.0,2.0,2.0,2500,"(-23.014148499999997, -43.4556143)",0.0
70.0,2.0,2.0,1300,"(-22.9315642, -43.2425412)",0.0
40.0,1.0,1.0,1350,"(-22.7904418, -43.31496420000001)",0.0
133.0,3.0,3.0,4150,"(-23.0048388, -43.366279799999994)",0.0
61.0,1.0,2.0,900,"(-22.866812699999997, -43.2879224)",0.0
55.0,2.0,1.0,2700,"(-22.9707145, -43.1899429)",0.0
70.0,1.0,2.0,1400,"(-22.8929679, -43.2788216)",0.0
85.0,2.0,2.0,2500,"(-23.018515100000002, -43.4634021)",0.0
38.0,1.0,1.0,1700,"(-22.9746064, -43.190522200000004)",0.0
79.0,1.0,2.0,1500,"(-22.8946047, -43.3549007)",0.0
80.0,2.0,2.0,4200,"(-22.984338600000005, -43.2328045)",0.0
69.0,1.0,2.0,1300,"(-22.9137159, -43.271651500000004)",1.0
155.0,3.0,4.0,7000,"(-22.9845355, -43.2307023)",0.0
120.0,4.0,3.0,2500,"(-23.0138985, -43.4556901)",0.0
110.0,1.0,3.0,2500,"(-22.8163695, -43.2068501)",0.0
697.0,8.0,5.0,40000,"(-22.9393527, -43.1745967)",0.0
72.0,1.0,2.0,900,"(-22.8394891, -43.3017098)",0.0
58.0,2.0,3.0,900,"(-22.8984698, -43.2775544)",0.0
50.0,1.0,1.0,1200,"(-11.0136465, -37.2071134)",0.0
72.0,2.0,2.0,2500,"(-22.93320515, -43.17760685626049)",0.0
350.0,,4.0,32000,"(-22.9803652, -43.2139765)",0.0
80.0,2.0,2.0,1300,"(-23.011040700000002, -43.446195)",0.0
190.0,3.0,3.0,5700,"(-22.985511, -43.19287620000001)",0.0
104.0,2.0,2.0,1200,"(-22.9099206, -43.2739525)",0.0
140.0,3.0,4.0,4400,"(-22.9693408, -43.2053745)",0.0
70.0,,2.0,1800,"(-22.978555800000002, -43.4178749)",0.0
79.0,,2.0,1400,"(-22.9224565, -43.2668482)",0.0
69.0,1.0,2.0,1900,"(-23.0063466, -43.4358159)",0.0
70.0,1.0,2.0,1100,"(-22.8996367, -43.295828)",0.0
108.0,2.0,2.0,4500,"(-22.94884465, -43.179829096252966)",0.0
45.0,1.0,2.0,1100,"(-22.9850925, -43.48973839999999)",0.0
35.0,1.0,1.0,3000,"(-22.968132699999998, -43.1830609)",0.0
400.0,7.0,4.0,23000,"(-23.0085228, -43.298575899999996)",0.0
146.0,3.0,3.0,3000,"(-22.965375299999998, -43.183738500000004)",0.0
40.0,1.0,1.0,850,"(-22.8887124, -43.268156299999994)",0.0
60.0,2.0,2.0,1400,"(-22.917662399999998, -43.24595770000001)",0.0
50.0,2.0,1.0,1950,"(-22.9639208, -43.1739732)",0.0
65.0,1.0,2.0,1200,"(-22.904771399999998, -43.2738036)",0.0
260.0,4.0,3.0,5000,"(-22.9721962, -43.1865848)",0.0
130.0,2.0,3.0,7000,"(-22.983158399999997, -43.2050161)",0.0
100.0,1.0,3.0,2300,"(-22.923363600000002, -43.229912)",0.0
352.0,5.0,4.0,20000,"(-22.9860948, -43.2254539)",0.0
65.0,1.0,1.0,900,"(-22.8908854, -43.2854592)",0.0
85.0,2.0,3.0,2500,"(-22.9293303, -43.233988399999994)",0.0
120.0,3.0,3.0,2300,"(-22.923590700000002, -43.2617675)",0.0
200.0,3.0,3.0,5000,"(-22.9707145, -43.1899429)",0.0
83.0,1.0,1.0,950,"(-22.9276427, -43.366564200000006)",0.0
123.0,2.0,3.0,4000,"(-22.9819833, -43.206933)",0.0
73.0,3.0,2.0,1450,"(-22.8650152, -43.362670200000004)",0.0
72.0,,3.0,1600,"(-22.915478, -43.2439792)",0.0
92.0,3.0,2.0,2200,"(-22.958876999999998, -43.1992415)",0.0
256.0,,4.0,6900,"(-23.0048388, -43.366279799999994)",0.0
130.0,3.0,3.0,8000,"(-22.983556, -43.22493770000001)",0.0
79.0,3.0,2.0,1500,"(-23.014163800000002, -43.4585169)",0.0
150.0,3.0,3.0,8500,"(-22.984338600000005, -43.2328045)",0.0
136.0,1.0,2.0,5000,"(-22.9646379, -43.20259)",0.0
73.0,2.0,2.0,2200,"(-22.9690461, -43.18946629999999)",0.0
35.0,1.0,1.0,1000,"(-22.928988, -43.3534191)",1.0
436.0,6.0,4.0,15000,"(-23.000417300000002, -43.332459)",0.0
220.0,2.0,3.0,3500,"(-22.9222747, -43.22472120000001)",0.0
85.0,1.0,2.0,2500,"(-22.933692699999998, -43.178712899999994)",0.0
82.0,1.0,2.0,2300,"(-21.512665600000002, -44.9033355)",0.0
82.0,2.0,3.0,2000,"(-22.936339899999997, -43.3330978)",0.0
184.0,3.0,2.0,2600,"(-22.929602499999998, -43.2320169)",0.0
319.0,,4.0,22000,"(-22.9803652, -43.2139765)",0.0
250.0,,3.0,10000,"(-22.9865648, -43.2324401)",0.0
76.0,2.0,2.0,1800,"(-22.911279399999998, -43.2138643)",0.0
43.0,1.0,1.0,1500,"(-22.9339841, -43.1745744)",0.0
75.0,2.0,2.0,1890,"(-22.9966799, -43.4249176)",0.0
78.0,2.0,2.0,6000,"(-23.000725199999998, -43.421142700000004)",0.0
148.0,2.0,3.0,4000,"(-22.936460600000004, -43.18814570000001)",0.0
85.0,3.0,2.0,2200,"(-23.004016800000002, -43.3247702)",0.0
250.0,6.0,4.0,8000,"(-23.0015257, -43.395351700000006)",0.0
189.0,4.0,3.0,8500,"(-22.9819833, -43.206933)",0.0
150.0,3.0,4.0,4800,"(-22.9662234, -43.382768799999994)",0.0
50.0,1.0,2.0,1125,"(-22.9548472, -43.3765899)",0.0
78.0,2.0,2.0,2200,"(-22.9757782, -43.373473)",0.0
130.0,1.0,3.0,1200,"(-22.894389899999997, -43.3071961)",1.0
47.0,1.0,2.0,1500,"(-22.9130141, -43.216724799999994)",0.0
50.0,2.0,1.0,1800,"(-22.968132699999998, -43.1830609)",0.0
92.0,3.0,3.0,2000,"(-23.0217033, -43.4559279)",0.0
67.0,,2.0,1200,"(-22.977708399999997, -43.4172388)",0.0
68.0,2.0,1.0,1500,"(-22.988001899999997, -43.3660133)",0.0
99.0,2.0,2.0,2600,"(-22.9676704, -43.1844375)",0.0
120.0,1.0,3.0,1850,"(-22.9279379, -43.236188)",0.0
72.0,2.0,2.0,1000,"(-22.91106610000001, -43.281855)",0.0
80.0,2.0,2.0,1150,"(-22.9454515, -43.33619829999999)",0.0
80.0,2.0,3.0,1000,"(-22.908585100000003, -43.27498129999999)",0.0
143.0,3.0,4.0,6000,"(-22.9844707, -43.2168847)",0.0
85.0,2.0,2.0,1190,"(-22.9375718, -43.3373098)",0.0
70.0,2.0,2.0,900,"(-11.0136465, -37.2071134)",0.0
50.0,2.0,1.0,1800,"(-22.9690461, -43.18946629999999)",0.0
70.0,2.0,3.0,1500,"(-22.9711394, -43.431183600000004)",0.0
34.0,1.0,1.0,1500,"(-22.9535105, -43.181536799999996)",0.0
50.0,1.0,1.0,1500,"(-22.9210997, -43.2188249)",0.0
38.0,1.0,1.0,1800,"(-22.968132699999998, -43.1830609)",0.0
147.0,,3.0,7500,"(-22.9819833, -43.206933)",0.0
85.0,3.0,2.0,2500,"(-22.989371600000002, -43.2275833)",0.0
77.0,,2.0,1950,"(-22.9690461, -43.18946629999999)",0.0
42.0,1.0,2.0,800,"(-22.880516600000004, -43.342966499999996)",0.0
77.0,2.0,2.0,1600,"(-22.9408899, -43.3422564)",1.0
90.0,3.0,3.0,2200,"(-22.999740399999997, -43.3659929)",0.0
60.0,1.0,2.0,1500,"(-22.9396582, -43.3369363)",0.0
96.0,2.0,3.0,3000,"(-22.9315642, -43.2425412)",0.0
70.0,2.0,2.0,2700,"(-22.959020300000002, -43.2035583)",0.0
71.0,2.0,2.0,2600,"(-22.822127300000002, -43.1718358)",0.0
77.0,1.0,2.0,950,"(-22.9739287, -43.35973320000001)",0.0
279.0,7.0,4.0,9700,"(-23.014923800000002, -43.407209)",0.0
192.0,4.0,3.0,5700,"(-22.985511, -43.19287620000001)",0.0
68.0,2.0,2.0,2200,"(-22.9654545, -43.18084520000001)",0.0
103.0,2.0,3.0,1800,"(-22.9195363, -43.225013399999995)",0.0
48.0,2.0,2.0,1400,"(-22.9026425, -43.281726299999995)",0.0
86.0,2.0,2.0,1300,"(-23.01930560000001, -43.480878000000004)",0.0
131.0,2.0,3.0,2200,"(-23.0185151, -43.4634021)",0.0
92.0,2.0,2.0,2200,"(-22.936339899999997, -43.3330978)",0.0
173.0,4.0,3.0,4800,"(-23.0080982, -43.3146633)",0.0
121.0,4.0,3.0,7500,"(-22.983158399999997, -43.2050161)",0.0
87.0,2.0,2.0,1100,"(-22.942635, -43.3336261)",0.0
48.0,2.0,2.0,1500,"(-22.9162835, -43.221971999999994)",0.0
73.0,1.0,1.0,1000,"(-22.8435065, -43.3100585)",0.0
50.0,3.0,1.0,2200,"(-22.985511, -43.19287620000001)",0.0
110.0,3.0,3.0,2100,"(-23.001556, -43.3768422)",0.0
147.0,3.0,3.0,4100,"(-22.9393527, -43.1745967)",0.0
60.0,1.0,2.0,1500,"(-22.9319478, -43.1969954)",0.0
43.0,1.0,2.0,750,"(-22.9183909, -43.3971464)",1.0
65.0,2.0,2.0,1100,"(-22.8973512, -43.5483958)",0.0
59.0,,2.0,700,"(-22.8694038, -43.307342299999995)",1.0
75.0,2.0,2.0,2300,"(-22.9966799, -43.4249176)",0.0
83.0,2.0,2.0,700,"(-22.8781527, -43.2641783)",0.0
95.0,1.0,2.0,1200,"(-22.954531399999997, -43.3764468)",0.0
68.0,2.0,2.0,1999,"(-22.9665038, -43.3713193)",0.0
80.0,3.0,2.0,1500,"(-22.9362315, -43.3419326)",0.0
80.0,2.0,2.0,7000,"(-22.9777288, -43.224804999999996)",0.0
68.0,1.0,2.0,1090,"(-22.8435065, -43.3100585)",0.0
90.0,3.0,2.0,4000,"(-22.9500463, -43.191054799999996)",0.0
70.0,2.0,2.0,2100,"(-23.0252805, -43.5138643)",0.0
90.0,1.0,3.0,1600,"(-22.9181581, -43.2433749)",0.0
49.0,1.0,2.0,850,"(-22.901763100000004, -43.57055250000001)",0.0
120.0,2.0,3.0,2500,"(-22.9198776, -43.225731700000004)",0.0
51.0,2.0,2.0,1300,"(-11.0136465, -37.2071134)",0.0
61.0,1.0,2.0,1200,"(-22.9047924, -43.26502070000001)",0.0
350.0,8.0,4.0,4000,"(-23.0185151, -43.4634021)",0.0
73.0,1.0,2.0,1000,"(-22.8823407, -43.292621999999994)",0.0
75.0,1.0,2.0,1600,"(-12.8640352, -38.6313039734052)",0.0
60.0,1.0,3.0,1200,"(-22.863930800000002, -43.3330383)",1.0
80.0,2.0,2.0,4600,"(-22.9847565, -43.19540679999999)",0.0
75.0,1.0,2.0,1550,"(-22.9416844, -43.3339874)",0.0
91.0,3.0,3.0,2200,"(-23.0217111, -43.486967799999995)",0.0
70.0,2.0,2.0,2500,"(-23.030253100000003, -43.4750257)",0.0
55.0,1.0,3.0,1100,"(-22.9665038, -43.371319299999996)",0.0
78.0,1.0,2.0,850,"(-22.84193995, -43.31144627913845)",0.0
100.0,1.0,2.0,1700,"(-22.8387957, -43.280862)",0.0
100.0,3.0,2.0,1200,"(-22.9426706, -43.3547521)",0.0
76.0,,2.0,2300,"(-22.9190092, -43.2373143)",0.0
113.0,3.0,3.0,3000,"(-22.928988, -43.3534191)",1.0
48.0,1.0,1.0,2600,"(-22.932849800000003, -43.178870700000004)",0.0
157.0,3.0,4.0,3200,"(-22.928988, -43.3534191)",1.0
98.0,3.0,3.0,2200,"(-22.9690461, -43.18946629999999)",0.0
60.0,1.0,2.0,800,"(-22.8519758, -43.2555693)",0.0
160.0,2.0,3.0,8000,"(-22.9855992, -43.1969718)",0.0
83.0,2.0,2.0,1200,"(-22.9152219, -43.2472627)",0.0
25.0,1.0,1.0,600,"(-22.9818187, -43.4578117)",0.0
115.0,3.0,3.0,1600,"(-22.917734799999998, -43.2188065)",0.0
100.0,,2.0,2000,"(-22.9081657, -43.1824756)",0.0
300.0,5.0,4.0,5000,"(-22.9330079, -43.2389625)",0.0
125.0,3.0,3.0,3500,"(-22.9651164, -43.1832339)",0.0
206.0,3.0,4.0,15200,"(-22.9839557, -43.202216299999996)",0.0
72.0,1.0,3.0,4500,"(-22.9855992, -43.1969718)",0.0
240.0,1.0,4.0,10000,"(-22.985511, -43.19287620000001)",0.0
48.0,1.0,2.0,1100,"(-22.889453200000002, -43.2898959)",1.0
289.0,4.0,3.0,25000,"(-22.988339899999996, -43.3529408)",0.0
95.0,2.0,3.0,3600,"(-22.9557844, -43.1779417)",0.0
250.0,,3.0,7900,"(-22.9803652, -43.2139765)",0.0
72.0,3.0,2.0,3000,"(-22.9571371, -43.1961964)",0.0
120.0,3.0,3.0,1700,"(-23.014309, -43.45027260000001)",0.0
126.0,3.0,4.0,3700,"(-22.9803652, -43.2139765)",0.0
33.0,1.0,1.0,1000,"(-22.968132699999998, -43.1830609)",0.0
50.0,1.0,2.0,2300,"(-22.9997404, -43.3659929)",0.0
53.0,1.0,1.0,750,"(-22.8558499, -43.365582399999994)",0.0
270.0,3.0,4.0,17000,"(-22.9862375, -43.209178200000004)",0.0
105.0,,3.0,4500,"(-23.014923800000002, -43.407209)",0.0
173.0,2.0,3.0,5000,"(-23.0080982, -43.3146633)",0.0
65.0,1.0,2.0,1300,"(-22.9958968, -43.240455600000004)",0.0
51.0,1.0,1.0,2200,"(-22.9393527, -43.1745967)",0.0
90.0,1.0,3.0,1700,"(-23.020481699999998, -43.466137599999996)",0.0
50.0,1.0,1.0,4350,"(-22.9545054, -43.1740626)",0.0
62.0,1.0,2.0,1400,"(-22.9633392, -43.3904346)",1.0
300.0,5.0,4.0,8500,"(-22.9913592, -43.2675329)",0.0
39.0,1.0,1.0,1200,"(-22.7904418, -43.31496420000001)",0.0
255.0,4.0,3.0,30000,"(-22.9842762, -43.219898799999996)",0.0
36.0,1.0,1.0,1500,"(-22.9183909, -43.3971464)",1.0
80.0,2.0,3.0,3000,"(-22.9707145, -43.1899429)",0.0
42.0,1.0,3.0,900,"(-22.9338724, -43.5762726)",0.0
65.0,1.0,2.0,2400,"(-22.924572, -43.1768622)",0.0
58.0,2.0,2.0,1000,"(3.6536376000000006, -61.0848973)",0.0
70.0,2.0,2.0,2592,"(-22.9451467, -43.3374151)",0.0
74.0,1.0,1.0,1750,"(-9.3429057, -38.2552548)",0.0
90.0,2.0,2.0,2600,"(-10.8040231, -37.1658336)",0.0
115.0,3.0,3.0,2600,"(-23.0147819, -43.4610052)",0.0
50.0,1.0,2.0,1200,"(-22.9548472, -43.3765899)",0.0
90.0,1.0,2.0,1400,"(-22.880868, -43.372644799999996)",0.0
46.0,1.0,2.0,550,"(-22.878342899999996, -43.548934)",0.0
70.0,2.0,2.0,1300,"(-22.92994980000001, -43.237162700000006)",0.0
51.0,1.0,2.0,1100,"(-22.9183909, -43.3971464)",1.0
80.0,2.0,3.0,950,"(-22.9070091, -43.2833301)",0.0
48.0,1.0,2.0,1000,"(-22.928988, -43.353419099999996)",1.0
90.0,2.0,2.0,1500,"(-22.91525, -43.2102423)",0.0
36.0,1.0,1.0,1500,"(-22.955022800000002, -43.1998851)",0.0
90.0,2.0,2.0,1100,"(-22.9159818, -43.2477179)",0.0
64.0,2.0,3.0,1300,"(-22.9070087, -43.30183140000001)",0.0
35.0,1.0,1.0,2000,"(-22.9847565, -43.19540679999999)",0.0
70.0,2.0,2.0,1900,"(-22.977708399999997, -43.4172388)",0.0
66.0,1.0,2.0,1600,"(-22.917009, -43.25892879999999)",0.0
67.0,1.0,2.0,1200,"(-22.910422600000004, -43.5526203)",0.0
53.0,1.0,2.0,1600,"(-22.8961827, -43.2305666)",1.0
135.0,2.0,3.0,3200,"(-22.9293303, -43.233988399999994)",0.0
66.0,1.0,2.0,1100,"(-22.8718014, -43.342158500000004)",0.0
65.0,1.0,2.0,2600,"(-22.946050500000002, -43.1855721)",0.0
47.0,1.0,2.0,1000,"(-22.8869846, -43.28713610000001)",0.0
54.0,1.0,2.0,1400,"(-22.828866, -43.316919899999995)",0.0
65.0,1.0,2.0,1300,"(-22.8931641, -43.2827591)",0.0
250.0,3.0,3.0,23000,"(-22.9839557, -43.202216299999996)",0.0
55.0,1.0,2.0,900,"(-22.9069987, -43.28477460000001)",0.0
87.0,2.0,2.0,6000,"(-22.9857371, -43.196745899999996)",0.0
77.0,2.0,2.0,2000,"(-22.9665038, -43.3713193)",0.0
59.0,2.0,1.0,700,"(-22.925552399999997, -43.3620285)",0.0
160.0,3.0,3.0,5500,"(-22.9848957, -43.1952136)",0.0
93.0,2.0,3.0,1900,"(-22.9375718, -43.3373098)",0.0
60.0,1.0,2.0,1100,"(-22.9548472, -43.3765899)",0.0
111.0,1.0,2.0,850,"(-22.8418438, -43.2746429)",0.0
