,price,bathroom,coord,bhk,sqft,class
200,9000.0,2.0,"(78.3805923461914, 17.364944458007812)",2.0,1400.0,0.0
201,9000.0,2.0,"(17.4024163, 78.4656036)",2.0,150.0,0.0
202,7000.0,1.0,"(17.3992072, 78.50431669999998)",1.0,,0.0
203,12000.0,2.0,"(17.3992072, 78.50431669999998)",2.0,1000.0,0.0
204,20000.0,3.0,"(17.3992072, 78.50431669999998)",3.0,1600.0,0.0
205,7000.0,1.0,"(17.408417800000002, 78.55650290000001)",1.0,,0.0
206,40000.0,,"(78.355424, 17.399043)",3.0,1834.0,0.0
207,60000.0,3.0,"(78.45382690429688, 17.458379745483402)",3.0,3800.0,0.0
208,18000.0,2.0,"(17.3936156, 78.38351170000001)",3.0,150.0,0.0
209,30000.0,,"(78.355424, 17.399043)",2.0,1314.0,0.0
210,18000.0,2.0,"(17.4016335, 78.40235240000001)",2.0,150.0,0.0
211,18000.0,2.0,"(78.49032592773438, 17.406291961669922)",3.0,1600.0,0.0
212,52000.0,3.0,"(78.5130386352539, 17.374908447265625)",3.0,2011.0,0.0
213,11000.0,2.0,"(78.49009704589844, 17.398256301879886)",2.0,1000.0,0.0
214,9000.0,2.0,"(17.5078681, 78.30975129999999)",2.0,1100.0,0.0
215,10000.0,3.0,"(17.4161086, 78.4915429)",2.0,1350.0,0.0
216,40000.0,5.0,"(17.4545951, 78.5549542)",5.0,2400.0,0.0
217,22000.0,2.0,"(78.38607025146484, 17.551816940307614)",2.0,1210.0,0.0
218,12500.0,2.0,"(78.42669677734375, 17.429807662963867)",2.0,1350.0,0.0
219,45000.0,,"(78.404193, 17.406372)",3.0,2385.0,0.0
220,12000.0,2.0,"(17.3747833, 78.5288156)",2.0,200.0,1.0
221,6000.0,1.0,"(17.3714737, 78.5695016)",1.0,,0.0
222,44000.0,,"(78.404193, 17.406372)",3.0,1990.0,0.0
223,14500.0,2.0,"(17.3868117, 78.4538802)",2.0,1000.0,1.0
224,7500.0,2.0,"(17.5003026, 78.5938192)",2.0,1100.0,0.0
225,60000.0,,"(78.368989, 17.458604)",3.0,2051.0,0.0
226,25000.0,,"(17.4640421, 78.3413698)",2.0,1250.0,0.0
227,5000.0,1.0,"(78.51384735107422, 17.407947540283207)",2.0,250.0,0.0
228,18000.0,2.0,"(78.39976501464844, 17.39021873474121)",3.0,1430.0,0.0
229,21000.0,2.0,"(78.3985595703125, 17.51755714416504)",3.0,,0.0
230,16000.0,2.0,"(17.4153172, 78.3556287)",2.0,1100.0,0.0
231,30000.0,2.0,"(17.428599399999996, 78.3588692)",2.0,1250.0,0.0
232,9500.0,,"(78.37749166666667, 17.41673666666667)",1.0,,0.0
233,7000.0,1.0,"(78.48974609375, 17.382871627807614)",1.0,,0.0
234,9000.0,2.0,"(78.44730377197266, 17.47542381286621)",2.0,200.0,0.0
235,12000.0,2.0,"(17.4213199, 78.4844543)",2.0,950.0,0.0
236,30000.0,2.0,"(17.4344744, 78.44518670000002)",2.0,1100.0,0.0
237,18000.0,3.0,"(78.27516174316406, 17.46061897277832)",3.0,,0.0
238,10000.0,2.0,"(17.399002300000006, 78.4156933)",1.0,,0.0
239,14000.0,2.0,"(17.399002300000006, 78.4156933)",2.0,1000.0,0.0
240,23000.0,2.0,"(17.4102364, 78.476188)",2.0,1190.0,0.0
241,10000.0,2.0,"(17.3941099, 78.50994159999998)",2.0,925.0,0.0
242,55000.0,,"(78.3537616, 17.4196647)",3.0,3300.0,0.0
243,6000.0,,"(17.4124638, 78.54387919999998)",2.0,124.0,0.0
244,21000.0,2.0,"(78.4199447631836, 17.37082290649414)",3.0,1600.0,0.0
245,13000.0,2.0,"(17.4065284, 78.5139136)",2.0,1000.0,1.0
246,45000.0,,"(78.404193, 17.406372)",3.0,2100.0,0.0
248,,,"(17.411476399999998, 78.35655539999998)",4.0,4700.0,0.0
249,40000.0,3.0,"(78.3655014038086, 17.467227935791016)",3.0,2000.0,0.0
251,35000.0,2.0,"(78.37528991699219, 17.45631217956543)",2.0,1200.0,0.0
252,13000.0,2.0,"(78.41730499267578, 17.35848045349121)",2.0,1200.0,0.0
253,12500.0,2.0,"(17.4934113, 78.32779479999998)",2.0,1000.0,0.0
254,38000.0,3.0,"(17.428599399999996, 78.3588692)",3.0,1520.0,0.0
255,17500.0,2.0,"(17.395784699999997, 78.4311944)",2.0,140.0,0.0
256,10000.0,2.0,"(17.4738342, 78.5355606)",2.0,1100.0,0.0
257,45000.0,3.0,"(17.4153172, 78.3556287)",3.0,2600.0,0.0
258,21000.0,3.0,"(78.37942504882812, 17.487815856933597)",3.0,1550.0,0.0
259,25000.0,2.0,"(78.53114318847656, 17.429773330688473)",3.0,2100.0,0.0
260,7000.0,1.0,"(17.4784775, 78.55063709999997)",1.0,,0.0
261,12000.0,2.0,"(17.403307, 78.4529396)",2.0,400.0,0.0
262,5500.0,1.0,"(17.328609699999998, 78.44932759999998)",2.0,900.0,0.0
263,14000.0,2.0,"(17.4353896, 78.4935388)",2.0,1600.0,0.0
