areas,bathrooms,bedrooms,price,coord,class
52.0,1.0,2.0,1604,"(-22.8878289, -43.4440807)",0.0
200.0,3.0,3.0,4719,"(-22.9182569, -43.3964923)",0.0
54.0,1.0,2.0,2265,"(-22.8142113, -43.1951416)",0.0
87.0,2.0,3.0,3397,"(-22.9966799, -43.4249176)",0.0
80.0,1.0,2.0,1887,"(-22.877274300000003, -43.4301032)",0.0
91.0,2.0,2.0,9248,"(-23.0143229, -43.2972041)",0.0
85.0,1.0,2.0,2265,"(-22.9166067, -43.3698172)",0.0
152.0,3.0,4.0,11324,"(-22.9864374, -43.20719879999999)",0.0
35.0,1.0,1.0,1604,"(-22.870264399999996, -43.251275899999996)",0.0
150.0,3.0,3.0,22649,"(-22.984189699999998, -43.2223282)",0.0
78.0,2.0,2.0,1887,"(-22.8887124, -43.268156299999994)",0.0
80.0,2.0,2.0,6606,"(-22.9805083, -43.213479299999996)",0.0
212.0,4.0,4.0,16987,"(-22.9862574, -43.1922967)",0.0
120.0,2.0,2.0,15099,"(-22.9805083, -43.213479299999996)",0.0
113.0,2.0,3.0,7550,"(-22.9662234, -43.382768799999994)",0.0
72.0,2.0,2.0,5662,"(-22.9732812, -43.379219299999995)",0.0
77.0,2.0,2.0,5096,"(-22.988339899999996, -43.3529408)",0.0
205.0,4.0,4.0,24536,"(-22.9840518, -43.221537899999994)",0.0
63.0,2.0,2.0,2076,"(-22.841664, -43.2644477)",0.0
79.0,2.0,2.0,1491,"(-22.9137898, -43.2662065)",1.0
144.0,3.0,3.0,5285,"(-23.0185151, -43.4634021)",0.0
26.0,1.0,1.0,1321,"(-22.8147968, -43.3181717)",0.0
59.0,2.0,2.0,2076,"(-22.9248493, -43.3596031)",0.0
60.0,,2.0,1887,"(-22.849624300000002, -43.3354635)",0.0
176.0,2.0,3.0,5473,"(-22.937072600000004, -43.3354416)",0.0
108.0,3.0,3.0,4719,"(-22.907383199999998, -43.2876155)",0.0
450.0,3.0,3.0,28311,"(-22.984338600000005, -43.2328045)",0.0
52.0,1.0,2.0,3586,"(-22.969034100000002, -43.187025899999995)",0.0
80.0,2.0,1.0,1132,"(-22.8953827, -43.115416700000004)",0.0
70.0,2.0,2.0,2265,"(-22.917662399999998, -43.24595770000001)",0.0
90.0,2.0,2.0,3020,"(-22.92292, -43.24442370000001)",0.0
280.0,3.0,4.0,26424,"(-22.9843423, -43.2007642)",0.0
95.0,,2.0,5285,"(-22.9323641, -43.1821872)",0.0
61.0,1.0,2.0,1604,"(-22.905018300000002, -43.2907075)",0.0
450.0,7.0,4.0,33973,"(-22.9997388, -43.2684256)",0.0
680.0,5.0,4.0,50960,"(-22.9766415, -43.188297)",0.0
235.0,,3.0,32086,"(-22.9282465, -43.170790419174786)",0.0
166.0,2.0,3.0,14156,"(-22.9821776, -43.2133851)",0.0
117.0,1.0,2.0,5662,"(-22.9663701, -43.1901344)",0.0
350.0,,4.0,18874,"(-22.9318016, -43.1823899)",0.0
50.0,1.0,1.0,2454,"(-22.9095503, -43.185598999999996)",0.0
70.0,1.0,2.0,2642,"(-22.928988, -43.353419099999996)",1.0
64.0,1.0,2.0,4152,"(-23.004933800000003, -43.3312167)",0.0
130.0,3.0,2.0,9437,"(-22.985511, -43.19287620000001)",0.0
64.0,,2.0,1887,"(-22.88537, -43.352706500000004)",0.0
69.0,1.0,2.0,2831,"(-22.93425310000001, -43.351368900000004)",0.0
82.0,3.0,2.0,4719,"(-22.9920076, -43.4023471)",0.0
65.0,2.0,2.0,1227,"(-22.9014952, -43.3525042)",0.0
94.0,4.0,2.0,5285,"(-22.9130141, -43.216724799999994)",0.0
60.0,2.0,2.0,2454,"(-22.9665038, -43.371319299999996)",0.0
60.0,2.0,1.0,3680,"(-22.9219495, -43.2345965)",0.0
70.0,2.0,2.0,1510,"(-22.8355116, -43.3182064)",0.0
78.0,2.0,2.0,4907,"(-22.9757782, -43.373473)",0.0
65.0,,2.0,2624,"(-22.892945, -43.2891639)",0.0
70.0,2.0,2.0,1699,"(-22.8974155, -43.30709210000001)",0.0
84.0,2.0,2.0,2642,"(-22.9396582, -43.3369363)",0.0
70.0,2.0,2.0,3001,"(-22.9451467, -43.3374151)",0.0
70.0,2.0,2.0,4341,"(-22.970812600000002, -43.3943784)",0.0
54.0,2.0,2.0,3020,"(-22.8947555, -43.2215672)",0.0
92.0,3.0,2.0,4907,"(-23.0048388, -43.366279799999994)",0.0
71.0,2.0,2.0,3209,"(-22.9264873, -43.2362387)",0.0
134.0,4.0,4.0,12268,"(-22.9790043, -43.21843320000001)",0.0
150.0,2.0,3.0,7550,"(-22.983158399999997, -43.2050161)",0.0
92.0,2.0,3.0,3209,"(-22.8128362, -43.2007792)",0.0
51.0,2.0,2.0,2454,"(-22.978555800000002, -43.4178749)",0.0
70.0,2.0,2.0,2831,"(-22.8306464, -43.3137382)",0.0
72.0,,2.0,3964,"(-22.9997404, -43.3659929)",0.0
50.0,1.0,1.0,3775,"(-22.9535105, -43.181536799999996)",0.0
120.0,3.0,3.0,8493,"(-27.5660564, -53.9719817)",0.0
80.0,1.0,1.0,6228,"(-23.0048388, -43.366279799999994)",0.0
56.0,2.0,2.0,3020,"(-22.927716699999998, -43.359089600000004)",0.0
50.0,1.0,1.0,3209,"(-22.98939660000001, -43.2304766)",0.0
60.0,1.0,2.0,1510,"(-22.896601399999998, -43.3447441)",0.0
65.0,2.0,2.0,4341,"(-23.0048388, -43.366279799999994)",0.0
86.0,2.0,2.0,6795,"(-22.943613199999998, -43.185880499999996)",0.0
80.0,4.0,2.0,5662,"(-22.9332703, -43.237241)",0.0
100.0,2.0,3.0,5851,"(-22.912447600000004, -43.2220924)",0.0
78.0,2.0,3.0,3397,"(-22.9709611, -43.395351399999996)",0.0
100.0,1.0,2.0,2642,"(-22.920916300000002, -43.2629986)",0.0
72.0,1.0,2.0,2548,"(-22.912677600000002, -43.23876679999999)",0.0
210.0,1.0,4.0,8493,"(-23.0132586, -43.29810850000001)",0.0
280.0,2.0,4.0,18874,"(-22.9641329, -43.2028646)",0.0
41.0,1.0,1.0,3492,"(-22.968132699999998, -43.1830609)",0.0
60.0,2.0,2.0,2642,"(-22.9130141, -43.216724799999994)",0.0
65.0,2.0,1.0,1887,"(-22.928988, -43.3534191)",1.0
82.0,2.0,3.0,2265,"(-22.907383199999998, -43.2876155)",0.0
57.0,2.0,1.0,1604,"(-22.8472129, -43.340518599999996)",0.0
103.0,1.0,3.0,6040,"(-22.975583899999997, -43.193523600000006)",0.0
55.0,2.0,2.0,5473,"(-22.9838087, -43.1952591)",0.0
48.0,1.0,2.0,1604,"(-22.889453200000002, -43.2898959)",1.0
45.0,1.0,1.0,1321,"(-22.8698509, -43.2674381)",0.0
84.0,1.0,2.0,3020,"(-22.923590700000002, -43.2617675)",0.0
105.0,1.0,3.0,6983,"(-22.9600532, -43.208837)",0.0
208.0,5.0,4.0,7361,"(-22.9393527, -43.1745967)",0.0
85.0,1.0,2.0,6606,"(-22.9840518, -43.221537899999994)",0.0
72.0,2.0,2.0,2642,"(-23.018515100000002, -43.4634021)",0.0
120.0,1.0,3.0,2831,"(-22.9396582, -43.3369363)",0.0
300.0,3.0,4.0,28311,"(-22.9387029, -43.17358170000001)",0.0
96.0,2.0,2.0,12834,"(-22.962529699999997, -43.2257912)",0.0
75.0,2.0,2.0,4719,"(-22.988339899999996, -43.3529408)",0.0
80.0,3.0,2.0,4719,"(-22.960081, -43.2091516)",0.0
154.0,1.0,3.0,5662,"(-22.9408899, -43.3422564)",1.0
63.0,2.0,2.0,2265,"(-22.9128075, -43.2141126)",0.0
160.0,1.0,3.0,5568,"(-23.016118399999996, -43.45588950000001)",0.0
45.0,1.0,1.0,1699,"(-22.9258587, -43.3152522)",0.0
63.0,1.0,1.0,3209,"(-22.988001899999997, -43.3660133)",0.0
100.0,,2.0,13212,"(-22.9832693, -43.204855)",0.0
53.0,2.0,2.0,4152,"(-22.876306500000002, -43.2680946)",0.0
117.0,2.0,3.0,13589,"(-22.9607745, -43.2028991)",0.0
107.0,3.0,3.0,8116,"(-22.711015600000003, -43.464103)",0.0
42.0,1.0,1.0,1114,"(-22.8912676, -43.3031848)",0.0
26.0,1.0,1.0,1982,"(-22.9218044, -43.180240399999995)",1.0
124.0,4.0,3.0,5304,"(-23.0111148, -43.46874260000001)",0.0
82.0,3.0,3.0,3209,"(-23.0160373, -43.45105086987847)",0.0
91.0,2.0,3.0,9437,"(-22.9842762, -43.219898799999996)",0.0
128.0,2.0,3.0,11136,"(-22.9766415, -43.188297)",0.0
65.0,1.0,1.0,4152,"(-22.9173799, -43.18917929999999)",0.0
70.0,1.0,2.0,7927,"(-22.9880907, -43.2278097)",0.0
160.0,2.0,2.0,14156,"(-22.9646379, -43.20259)",0.0
60.0,1.0,2.0,3775,"(-22.951239800000003, -43.1752885)",0.0
70.0,2.0,1.0,3397,"(-22.924047, -43.23641660000001)",0.0
69.0,2.0,2.0,3492,"(-23.0063466, -43.4358159)",0.0
50.0,1.0,2.0,1699,"(-22.8355116, -43.3182064)",0.0
136.0,3.0,3.0,3775,"(-22.9258655, -43.2584503)",0.0
150.0,2.0,4.0,7550,"(-22.9662234, -43.382768799999994)",0.0
70.0,2.0,2.0,2454,"(-22.9351193, -43.24199160000001)",0.0
60.0,,2.0,2454,"(-22.912072100000003, -43.2718329)",0.0
100.0,1.0,3.0,3020,"(-22.9306672, -43.242268100000004)",0.0
606.0,6.0,4.0,113245,"(-22.9840518, -43.221537899999994)",0.0
57.0,1.0,1.0,2831,"(-22.3716194, -41.78448270000001)",0.0
41.0,1.0,1.0,2076,"(-23.8277352, -49.431700299999996)",0.0
200.0,4.0,3.0,8493,"(-22.9729585, -43.3822057)",0.0
54.0,,2.0,4152,"(-22.9690461, -43.18946629999999)",0.0
28.0,1.0,1.0,1416,"(-22.9287208, -43.2638385)",1.0
104.0,1.0,2.0,3114,"(-22.927070999999998, -43.2286731)",0.0
40.0,1.0,1.0,5285,"(-22.9842762, -43.219898799999996)",0.0
77.0,,2.0,3209,"(-22.9691174, -43.385907399999994)",0.0
