,price,coord,class
0,17750000.0,"(18.938788, 72.838105)",0.0
1,66500000.0,"(18.9304714, 72.83353309999998)",0.0
2,41550000.0,"(18.9801254, 72.84028599999998)",0.0
3,8750005.0,"(19.160481, 72.9454193)",0.0
4,17900000.0,"(19.1296654, 72.93163609999998)",0.0
5,14400000.0,"(19.1300559, 72.9387868)",0.0
6,32002250.0,"(18.9954087, 72.84805820000003)",0.0
7,85700000.0,"(19.0111181, 72.83192829999999)",0.0
8,45450000.0,"(19.0670561, 72.85186449999998)",0.0
9,28550000.0,"(19.0372959, 72.87871)",0.0
10,6110720.0,"(19.1631138, 72.93809040000002)",0.0
11,52550000.0,"(18.9996394, 72.82537370000001)",0.0
12,21850000.0,"(19.13679, 72.93067590000003)",0.0
13,30700000.0,"(19.094047, 72.92266)",0.0
14,21000000.0,"(19.160481, 72.9454193)",0.0
15,9399750.0,"(19.1969201, 72.876083)",0.0
16,16699000.0,"(19.2165676, 72.86559820000002)",0.0
17,21299025.0,"(19.0305354, 72.8452449)",0.0
18,97500000.0,"(19.0771337, 72.83458499999998)",0.0
19,29500000.0,"(19.118376, 72.85688490000003)",0.0
20,31550000.000000004,"(19.0941527, 72.92052009999998)",0.0
21,17600000.0,"(19.1731822, 72.8696033)",0.0
22,32100000.0,"(19.1095788, 72.9018007)",0.0
23,26850000.0,"(19.0168866, 72.85388)",1.0
24,10400000.0,"(19.1840613, 72.8640314)",1.0
25,18700000.0,"(19.160058, 72.9470533)",0.0
26,14500000.0,"(19.2198888, 72.86189820000001)",0.0
27,25550000.0,"(19.1985897, 72.85546409999998)",0.0
28,19900000.0,"(19.0742111, 72.86198449999998)",0.0
29,8900500.0,"(19.195301800000006, 72.8398395)",0.0
30,17400000.0,"(19.2165676, 72.86559820000002)",0.0
31,31398100.0,"(19.0357714, 72.85745159999998)",0.0
32,15698240.0,"(19.2198888, 72.86189820000001)",0.0
33,12998250.0,"(19.160481, 72.9454193)",0.0
34,14550000.0,"(19.0566712, 72.89973459999999)",0.0
35,26200000.0,"(19.1419959, 72.8444071)",0.0
36,15149999.999999998,"(19.2067783, 72.84850689999998)",0.0
37,23601645.0,"(19.1969201, 72.876083)",0.0
38,17350000.0,"(19.130708, 72.9317038)",0.0
39,11450000.0,"(19.0659804, 72.88390439999998)",0.0
40,20900000.0,"(19.0855971, 72.90927940000002)",0.0
41,12600000.0,"(19.116301, 72.9123412)",0.0
42,36450000.0,"(19.1262732, 72.83264199999998)",0.0
43,11950000.0,"(19.2037944, 72.8210831)",0.0
44,23000000.0,"(19.1181505, 72.8567161)",0.0
45,17001250.0,"(19.195301800000006, 72.8398395)",0.0
46,34000250.0,"(19.0347717, 72.8525198)",1.0
47,15000500.0,"(19.2175443, 72.8534756)",0.0
48,18998000.0,"(19.1743576, 72.96274709999999)",0.0
49,17998500.0,"(19.2175443, 72.8534756)",0.0
50,24500000.0,"(19.1888378, 72.83398620000001)",0.0
51,37950000.0,"(19.1236962, 72.8928672)",0.0
52,15500000.0,"(19.193901, 72.8704671)",0.0
53,12750000.0,"(19.1517821, 72.94048149999998)",1.0
54,20250000.0,"(19.214243, 72.87266329999999)",0.0
55,125000000.0,"(19.1517345, 72.83283540000002)",0.0
56,68000000.0,"(19.137351, 72.83407159999999)",0.0
57,17250000.0,"(19.1615609, 72.9435088)",1.0
58,76750000.0,"(19.0372959, 72.87871)",0.0
59,29900000.000000004,"(19.1289124, 72.8177657)",0.0
60,23002000.0,"(19.1464581, 72.93887509999998)",0.0
61,46096920.0,"(19.1146891, 72.89624189999998)",0.0
62,13801750.0,"(19.1743576, 72.96274709999999)",0.0
63,32000000.0,"(19.0357714, 72.85745159999998)",0.0
64,16798390.0,"(19.1146891, 72.89624189999998)",0.0
65,25150000.0,"(19.165003, 72.843069)",0.0
66,24750000.0,"(19.16516, 72.93917429999998)",0.0
67,10134000.0,"(19.0620527, 72.88343549999998)",0.0
68,31200000.0,"(19.221262, 72.85809499999998)",1.0
69,18500000.0,"(19.14731, 72.84837809999998)",0.0
70,35200000.0,"(19.1572463, 72.84051079999998)",0.0
71,47150000.0,"(19.176465, 72.868985)",0.0
72,36750000.0,"(18.9981214, 72.8229296)",0.0
73,19500000.0,"(19.1656736, 72.85854350000002)",0.0
74,18900000.0,"(19.1898861, 72.8354552)",0.0
75,34002200.0,"(19.0357714, 72.85745159999998)",0.0
76,32996865.0,"(19.1146891, 72.89624189999998)",0.0
77,52603000.0,"(18.9946505, 72.83489920000002)",0.0
78,51998500.0,"(18.9946505, 72.83489920000002)",0.0
79,40100250.0,"(18.9946505, 72.83489920000002)",0.0
80,25050000.0,"(19.191909, 72.8351595)",1.0
81,44850000.0,"(19.1660719, 72.9345506)",0.0
82,32250000.0,"(18.9967566, 72.8277926)",0.0
83,20050000.0,"(19.0533734, 72.8745407)",0.0
84,15450000.0,"(19.1241789, 72.91521829999998)",0.0
85,,"(18.954797, 72.82254879999998)",0.0
86,32900000.0,"(18.9732592, 72.83235490000001)",0.0
87,10500000.0,"(19.1444809, 72.93435009999997)",0.0
88,11795000.0,"(19.175293, 72.95611740000002)",0.0
89,74300000.0,"(19.0045997, 72.8493739)",1.0
90,23502750.0,"(19.1662566, 72.8525696)",0.0
91,15600800.0,"(19.1743576, 72.96274709999999)",0.0
92,42998000.0,"(19.060574, 72.85043999999998)",0.0
93,75000000.0,"(18.9773318, 72.8087718)",0.0
94,20201000.0,"(19.0461248, 72.9132122)",0.0
95,40850000.0,"(19.1582728, 72.9454583)",0.0
96,10063000.0,"(19.1141602, 72.9357502)",0.0
