Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
,3 BHK Apartment,"Dec, 2021","Bandra West, Mumbai",Price on Request,Ekta WestBay,,,,
,"2, 2.5, 3 BHK Apartments","May, 2020","Mulund West, Mumbai",Price on Request,HDIL Whispering Towers,,,,
18.5k per sqft.,"1, 2, 3 BHK Apartments","Dec, 2024","Mulund West, Thane",74.63 L - 1.46 Cr,Shapoorji Pallonji Mumbai Dreams,,,,
,,"30th Dec, 2022","Malad East, Mumbai",1.1 Cr,2 BHK Apartment, 10.28k / sqft.,1070 sqft.,,
,,,"Kandivali East, Mumbai",2.85 Cr,3 BHK Apartment, 17.81k / sqft.,1600 sqft.,,
,,,"Kandivali East, Mumbai",2.15 Cr,2 BHK Apartment, 21.5k / sqft.,1000 sqft.,,
,,,"Goregaon East, Mumbai",4.5 Cr,3 BHK Apartment, 21.43k / sqft.,2100 sqft.,,
,,"30th Nov, 2021","Kanjurmarg East, Mumbai",1.31 Cr,2 BHK Apartment, 17.44k / sqft.,751 sqft.,,
,,,"Borivali East, Mumbai",2.4 Cr,3 BHK Apartment, 21.43k / sqft.,1120 sqft.,,
,,,"Powai, Mumbai",3.45 Cr,4 BHK Apartment, 13.83k / sqft.,2495 sqft.,,
,,,"Powai, Mumbai",1.25 Cr,1 BHK Apartment, 25.51k / sqft.,490 sqft.,,
,,,"Mulund West, Mumbai",5.4 Cr,4 BHK Apartment, 18.09k / sqft.,2985 sqft.,,
,,,"Mulund West, Mumbai",2.77 Cr,3 BHK Apartment, 19.93k / sqft.,1390 sqft.,,
,,,"Kandivali West, Mumbai",1.48 Cr,2 BHK Apartment, 14.37k / sqft.,1030 sqft.,,
,"1 RK, 1, 2, 3 BHK Apartments","Dec, 2025","Dadar West, Mumbai",Price on Request,Colo Color Rise,,,,
18k per sqft.,1 BHK Apartment,"Jun, 2021","Jogeshwari West, Mumbai",63.9 L,M K Kashmiri Heights,,,,
,"2, 3 BHK Apartments","Sep, 2020","Andheri West, Mumbai",Price on Request,Unity by Lotus,,,,
,"1 RK, 1, 2, 3 BHK Apartments","Dec, 2021","Andheri West, Mumbai",Price on Request,Aryaman Aryaman Marina,,,,
,,,"Powai, Mumbai",2.0 Cr,2 BHK Apartment, 20.1k / sqft.,995 sqft.,,
,,,"Kandivali East, Mumbai",1.48 Cr,3 BHK Apartment, 13.1k / sqft.,1130 sqft.,,
,,,"Kandivali East, Mumbai",1.6 Cr,3 BHK Apartment, 15.09k / sqft.,1060 sqft.,,
,,,"Lower Parel, Mumbai",4.3 Cr,2 BHK Apartment, 40.95k / sqft.,1050 sqft.,,
,,,"Vile Parle East, Mumbai",2.0 Cr,1 BHK Apartment, 33.33k / sqft.,600 sqft.,,
,,,"Goregaon West, Mumbai",1.79 Cr,2 BHK Apartment, 17.95k / sqft.,997 sqft.,,
,,,"Kurla West, Mumbai",83.0 L,1 BHK Apartment, 14.82k / sqft.,560 sqft.,,
,,,"Andheri East, Mumbai",6.3 Cr,4 BHK Apartment, 24.14k / sqft.,2610 sqft.,,
,,,"Goregaon East, Mumbai",1.25 Cr,2 BHK Apartment, 13.89k / sqft.,900 sqft.,,
,,,"Santacruz East, Mumbai",2.1 Cr,3 BHK Apartment, 12.61k / sqft.,1665 sqft.,,
25k per sqft.,"1, 2, 3 BHK Apartments","Dec, 2022","Mulund East, Mumbai",90.01 L - 1.99 Cr,Tridev Mahatma Jyotiba Phule CHS Ltd,,,,
57.6k per sqft.,"4, 5 BHK Apartments","May, 2020","Santacruz West, Mumbai",10.75 Cr - 16.94 Cr,Rustomjee Paramount Wing E,,,,
,"1, 2 BHK Apartments","Dec, 2030","Andheri West, Mumbai",Price on Request,Ajmera Divyam Heights,,,,
,,,"Andheri East, Mumbai",1.3 Cr,2 BHK Apartment, 26.26k / sqft.,495 sqft.,,
,,,"Santacruz East, Mumbai",1.35 Cr,1 BHK Apartment, 17.98k / sqft.,751 sqft.,,
,,,"Santacruz East, Mumbai",1.94 Cr,2 BHK Apartment, 16.87k / sqft.,1150 sqft.,,
,,,"Malad East, Mumbai",1.4 Cr,2 BHK Apartment, 15.3k / sqft.,915 sqft.,,
,,,"Andheri West, Mumbai",3.3 Cr,3 BHK Apartment, 23.0k / sqft.,1435 sqft.,,
,,,"Andheri West, Mumbai",2.43 Cr,3 BHK Apartment, 18.62k / sqft.,1305 sqft.,,
,,,"Andheri East, Mumbai",85.0 L,1 BHK Apartment, 17.17k / sqft.,495 sqft.,,
,,,"Lower Parel, Mumbai",8.43 Cr,4 BHK Apartment, 33.08k / sqft.,2548 sqft.,Ready to move in,
,,,"Jogeshwari East, Mumbai",1.65 Cr,2 BHK Apartment, 18.48k / sqft.,893 sqft.,,
,,,"Jogeshwari East, Mumbai",1.1 Cr,1 BHK Apartment, 18.49k / sqft.,595 sqft.,,
,"1, 2, 2.5, 3, 4 BHK Apartments","Jun, 2022","Goregaon West, Mumbai",Price on Request,Anjani Shiv Ganga,,,,
24.5k per sqft.,"1, 2, 3, 4 BHK Apartments","Dec, 2020","Malad West, Mumbai",86.97 L - 3.67 Cr,JDN Periera Apt CHSL,,,,
,"1, 2 BHK Apartments","Mar, 2020","Andheri West, Mumbai",Price on Request,Sai Siddhant D N Nagar Niwara Chs Ltd,,,,
20k per sqft.,"1 RK, 1, 2, 3 BHK Apartments","Dec, 2020","Chembur, Mumbai",58.13 L - 2.04 Cr,Legend Apollo,,,,
,,,"Andheri East, Mumbai",2.5 Cr,3 BHK Apartment, 14.66k / sqft.,1705 sqft.,,
,,,"Powai, Mumbai",2.1 Cr,2 BHK Apartment, 21.65k / sqft.,970 sqft.,,
,,,"Kandivali West, Mumbai",3.4 Cr,3 BHK Apartment, 21.26k / sqft.,1599 sqft.,,
,,,"Kandivali East, Mumbai",1.2 Cr,2 BHK Apartment, 12.12k / sqft.,990 sqft.,,
,,,"Prabhadevi, Mumbai",5.9 Cr,3 BHK Apartment, 28.02k / sqft.,2106 sqft.,,
,,,"Parel, Mumbai",7.9 Cr,4 BHK Apartment, 20.2k / sqft.,3910 sqft.,,
,,,"Agripada, Mumbai",19.5 Cr,4 BHK Apartment, 48.75k / sqft.,4000 sqft.,,
,,,"Bandra East, Mumbai",22.95 Cr,4 BHK Apartment, 47.27k / sqft.,4855 sqft.,,
,,,"Kandivali East, Mumbai",1.1 Cr,1 BHK Apartment, 19.13k / sqft.,575 sqft.,,
,,,"Powai, Mumbai",2.3 Cr,2 BHK Apartment, 17.23k / sqft.,1335 sqft.,,
,,,"Powai, Mumbai",3.05 Cr,3 BHK Apartment, 20.31k / sqft.,1502 sqft.,,
,,,"Dahisar East, Mumbai",1.05 Cr,2 BHK Apartment, 14.0k / sqft.,750 sqft.,Ready to move in,
,,"30th Jun, 2020","Dahisar East, Mumbai",85.0 L,1 BHK Apartment, 13.93k / sqft.,610 sqft.,,
,,,"Borivali West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Goregaon East, Mumbai",68.0 L,2 BHK Apartment, 9.07k / sqft.,750 sqft.,,
,,,"Kandivali East, Mumbai",2.1 Cr,2 BHK Apartment, 18.26k / sqft.,1150 sqft.,,
,,,"Powai, Mumbai",3.25 Cr,3 BHK Apartment, 21.1k / sqft.,1540 sqft.,,
,,,"Prabhadevi, Mumbai",5.65 Cr,3 BHK Apartment, 30.23k / sqft.,1869 sqft.,,
,,,"Santacruz East, Mumbai",1.5 Cr,1 BHK Apartment, 23.08k / sqft.,650 sqft.,,
,,,"Powai, Mumbai",1.05 Cr,1 BHK Apartment, 17.5k / sqft.,600 sqft.,,
,,,"Powai, Mumbai",2.1 Cr,2 BHK Apartment, 16.8k / sqft.,1250 sqft.,,
,,,"Mulund West, Mumbai",2.05 Cr,3 BHK Apartment, 13.44k / sqft.,1525 sqft.,,
28k per sqft.,"1, 2 BHK Apartments","Aug, 2020","Malad West, Mumbai",86.24 L - 1.59 Cr,Subhshri Arcade,,,,
20k per sqft.,"1, 2, 3 BHK Apartments","Dec, 2023","Malad East, Mumbai",53.8 L - 1.57 Cr,Raghvendra Empire,,,,
,,,"Santacruz East, Mumbai",1.35 Cr,1 BHK Apartment, 23.28k / sqft.,580 sqft.,,
,,,"Kandivali East, Mumbai",3.4 Cr,4 BHK Apartment, 13.88k / sqft.,2450 sqft.,,
,,,"Kandivali East, Mumbai",96.0 L,1 BHK Apartment, 16.27k / sqft.,590 sqft.,,
,,,"Kandivali East, Mumbai",1.4 Cr,2 BHK Apartment, 16.47k / sqft.,850 sqft.,,
,,,"Kandivali East, Mumbai",85.0 L,1 BHK Apartment, 15.18k / sqft.,560 sqft.,,
,,,"Kandivali East, Mumbai",1.2 Cr,2 BHK Apartment, 14.46k / sqft.,830 sqft.,,
,,,"Kandivali East, Mumbai",1.58 Cr,2 BHK Apartment, 17.95k / sqft.,880 sqft.,,
,,,"Kandivali East, Mumbai",1.05 Cr,1 BHK Apartment, 17.21k / sqft.,610 sqft.,,
,,,"Kandivali East, Mumbai",1.1 Cr,2 BHK Apartment, 14.67k / sqft.,750 sqft.,,
,,,"Andheri East, Mumbai",1.11 Cr,1 BHK Apartment, 18.38k / sqft.,604 sqft.,Ready to move in,
,,,"Andheri East, Mumbai",1.08 Cr,1 BHK Apartment, 16.95k / sqft.,637 sqft.,,
,"1, 2 BHK Apartments","Dec, 2023","Mulund East, Mumbai",Price on Request,United Kuber Heights,,,,
,"2, 2.5, 3, 4 BHK Apartments","Jul, 2027","Mulund West, Mumbai",Price on Request,Runwal Infinity,,,,
24k per sqft.,"2, 3, 4 BHK Apartments","Aug, 2022","Chembur, Mumbai",1.4 Cr - 2.97 Cr,Om Sai Chembur Nandadeep CHS Ltd,,,,
,"1, 2, 3 BHK Apartments","Jun, 2020","Santacruz East, Mumbai",Price on Request,Toughcon Om Jai CHSL Augustus,,,,
,,,"Kandivali East, Mumbai",66.0 L,1 BHK Apartment, 16.5k / sqft.,400 sqft.,,
,,,"Andheri East, Mumbai",1.8 Cr,2 BHK Apartment, 19.19k / sqft.,938 sqft.,,
,,,"Matunga West, Mumbai",4.25 Cr,2 BHK Apartment, 36.96k / sqft.,1150 sqft.,,
,,,"Malad East, Mumbai",3.38 Cr,4 BHK Apartment, 18.52k / sqft.,1825 sqft.,,
,,,"Kanjurmarg East, Mumbai",1.7 Cr,2 BHK Apartment, 23.22k / sqft.,732 sqft.,Ready to move in,
,,,"Kanjurmarg East, Mumbai",1.2 Cr,1 BHK Apartment, 23.72k / sqft.,506 sqft.,Ready to move in,
,,,"Bhandup West, Mumbai",1.65 Cr,2 BHK Apartment, 17.37k / sqft.,950 sqft.,,
,,,"Santacruz East, Mumbai",2.05 Cr,2.5 BHK Apartment, 14.49k / sqft.,1415 sqft.,,
,,,"Kanjurmarg West, Mumbai",1.2 Cr,1.5 BHK Apartment, 16.0k / sqft.,750 sqft.,Ready to move in,
,"1, 2, 3 BHK Apartments","Dec, 2025","Goregaon West, Mumbai",Price on Request,Shivam Siddharth Nagar Paschim Jagruti Chs Ltd,,,,
7.44k per sqft.,"1, 2 BHK Apartments","Dec, 2022","Dahisar East, Mumbai",44.66 L - 66.99 L,Oyster Living,,,,
,,,"Kanjurmarg East, Mumbai",96.0 L,1 BHK Apartment, 15.95k / sqft.,602 sqft.,,
,,,"Borivali West, Mumbai",95.0 L,1 BHK Apartment, 14.96k / sqft.,635 sqft.,,
,,,"Kandivali East, Mumbai",3.72 Cr,4 BHK Apartment, 15.0k / sqft.,2480 sqft.,,
,,,"Kurla West, Mumbai",2.1 Cr,2 BHK Apartment, 21.0k / sqft.,1000 sqft.,,
,,,"Kandivali East, Mumbai",78.0 L,1 BHK Apartment, 13.0k / sqft.,600 sqft.,,
,,,"Powai, Mumbai",1.9 Cr,2 BHK Apartment, 16.52k / sqft.,1150 sqft.,,
,,,"Jogeshwari West, Mumbai",1.73 Cr,2 BHK Apartment, 18.76k / sqft.,922 sqft.,,
,,,"Kandivali East, Mumbai",1.45 Cr,2 BHK Apartment, 17.06k / sqft.,850 sqft.,,
21.75k per sqft.,"1, 2 BHK Apartments","Dec, 2025","Goregaon West, Mumbai",87.0 L - 1.12 Cr,Shivam Nirlon Soc Building No 11 12 And 13,,,,
32k per sqft.,"1, 2, 2.5, 3 BHK Apartments","Jul, 2028","Andheri West, Mumbai",1.68 Cr - 3.64 Cr,Hubtown The Premiere Residences Beverly,,,,
,"2, 3 BHK Apartments","Sep, 2021","Andheri West, Mumbai",Price on Request,Aditya Nirmal Anand CHS,,,,
,,,"Powai, Mumbai",4.1 Cr,3 BHK Apartment, 23.5k / sqft.,1745 sqft.,,
,,,"Kandivali East, Mumbai",1.25 Cr,2 BHK Apartment, 12.5k / sqft.,1000 sqft.,,
,,"30th Nov, 2021","Kandivali East, Mumbai",1.76 Cr,2 BHK Apartment, 16.53k / sqft.,1065 sqft.,,
,,,"Santacruz East, Mumbai",3.0 Cr,3 BHK Apartment, 18.02k / sqft.,1665 sqft.,,
,,,"Dahisar East, Mumbai",94.0 L,2 BHK Apartment, 8.83k / sqft.,1065 sqft.,,
,,,"Powai, Mumbai",2.6 Cr,3 BHK Apartment, 16.83k / sqft.,1545 sqft.,,
,,,"Santacruz East, Mumbai",1.12 Cr,1 BHK Apartment, 20.36k / sqft.,550 sqft.,,
,,,"Borivali West, Mumbai",1.4 Cr,2 BHK Apartment, 20.0k / sqft.,700 sqft.,,
,,,"Vile Parle East, Mumbai",1.15 Cr,1 RK Apartment, 32.86k / sqft.,350 sqft.,,
,,,"Powai, Mumbai",2.0 Cr,3 BHK Apartment, 14.55k / sqft.,1375 sqft.,,
,,,"Santacruz East, Mumbai",3.1 Cr,3 BHK Apartment, 19.68k / sqft.,1575 sqft.,,
,,,"Vile Parle East, Mumbai",2.99 Cr,2 BHK Apartment, 25.51k / sqft.,1170 sqft.,Ready to move in,
,,,"Dahisar East, Mumbai",67.0 L,1 BHK Apartment, 12.76k / sqft.,525 sqft.,,
,,,"Dahisar East, Mumbai",89.0 L,2 BHK Apartment, 12.71k / sqft.,700 sqft.,,
,,,"Kandivali East, Mumbai",2.37 Cr,3 BHK Apartment, 13.24k / sqft.,1790 sqft.,,
,,,"Malad West, Mumbai",1.75 Cr,2 BHK Apartment, 14.0k / sqft.,1250 sqft.,,
,,,"Malad West, Mumbai",1.6 Cr,2 BHK Apartment, 17.78k / sqft.,900 sqft.,,
,,,"Malad West, Mumbai",90.0 L,1 BHK Apartment, 13.85k / sqft.,650 sqft.,,
,,,"Kandivali East, Mumbai",97.0 L,1 BHK Apartment, 14.92k / sqft.,650 sqft.,,
,,,"Kandivali East, Mumbai",1.3 Cr,2 BHK Apartment, 13.13k / sqft.,990 sqft.,,
,,,"Kandivali East, Mumbai",1.85 Cr,3 BHK Apartment, 14.8k / sqft.,1250 sqft.,,
,1 BHK Apartment,"Dec, 2023","Powai, Mumbai",Price on Request, Sorrento,,,,
25k per sqft.,"1, 2 BHK Apartments","Dec, 2021","Borivali West, Mumbai",97.25 L - 1.95 Cr,Aadhunik Greens,,,,
19.86k per sqft.,2 BHK Apartment,"Dec, 2020","Santacruz East, Mumbai",1.5 Cr - 1.7 Cr,B R Siddharth Vikas SRA CHSL,,,,
24k per sqft.,"1, 2, 3 BHK Apartments","Jul, 2022","Malad East, Mumbai",1.03 Cr - 1.59 Cr,DGS Sheetal Vaibhav Kutir,,,,
,,,"Malad East, Mumbai",2.2 Cr,3 BHK Apartment, 12.22k / sqft.,1800 sqft.,,
,,,"Mulund West, Mumbai",2.45 Cr,3 BHK Apartment, 15.61k / sqft.,1570 sqft.,,
,,,"Mulund West, Mumbai",4.49 Cr,4 BHK Apartment, 17.01k / sqft.,2640 sqft.,,
,,,"Bhandup West, Mumbai",4.6 Cr,4 BHK Apartment, 17.23k / sqft.,2670 sqft.,,
,,,"Borivali West, Mumbai",92.0 L,1 BHK Apartment, 15.33k / sqft.,600 sqft.,,
,,,"Kandivali East, Mumbai",1.32 Cr,2 BHK Apartment, 15.35k / sqft.,860 sqft.,,
,,"30th Dec, 2021","Kurla West, Mumbai",62.0 L,1 RK Apartment, 14.87k / sqft.,417 sqft.,,
,,,"Kandivali East, Mumbai",74.0 L,1 BHK Apartment, 12.33k / sqft.,600 sqft.,,
,,,"Kandivali East, Mumbai",2.0 Cr,3 BHK Apartment, 13.33k / sqft.,1500 sqft.,,
,,,"Borivali West, Mumbai",1.65 Cr,2 BHK Apartment, 17.37k / sqft.,950 sqft.,,
,,,"Malad West, Mumbai",1.66 Cr,3 BHK Apartment, 12.59k / sqft.,1315 sqft.,,
,"1, 2 BHK Apartments","Dec, 2023","Santacruz East, Mumbai",Price on Request,Kshama Silver Heights,,,,
16k per sqft.,"2, 3 BHK Apartments","Dec, 2025","Dahisar West, Mumbai",1.4 Cr - 1.8 Cr,Shree Ganesh Ram Janaki,,,,
26k per sqft.,"1, 2, 3 BHK Apartments","Feb, 2020","Goregaon West, Mumbai",79.09 L - 2.87 Cr,Dridhena Ronaq Heights,,,,
,"1 RK, 1 BHK Apartments","Dec, 2022","Andheri East, Mumbai",Price on Request,KUL Palladio,,,,
,,,"Goregaon East, Mumbai",3.63 Cr,4 BHK Apartment, 22.0k / sqft.,1650 sqft.,,
,,,"Goregaon East, Mumbai",4.3 Cr,3 BHK Apartment, 21.29k / sqft.,2020 sqft.,,
,,,"Dahisar West, Mumbai",1.43 Cr,2 BHK Apartment, 13.75k / sqft.,1040 sqft.,,
,,,"Andheri West, Mumbai",1.78 Cr,2 BHK Apartment, 21.84k / sqft.,815 sqft.,,
,,,"Andheri East, Mumbai",1.8 Cr,3 BHK Apartment, 20.22k / sqft.,890 sqft.,,
,,,"Jogeshwari West, Mumbai",2.35 Cr,3 BHK Apartment, 14.64k / sqft.,1605 sqft.,,
,,,"Andheri West, Mumbai",3.63 Cr,3 BHK Apartment, 21.42k / sqft.,1695 sqft.,,
,,,"Bhandup West, Mumbai",74.0 L,1 BHK Apartment, 13.38k / sqft.,553 sqft.,,
,,,"Kandivali East, Mumbai",1.15 Cr,2 BHK Apartment, 12.57k / sqft.,915 sqft.,,
,,,"Agripada, Mumbai",15.0 Cr,3 BHK Apartment, 55.35k / sqft.,2710 sqft.,,
,,,"Lower Parel, Mumbai",7.0 Cr,3 BHK Apartment, 39.55k / sqft.,1770 sqft.,,
,1 BHK Apartment,"Dec, 2020","Malad West, Mumbai",Price on Request,MK Karwari CHS Crystal Tower,,,,
60k per sqft.,"2, 3 BHK Apartments","Dec, 2023","Khar West, Mumbai",4.0 Cr - 5.97 Cr,Orra Loita Kunj Chs Ltd,,,,
23.63k per sqft.,"1, 2 BHK Apartments",,"Wadala, Mumbai",94.4 L - 1.87 Cr,Neumec Shreeji Towers,,,Under Construction,
,,"19th Dec, 2020","Worli, Mumbai",11.45 Cr,3 BHK Apartment, 60.26k / sqft.,1900 sqft.,,
,,"17th Oct, 2020","Bandra East, Mumbai",10.63 Cr,4 BHK Apartment, 46.91k / sqft.,2266 sqft.,,
,,,"Bandra East, Mumbai",7.05 Cr,3 BHK Apartment, 29.3k / sqft.,2406 sqft.,Ready to move in,
,,,"Wadala, Mumbai",8.77 Cr,4 BHK Apartment, 37.4k / sqft.,2345 sqft.,Ready to move in,
,,,"Andheri East, Mumbai",1.15 Cr,2 BHK Apartment, 15.71k / sqft.,732 sqft.,,
,,,"Andheri East, Mumbai",1.95 Cr,2 BHK Apartment, 16.88k / sqft.,1155 sqft.,,
,,,"Andheri West, Mumbai",1.75 Cr,2 BHK Apartment, 22.01k / sqft.,795 sqft.,,
,,,"Bhandup West, Mumbai",1.34 Cr,2 BHK Apartment, 15.18k / sqft.,883 sqft.,Ready to move in,
,,,"Kandivali East, Mumbai",1.12 Cr,2 BHK Apartment, 10.67k / sqft.,1050 sqft.,,
,,,"Kandivali West, Mumbai",2.6 Cr,3 BHK Apartment, 15.48k / sqft.,1680 sqft.,,
,,,"Kandivali East, Mumbai",2.3 Cr,2 BHK Apartment, 20.91k / sqft.,1100 sqft.,,
23.5k per sqft.,"1, 1.5, 2 BHK Apartments","Dec, 2025","Andheri East, Mumbai",70.42 L - 1.39 Cr,Bindras Complex Bldg B1 Wing A B,,,,
,,,"Wadala, Mumbai",6.7 Cr,3 BHK Apartment, 29.71k / sqft.,2255 sqft.,,
,,,"Kurla West, Mumbai",3.5 Cr,3 BHK Apartment, 24.14k / sqft.,1450 sqft.,,
,,"30th Nov, 2020","Mulund West, Mumbai",2.15 Cr,3 BHK Apartment, 14.98k / sqft.,1435 sqft.,,
,,"30th Nov, 2022","Malad East, Mumbai",69.0 L,1 BHK Apartment, 16.01k / sqft.,431 sqft.,,
,,,"Prabhadevi, Mumbai",18.0 Cr,4 BHK Independent Floor, 38.3k / sqft.,4700 sqft.,,
,,,"Santacruz East, Mumbai",3.25 Cr,3 BHK Apartment, 23.81k / sqft.,1365 sqft.,,
,,"29th Dec, 2022","Kandivali East, Mumbai",1.0 Cr,2 BHK Independent House, 11.11k / sqft.,900 sqft.,,
,,,"Bandra East, Mumbai",29.0 Cr,4 BHK Apartment, 43.71k / sqft.,6635 sqft.,,
,,,"Borivali West, Mumbai",66.0 L,1 RK Apartment, 14.8k / sqft.,446 sqft.,,
,,,"Kandivali East, Mumbai",1.79 Cr,3 BHK Apartment, 14.61k / sqft.,1225 sqft.,,
,,,"Kandivali East, Mumbai",2.54 Cr,3 BHK Apartment, 17.52k / sqft.,1450 sqft.,,
,"2, 3 BHK Apartments",,"Malad West, Mumbai",Price on Request,Jasani Scorpio,,,Under Construction,
21.75k per sqft.,"1, 1.5, 2 BHK Apartments","Dec, 2025","Malad East, Mumbai",1.22 Cr - 1.55 Cr,Neelyog Virat A Wing,,,,
,,,"Kandivali East, Mumbai",3.65 Cr,3 BHK Apartment, 20.28k / sqft.,1800 sqft.,,
,,,"Kandivali East, Mumbai",2.45 Cr,3 BHK Apartment, 13.72k / sqft.,1786 sqft.,,
,,,"Kanjurmarg East, Mumbai",89.0 L,1 BHK Apartment, 13.88k / sqft.,641 sqft.,,
,,,"Bhandup West, Mumbai",1.07 Cr,2 BHK Apartment, 13.26k / sqft.,807 sqft.,,
,,"30th Nov, 2021","Kandivali East, Mumbai",1.88 Cr,1 BHK Apartment, 15.41k / sqft.,1220 sqft.,,
,,,"Chembur, Mumbai",80.0 L,1 RK Apartment, 21.62k / sqft.,370 sqft.,,
,,,"Kandivali East, Mumbai",1.88 Cr,3 BHK Apartment, 15.41k / sqft.,1220 sqft.,,
,,,"Kamathipura, Mumbai",1.15 Cr,1 RK Apartment, 23.0k / sqft.,500 sqft.,,
,,,"Kandivali East, Mumbai",1.7 Cr,2 BHK Apartment, 14.17k / sqft.,1200 sqft.,Ready to move in,
,,"30th Nov, 2020","Kandivali East, Mumbai",1.15 Cr,1 BHK Apartment, 19.83k / sqft.,580 sqft.,,
,,,"Borivali East, Mumbai",3.6 Cr,4 BHK Apartment, 19.98k / sqft.,1802 sqft.,,
,"1, 2 BHK Apartments","Dec, 2020","Malad East, Mumbai",Price on Request,Agarwal Dindoshi Sai Sadan CHS Ltd,,,,
,"1, 2 BHK Apartments","Dec, 2019","Mulund East, Mumbai",Price on Request,Padamavati Rajgriha Smriti,,,,
26k per sqft.,"1 RK, 1, 2, 3 BHK Apartments","Dec, 2019","Goregaon West, Mumbai",58.18 L - 2.76 Cr,Sadhna Anandi,,,,
17.5k per sqft.,"2, 3, 4 BHK Apartments",,"Dadar West, Mumbai",1.4 Cr - 2.54 Cr,Essgee Residences,,,Ready to Move,
,,,"Powai, Mumbai",1.32 Cr,1 BHK Apartment, 22.0k / sqft.,600 sqft.,,
,,,"Kandivali East, Mumbai",1.65 Cr,3 BHK Apartment, 13.2k / sqft.,1250 sqft.,,
,,,"Kandivali East, Mumbai",52.0 L,1 RK Apartment, 13.33k / sqft.,390 sqft.,,
,,"31st May, 2022","Dahisar East, Mumbai",74.0 L,1 BHK Apartment, 12.13k / sqft.,610 sqft.,,
,,,"Kandivali East, Mumbai",87.0 L,1 BHK Apartment, 13.7k / sqft.,635 sqft.,,
,,,"Borivali West, Mumbai",1.39 Cr,2 BHK Apartment, 13.9k / sqft.,1000 sqft.,,
,,,"Santacruz East, Mumbai",1.85 Cr,2 BHK Apartment, 16.82k / sqft.,1100 sqft.,,
,,,"Malad West, Mumbai",2.95 Cr,3 BHK Apartment, 22.61k / sqft.,1305 sqft.,,
,,,"Santacruz East, Mumbai",2.91 Cr,3 BHK Apartment, 20.07k / sqft.,1450 sqft.,,
,,,"Kandivali East, Mumbai",1.05 Cr,2 BHK Apartment, 16.15k / sqft.,650 sqft.,,
,,,"Borivali West, Mumbai",1.42 Cr,2 BHK Apartment, 15.78k / sqft.,900 sqft.,,
31.43k per sqft.,"2, 3, 4 BHK Apartments","May, 2026","Sion, Mumbai",1.66 Cr - 3.65 Cr,Siddha Sky Phase 4,,,,
,"2, 2.5, 3, 3.5 BHK Apartments","Mar, 2020","Mulund West, Mumbai",Price on Request,Nirmal Lifestyle Amethyst,,,,
32k per sqft.,"2, 2.5, 3 BHK Apartments","Jul, 2025","Andheri West, Mumbai",2.22 Cr - 3.63 Cr,Hubtown The Premiere Residences Bel Air,,,,
,"1, 1.5, 2 BHK Apartments","Dec, 2022","Jogeshwari West, Mumbai",Price on Request,Vision Heights Wing C,,,,
,,,"Bandra East, Mumbai",6.55 Cr,3 BHK Apartment, 39.62k / sqft.,1653 sqft.,Ready to move in,
,,,"Andheri East, Mumbai",1.59 Cr,2 BHK Apartment, 16.67k / sqft.,954 sqft.,,
,,,"Mulund West, Mumbai",1.02 Cr,1 BHK Apartment, 15.81k / sqft.,645 sqft.,,
,,,"Kandivali East, Mumbai",80.0 L,1 BHK Apartment, 13.33k / sqft.,600 sqft.,,
,,,"Malad West, Mumbai",70.0 L,1 BHK Apartment, 13.33k / sqft.,525 sqft.,,
,,,"Kandivali East, Mumbai",90.0 L,1 BHK Apartment, 16.36k / sqft.,550 sqft.,,
,,,"Santacruz East, Mumbai",2.4 Cr,2.5 BHK Apartment, 15.69k / sqft.,1530 sqft.,,
,,,"Kandivali East, Mumbai",1.1 Cr,2 BHK Apartment, 16.92k / sqft.,650 sqft.,,
,,,"Santacruz East, Mumbai",2.05 Cr,2 BHK Apartment, 16.53k / sqft.,1240 sqft.,,
,,,"Santacruz East, Mumbai",5.74 Cr,4 BHK Apartment, 25.93k / sqft.,2212 sqft.,Ready to move in,
,,,"Kanjurmarg West, Mumbai",1.8 Cr,2 BHK Apartment, 15.31k / sqft.,1176 sqft.,Ready to move in,
,"1, 2, 3 BHK Apartments","Nov, 2022","Goregaon West, Mumbai",Price on Request,Oxford Navrang Oasis,,,,
,"1 RK, 1, 2 BHK Apartments","Mar, 2020","Lower Parel, Mumbai",Price on Request,Vasant Villa,,,,
24.5k per sqft.,"1 RK, 1, 2 BHK Apartments","May, 2020","Kandivali West, Mumbai",37.95 L - 1.94 Cr,Heena Gokul Shreeji,,,,
,,"30th Nov, 2021","Kanjurmarg East, Mumbai",94.0 L,1 BHK Apartment, 14.78k / sqft.,636 sqft.,,
,,,"Powai, Mumbai",1.65 Cr,2 BHK Apartment, 18.33k / sqft.,900 sqft.,,
,,,"Borivali West, Mumbai",91.0 L,1 BHK Apartment, 14.0k / sqft.,650 sqft.,,
,,,"Andheri East, Mumbai",99.0 L,1 BHK Apartment, 16.64k / sqft.,595 sqft.,,
,,,"Kandivali East, Mumbai",87.0 L,1 BHK Apartment, 13.38k / sqft.,650 sqft.,,
,,,"Goregaon East, Mumbai",32.0 L,1 RK Apartment, 9.41k / sqft.,340 sqft.,,
,,,"Powai, Mumbai",2.65 Cr,3 BHK Apartment, 16.48k / sqft.,1608 sqft.,,
