Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
28k per sqft.,"1, 2 BHK Apartments","Mar, 2024","Andheri East, Mumbai",1.5 Cr - 3.1 Cr,Mahindra Vicino A3A4,,,,
,,,"Kandivali West, Mumbai",1.7 Cr,2 BHK Apartment, 22.67k / sqft.,750 sqft.,,
,,"31st Aug, 2022","Matunga East, Mumbai",3.4 Cr,2 BHK Apartment, 35.79k / sqft.,950 sqft.,,
,,,"Borivali West, Mumbai",1.5 Cr,2 BHK Apartment, 21.43k / sqft.,700 sqft.,,
,,,"Mulund East, Mumbai",1.9 Cr,2 BHK Apartment, 15.83k / sqft.,1200 sqft.,,
,,,"Borivali West, Mumbai",1.8 Cr,2 BHK Apartment, 25.71k / sqft.,700 sqft.,,
21.19k per sqft.,"2, 3, 4 BHK Apartments","Dec, 2022","Malad West, Mumbai",1.58 Cr - 3.32 Cr, Rajinfinia Phase II Wing A Wing B Wing C,,,,
,"2, 3, 4 BHK Apartments","Dec, 2020","Powai, Mumbai",2.17 Cr - 5.42 Cr,Emerald Isle Phase II,,,,
20.62k per sqft.,"1, 2, 3 BHK Apartments","Dec, 2023","Kandivali East, Mumbai",95.0 L - 2.15 Cr,Godrej Nest,,,,
20k per sqft.,"1, 2 BHK Apartments","Apr, 2025","Bhandup West, Mumbai",1.12 Cr - 1.43 Cr,Kukreja Gardens,,,,
25.67k per sqft.,2.5 BHK Apartment,,"Kandivali East, Mumbai",2.01 Cr - 2.04 Cr,Evershine Crown,,,Ready to Move,
39.83k per sqft.,"3, 4 BHK Apartments","Apr, 2018","Andheri West, Mumbai",11 Cr - 14 Cr,Windsor Grande Residences,,,,
25.65k per sqft.,"2, 3, 4 BHK Apartments","Dec, 2021","Andheri West, Mumbai",3.6 Cr - 10.0 Cr,Transcon Transcon Triumph Tower 1,,,,
,"Studio, 1, 2, 2.5, 3 BHK Apartment, Studio Apartments","Jun, 2025","Bhandup West, Mumbai",1.0 Cr - 2.45 Cr,Runwal Pinnacle,,,,
,"3, 4 BHK Apartments",,"Sion, Mumbai",5.85 Cr - 9.5 Cr,Lodha New Cuffe parade Lodha Evoq,,,Ready to Move,
,3 BHK Apartment,,"Versova, Andheri West",2.99 Cr,Crest,,,Ready to Move,
,,,"Bhandup West, Mumbai",2.3 Cr,3 BHK Apartment, 19.17k / sqft.,1200 sqft.,,
,,"20th Jun, 2021","Powai, Mumbai",4.61 Cr,4 BHK Apartment, 24.44k / sqft.,1886 sqft.,,
,,,"Mulund East, Mumbai",1.38 Cr,2 BHK Apartment, 14.53k / sqft.,950 sqft.,,
,,,"Wadala, Mumbai",3.2 Cr,2 BHK Apartment, 25.0k / sqft.,1280 sqft.,,
,,"20th Jun, 2021","Powai, Mumbai",1.68 Cr,2 BHK Apartment, 20.02k / sqft.,839 sqft.,,
,"2, 3 BHK Apartments","Dec, 2021","Goregaon West, Mumbai",1.98 Cr - 3.05 Cr,Wadhwa Anmol Fortune III,,,,
21.6k per sqft.,"2, 2.5, 3, 3.5 BHK Apartments","Dec, 2025","Mulund West, Mumbai",1.55 Cr - 3.4 Cr,L And T Rejuve 360 Tower A,,,,
,"1, 1.5, 2 BHK Studio Apartment, Apartments",,"Kurla East, Mumbai",85.68 L - 1.17 Cr,Puneet Prime Phase 2 Floor 3 To Floor 16,,,Under Construction,
,"2, 2.5, 3 BHK Apartments",,"Borivali East, Mumbai",1.83 Cr - 4.41 Cr,Rustomjee Summit,,,Under Construction,
19.5k per sqft.,"2, 3 BHK Apartments","Dec, 2024","Jogeshwari West, Mumbai",1.48 Cr - 2.22 Cr,Sunteck City 4th Avenue,,,,
25k per sqft.,"2, 3, 4 BHK Apartments","Dec, 2021","Goregaon West, Mumbai",2.12 Cr - 4.92 Cr,Kalpataru Radiance A,,,,
17.05k per sqft.,"2, 3, 4, 5 BHK Apartments",,"Malad East, Mumbai",2.2 Cr - 7.23 Cr,JP Decks,,,Under Construction,
42.5k per sqft.,"2, 3 BHK Apartments","Dec, 2020","Lower Parel, Mumbai",3.28 Cr - 4.07 Cr,Sanghvi Evana,,,,
,"2, 3 BHK Apartments","Jul, 2021","Near Times of India Press, Malad East",1.45 Cr - 2.45 Cr,F Residences,,,,
17.55k per sqft.,"2, 2.5, 3 BHK Apartment, Duplexes","Oct, 2025","Malad West, Mumbai",1.45 Cr - 2.33 Cr,Ahuja Linkpark,,,,
,,,"Sion, Mumbai",3.4 Cr,3 BHK Apartment, 26.36k / sqft.,1290 sqft.,,
,,"21st Dec, 2022","Powai, Mumbai",3.3 Cr,3 BHK Apartment, 22.77k / sqft.,1449 sqft.,,
,,,"Lower Parel, Mumbai",5.26 Cr,3 BHK Apartment, 36.28k / sqft.,1450 sqft.,,
,,,"Lower Parel, Mumbai",5.2 Cr,3 BHK Apartment, 35.86k / sqft.,1450 sqft.,,
,,,"Lower Parel, Mumbai",4.01 Cr,2 BHK Apartment, 34.87k / sqft.,1150 sqft.,,
23.5k per sqft.,"2, 3 BHK Apartments","Dec, 2023","Malad West, Mumbai",1.87 Cr - 3.14 Cr,Sheth Auris Serenity Tower 3,,,,
,"1, 2, 2.5, 3, 3.5, 4, 7 BHK Apartments","Dec, 2020","Mulund West, Mumbai",1.26 Cr - 7.71 Cr,Piramal Revanta,,,,
50k per sqft.,2 BHK Apartment,"Dec, 2023","Lower Parel, Mumbai",3.22 Cr - 3.23 Cr,Lodha Codename Great Deal,,,,
24k per sqft.,"2, 2.5, 3 BHK Apartments","Dec, 2020","Sion, Mumbai",1.59 Cr - 2.42 Cr,Ahuja O2,,,,
,"2, 3 BHK Apartments","Dec, 2023","Mulund West, Mumbai",1.44 Cr - 1.65 Cr,GHP Vaishakh,,,,
,"1, 2 BHK Apartments","Apr, 2022","Girgaon, Mumbai",Price on Request,Dada Maharaj Heights,,,,
,"2, 3 BHK Apartments","Dec, 2021","Byculla, Mumbai",2.89 Cr - 3.69 Cr,Monte South ,,,,
14.49k per sqft.,"1, 2 BHK Apartments","Dec, 2021","Bhandup West, Mumbai",85.0 L - 1.25 Cr,Swaroop Marvel Gold Phase II Colloseum,,,,
18.5k per sqft.,"1, 2 BHK Apartments","Dec, 2023","Mulund West, Mumbai",99.9 L - 1.36 Cr,Marathon Eminence,,,,
28.41k per sqft.,"2, 3, 4 BHK Apartments",,"Parel, Mumbai",3.75 Cr - 11.11 Cr,L&T Cresent Bay ,,,Ready to Move,
,,,"Goregaon East, Mumbai",2.35 Cr,3 BHK Independent House, 8.87k / sqft.,2650 sqft.,,
,,,"Mulund East, Mumbai",1.56 Cr,2 BHK Apartment, 15.92k / sqft.,980 sqft.,,
,,"28th Feb, 2021","Mahim, Mumbai",4.3 Cr,3 BHK Apartment, 35.83k / sqft.,1200 sqft.,,
,,,"Cumballa Hill, Mumbai",7.5 Cr,2 BHK Apartment, 62.5k / sqft.,1200 sqft.,,
,,,"Chembur, Mumbai",2.02 Cr,2 BHK Apartment, 21.0k / sqft.,962 sqft.,,
15k per sqft.,"2.5, 3, 4 BHK Apartments",,"Bhandup West, Mumbai",2.21 Cr - 5.96 Cr,Ashford Royale,,,Ready to Move,
19k per sqft.,"1, 2, 3 BHK Apartments","Feb, 2023","Vikhroli East, Mumbai",72.26 L - 1.29 Cr,Puneet Sanjivani Phase 3 Floor 21 To Floor 23,,,,
,"1, 2 BHK Apartments",,"Bhandup West, Mumbai",79 L - 1.15 Cr,Srishti Elegance,,,Ready to Move,
,"2, 3, 4 BHK Apartments",,"Ghatkopar East, Mumbai",2.75 Cr - 4.78 Cr,Damji Shamji Vasant Apartment,,,Ready to Move,
15k per sqft.,1 BHK Apartment,,"Bhandup West, Mumbai",81 L - 94.91 L,Suyog Suyog Jeevan Anand,,,Under Construction,
17.28k per sqft.,2 BHK Apartment,"Sep, 2023","Goregaon East, Mumbai",1.54 Cr - 1.72 Cr,Dynamix Divum,,,,
14.29k per sqft.,"1, 2 BHK Apartments","Dec, 2018","Bhandup West, Mumbai",1.05 Cr - 1.35 Cr,Srishti Samarth,,,,
43.1k per sqft.,"1, 2, 3 BHK Apartments","Sep, 2019","Wadala East, Mumbai",1.64 Cr - 4 Cr,New Cuffe Parade – Lodha Altia,,,,
25k per sqft.,"2, 3 BHK Apartments","Dec, 2019","Andheri West, Mumbai",2.48 Cr - 3.3 Cr,UK Sangfroid,,,,
24.19k per sqft.,"2, 3 BHK Apartments","May, 2022","Chembur, Mumbai",1.89 Cr - 2.79 Cr,Godrej Prime,,,,
,,,"Borivali East, Mumbai",1.65 Cr,2 BHK Apartment, 19.76k / sqft.,835 sqft.,,
,,,"Dadar West, Mumbai",1.44 Cr,1 BHK Apartment, 32.0k / sqft.,450 sqft.,,
,,,"Colaba, Mumbai",3.95 Cr,2 BHK Apartment, 32.92k / sqft.,1200 sqft.,,
,,,"Malad West, Mumbai",78.0 L,1 BHK Apartment, 13.71k / sqft.,569 sqft.,,
,,,"Worli, Mumbai",8.6 Cr,4 BHK Apartment, 36.64k / sqft.,2347 sqft.,,
16.2k per sqft.,"1, 2 BHK Apartments","Dec, 2023","Vikhroli East, Mumbai",61.92 L - 89.39 L,Shraddha Prestige,,,,
,2 BHK Apartment,"Dec, 2020","Goregaon West, Mumbai",1.2 Cr,Samadhan,,,,
,1 BHK Apartment,"Dec, 2023","Kanjurmarg East, Mumbai",1.14 Cr,Arkade Earth Wing Bluebell,,,,
18k per sqft.,2 BHK Apartment,,"Malad East, Mumbai",1.35 Cr - 1.4 Cr,Rizvi Cedar,,,Under Construction,
