Built Up Area,coord,lat,lng,price
,"(19.1656736, 72.8585435)",19.1656736,72.85854350000001,19500000.0
,"(19.1898861, 72.8354552)",19.1898861,72.8354552,18900000.0
1290.0,"(19.0357714, 72.85745159999999)",19.035771399999998,72.85745159999998,34002200.0
1449.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,32996865.0
1450.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,52603000.0
1450.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,51998500.0
1150.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,40100250.0
,"(19.191909, 72.8351595)",19.191909,72.8351595,25050000.0
,"(19.1660719, 72.9345506)",19.1660719,72.9345506,44850000.0
,"(18.9967566, 72.8277926)",18.9967566,72.8277926,32250000.0
,"(19.0533734, 72.8745407)",19.053373399999998,72.8745407,20050000.0
,"(19.1241789, 72.91521829999999)",19.1241789,72.91521829999998,15450000.0
,"(18.954797, 72.82254879999999)",18.954797,72.82254879999998,
,"(18.9732592, 72.8323549)",18.9732592,72.83235490000001,32900000.0
,"(19.1444809, 72.9343501)",19.144480899999998,72.93435009999999,10500000.0
,"(19.175293, 72.9561174)",19.175293,72.95611740000001,11795000.0
,"(19.0045997, 72.8493739)",19.0045997,72.8493739,74300000.0
2650.0,"(19.1662566, 72.8525696)",19.1662566,72.8525696,23502750.0
980.0,"(19.1743576, 72.9627471)",19.1743576,72.96274709999999,15600800.0
1200.0,"(19.060574, 72.85043999999999)",19.060574,72.85043999999998,42998000.0
1200.0,"(18.9773318, 72.8087718)",18.977331799999998,72.8087718,75000000.0
962.0,"(19.0461248, 72.9132122)",19.0461248,72.9132122,20201000.0
,"(19.1582728, 72.9454583)",19.1582728,72.9454583,40850000.0
,"(19.1141602, 72.9357502)",19.114160199999997,72.9357502,10063000.0
,"(19.1612887, 72.93846789999999)",19.1612887,72.93846789999998,9700000.0
,"(19.091282, 72.91643040000001)",19.091282,72.91643040000002,37650000.0
,"(19.1474631, 72.9259218)",19.147463100000003,72.9259218,8795500.0
,"(19.1780266, 72.87170619999999)",19.1780266,72.87170619999998,16300000.0
,"(19.1497906, 72.93267949999999)",19.149790600000003,72.93267949999998,12000000.0
,"(19.0372959, 72.87871)",19.037295899999997,72.87871,28200000.0
,"(19.1298829, 72.8361467)",19.1298829,72.8361467,28900000.0
,"(19.0638046, 72.8920434)",19.0638046,72.8920434,23400000.0
835.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,16499800.0
450.0,"(19.0200623, 72.8353928)",19.020062300000003,72.8353928,14400000.0
1200.0,"(18.9162281, 72.8295801)",18.9162281,72.8295801,39502000.0
569.0,"(19.2022243, 72.8152705)",19.2022243,72.8152705,7800495.0
2347.0,"(19.0017924, 72.82495899999999)",19.0017924,72.82495899999998,85997040.0
,"(19.1139223, 72.933971)",19.1139223,72.933971,7565500.0
,"(19.1529775, 72.84461770000001)",19.1529775,72.84461770000001,12000000.0
,"(19.1296561, 72.9333067)",19.129656100000002,72.9333067,11399999.999999998
,"(19.1910861, 72.8626421)",19.1910861,72.8626421,13750000.0
,"(18.9965184, 72.8290116)",18.9965184,72.82901159999999,18700000.0
,"(19.2004454, 72.87370229999999)",19.2004454,72.87370229999998,22791500.0
,"(19.148385, 72.9270698)",19.148385,72.9270698,4732500.0
,"(19.1705898, 72.9372799)",19.170589800000002,72.93727990000001,26000000.0
,"(19.1124059, 72.8863937)",19.1124059,72.8863937,21250000.0
,"(19.1296561, 72.9333067)",19.129656100000002,72.9333067,14550000.0
886.0,"(18.9710396, 72.8128308)",18.9710396,72.8128308,49998490.0
740.0,"(19.0720631, 72.8371073)",19.0720631,72.8371073,19001600.0
852.0,"(19.0588586, 72.8790468)",19.0588586,72.8790468,11901220.0
1100.0,"(19.0484216, 72.8225229)",19.0484216,72.82252290000001,36001500.0
1200.0,"(19.0461248, 72.9132122)",19.0461248,72.9132122,30000000.0
,"(19.1306261, 72.83897259999999)",19.130626100000004,72.83897259999998,17500000.0
,"(19.088571, 72.91483199999999)",19.088570999999998,72.91483199999998,14100000.0
,"(19.148385, 72.9270698)",19.148385,72.9270698,5095000.0
,"(19.2081416, 72.8798446)",19.2081416,72.8798446,12703500.0
,"(19.1517173, 72.93438569999999)",19.1517173,72.93438569999998,10900000.0
,"(19.105854, 72.91746289999999)",19.105854,72.91746289999998,11299500.0
,"(19.1756223, 72.87776550000001)",19.1756223,72.87776550000002,11940000.0
,"(19.177983, 72.8501228)",19.177982999999998,72.8501228,13700000.0
,"(19.1652655, 72.9584587)",19.1652655,72.95845870000001,22600000.0
1300.0,"(19.1139004, 72.8524015)",19.1139004,72.8524015,23999000.0
3500.0,"(18.963602, 72.8197928)",18.963601999999998,72.8197928,105000000.0
1800.0,"(19.1139004, 72.8524015)",19.1139004,72.8524015,34001000.0
2400.0,"(19.060574, 72.85043999999999)",19.060574,72.85043999999998,69000000.0
2650.0,"(18.9345189, 72.8371021)",18.934518899999997,72.8371021,110000750.0
,"(19.1656736, 72.8585435)",19.1656736,72.85854350000001,13969500.0
,"(19.176289, 72.8623745)",19.176289,72.8623745,13876500.0
,"(19.1217876, 72.9178755)",19.1217876,72.9178755,21250000.0
,"(19.2244924, 72.8662173)",19.2244924,72.86621729999999,10866000.0
,"(19.1920516, 72.8671351)",19.1920516,72.86713509999998,4850000.0
,"(19.1581084, 72.947482)",19.158108399999996,72.947482,24200000.0
,"(19.0086952, 72.8334279)",19.0086952,72.8334279,94550000.0
,"(19.1956336, 72.8685115)",19.1956336,72.8685115,12800000.0
,"(19.2005188, 72.8666326)",19.2005188,72.86663259999999,10250000.0
,"(19.0701721, 72.8956536)",19.0701721,72.8956536,19750000.0
1400.0,"(18.9713485, 72.8334349)",18.971348499999998,72.8334349,27498000.0
600.0,"(19.1631138, 72.9380904)",19.1631138,72.93809040000001,10001000.0
3600.0,"(19.1137589, 72.8316308)",19.113758899999997,72.8316308,174998000.0
1050.0,"(19.1289207, 72.8619092)",19.1289207,72.8619092,32498750.0
1550.0,"(19.060574, 72.85043999999999)",19.060574,72.85043999999998,47503750.0
,"(19.2202063, 72.8666866)",19.2202063,72.8666866,10805000.0
,"(19.071964, 72.9047906)",19.071964,72.9047906,10950000.0
,"(19.1146146, 72.8840941)",19.1146146,72.8840941,23750000.0
,"(19.1458935, 72.8574175)",19.1458935,72.85741750000001,12900000.0
,"(19.2004135, 72.8412127)",19.2004135,72.8412127,12816000.0
,"(19.1228461, 72.8701047)",19.1228461,72.8701047,9582500.0
,"(19.0636649, 72.9030342)",19.0636649,72.90303420000001,6990000.000000001
,"(19.0517369, 72.8866485)",19.051736899999998,72.88664849999999,18550000.0
,"(19.122313, 72.8857403)",19.122313000000002,72.8857403,23550000.0
,"(19.1114388, 72.92678)",19.111438800000002,72.92678000000001,12800000.0
1020.0,"(19.160481, 72.9454193)",19.160481,72.9454193,21000900.0
1150.0,"(19.2438394, 72.86778819999999)",19.2438394,72.86778819999998,9970250.0
1000.0,"(18.9713485, 72.8334349)",18.971348499999998,72.8334349,29900000.0
450.0,"(19.1511736, 72.8326275)",19.1511736,72.8326275,10999000.0
1016.0,"(19.1423522, 72.8449636)",19.1423522,72.8449636,24890920.0
,"(19.0573852, 72.9050061)",19.0573852,72.9050061,14250000.0
,"(19.1452091, 72.8321637)",19.145209100000002,72.8321637,13750000.0
,"(19.2021196, 72.8283116)",19.202119600000003,72.82831159999999,5863500.0
,"(19.1705898, 72.9372799)",19.170589800000002,72.93727990000001,19800000.0
,"(19.2410255, 72.86365789999999)",19.2410255,72.86365789999998,9350000.0
,"(19.1943396, 72.8593747)",19.1943396,72.8593747,9183500.0
,"(19.1751161, 72.86534809999999)",19.175116100000004,72.86534809999998,15200000.0
,"(19.2022243, 72.8152705)",19.2022243,72.8152705,16600000.0
,"(19.2490129, 72.8638785)",19.2490129,72.8638785,19500000.0
567.0,"(19.1969201, 72.876083)",19.1969201,72.876083,7099420.0
850.0,"(19.1915579, 72.8604115)",19.1915579,72.8604115,11799000.0
595.0,"(19.0523035, 72.9150722)",19.0523035,72.91507220000001,11000775.0
450.0,"(19.1969201, 72.876083)",19.1969201,72.876083,7001000.0
650.0,"(19.1367393, 72.9317595)",19.136739300000002,72.9317595,9501500.0
,"(19.0561703, 72.9102535)",19.0561703,72.91025350000001,10700000.0
,"(19.246381, 72.872314)",19.246381,72.872314,5887000.0
,"(19.2053584, 72.824022)",19.205358399999998,72.824022,9308000.0
,"(19.1954037, 72.83340919999999)",19.1954037,72.83340919999998,15850000.0
,"(19.2510181, 72.87208799999999)",19.2510181,72.87208799999998,8515500.0
,"(19.1839665, 72.8425555)",19.1839665,72.8425555,26700000.0
,"(19.2130374, 72.8188768)",19.213037399999997,72.8188768,16500000.0
,"(19.1148576, 72.84996319999999)",19.1148576,72.84996319999998,19350000.0
,"(19.0661753, 72.89272869999999)",19.0661753,72.89272869999998,15403000.0
923.0,"(19.160481, 72.9454193)",19.160481,72.9454193,11001080.0
1000.0,"(19.1011489, 72.91122419999999)",19.1011489,72.91122419999998,18500000.0
657.0,"(19.0357714, 72.85745159999999)",19.035771399999998,72.85745159999998,14801105.0
2000.0,"(19.0764024, 72.8290568)",19.0764024,72.8290568,92500000.0
2160.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,90003600.0
,"(19.2095239, 72.87463389999999)",19.209523899999997,72.87463389999998,14800000.0
,"(19.2433451, 72.8605113)",19.2433451,72.8605113,10100000.0
,"(18.9126831, 72.8212934)",18.9126831,72.8212934,16250000.0
,"(19.0621229, 72.922263)",19.0621229,72.922263,6165000.0
,"(19.0703949, 72.8460777)",19.0703949,72.8460777,11600000.0
,"(18.9774928, 72.8262763)",18.9774928,72.82627629999999,
,"(18.9449599, 72.7943332)",18.944959899999997,72.79433320000001,
,"(19.1516156, 72.7977051)",19.151615600000003,72.7977051,
,"(18.9462445, 72.8264998)",18.946244500000002,72.82649980000001,17000000.0
,"(18.9492073, 72.80019589999999)",18.9492073,72.80019589999998,
711.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,13999795.0
550.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,19001250.0
400.0,"(18.96851, 72.8437825)",18.968510000000002,72.84378249999999,14000000.0
580.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,12998900.0
700.0,"(19.195874, 72.839519)",19.195874,72.839519,15499000.0
,"(19.1700756, 72.958497)",19.1700756,72.958497,16850000.0
,"(19.0093414, 72.8984317)",19.0093414,72.8984317,9711500.0
,"(19.0523512, 72.9354908)",19.0523512,72.9354908,17900000.0
,"(19.0321447, 72.847383)",19.0321447,72.847383,
,"(19.0093414, 72.8984317)",19.0093414,72.8984317,
,"(19.0996248, 72.8848733)",19.0996248,72.8848733,14854000.0
,"(18.9470425, 72.83002479999999)",18.9470425,72.83002479999998,28300000.0
,"(19.1464196, 72.7954178)",19.1464196,72.7954178,30850000.0
,"(18.9905474, 72.81327499999999)",18.990547399999997,72.81327499999998,
,"(18.9573691, 72.80736139999999)",18.9573691,72.80736139999998,
825.0,"(19.1289207, 72.8619092)",19.1289207,72.8619092,24998750.0
800.0,"(19.160481, 72.9454193)",19.160481,72.9454193,8502000.0
910.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,21001400.0
861.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,16998070.0
780.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,14399400.0
,"(18.9687784, 72.8229581)",18.968778399999998,72.8229581,
,"(18.9587767, 72.8195887)",18.958776699999998,72.8195887,
,"(19.0065856, 72.8504173)",19.006585600000005,72.85041729999999,12900000.0
,"(19.104834, 72.9287499)",19.104834,72.92874990000001,16850000.0
,"(18.9956254, 72.8208318)",18.995625399999998,72.8208318,258600000.0
,"(18.977367, 72.823894)",18.977367,72.823894,
,"(18.9771208, 72.8307456)",18.9771208,72.83074559999999,
,"(19.0732155, 72.8252838)",19.0732155,72.8252838,
,"(19.0747117, 72.9176813)",19.074711699999998,72.9176813,
,"(19.0125847, 72.8904232)",19.012584699999998,72.8904232,
660.0,"(19.0781606, 72.914467)",19.078160600000004,72.914467,8400900.0
375.0,"(19.1289496, 72.930686)",19.128949600000002,72.930686,3799375.0
447.0,"(19.0781606, 72.914467)",19.078160600000004,72.914467,11800400.0
1350.0,"(19.0282347, 72.8785587)",19.0282347,72.8785587,28999000.0
1400.0,"(19.1979771, 72.87249179999999)",19.1979771,72.87249179999998,25497000.0
,"(19.0844319, 72.828636)",19.0844319,72.828636,
,"(19.0749268, 72.841814)",19.0749268,72.841814,10916000.0
,"(19.0353849, 72.8423036)",19.0353849,72.8423036,
,"(19.0303478, 72.8465834)",19.0303478,72.8465834,
,"(18.9454613, 72.834555)",18.9454613,72.83455500000001,
,"(19.0353999, 72.84334559999999)",19.035399899999998,72.84334559999998,38850000.0
,"(19.0372848, 72.84634)",19.0372848,72.84634,22050000.0
,"(18.9559501, 72.83741549999999)",18.955950100000003,72.83741549999998,33800000.0
,"(19.03902, 72.839941)",19.03902,72.83994100000001,
,"(18.9482031, 72.7973651)",18.9482031,72.7973651,
650.0,"(19.172349, 72.881314)",19.172349,72.881314,9348500.0
1085.0,"(19.1289207, 72.8619092)",19.1289207,72.8619092,31498775.0
1200.0,"(19.1289207, 72.8619092)",19.1289207,72.8619092,45000000.0
1500.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,26897500.0
1020.0,"(19.1139004, 72.8524015)",19.1139004,72.8524015,30998900.0
,"(19.1031881, 72.8485318)",19.1031881,72.8485318,53000000.0
,"(18.9588137, 72.823803)",18.9588137,72.823803,
,"(19.0047618, 72.8536711)",19.0047618,72.85367109999999,
,"(19.0747117, 72.9176813)",19.074711699999998,72.9176813,16764000.0
,"(19.0382146, 72.8410293)",19.0382146,72.84102929999999,18650000.0
,"(19.1372423, 72.9349833)",19.1372423,72.9349833,13650000.0
