price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,facing,availability,car parking,balcony,owner resides,overlooking
"₹ 18,000",3 BHK House for rent in Thiruneermalai 1500 sqft,,,1 out of 1 Floor,Semi-Furnished,Bachelors/Family,3,East,Immediately,,1,,Main Road
"₹ 8,000","1 BHK House for rent in MKB Nagar, Ambattur",,,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,,,Immediately,,,,
"₹ 8,000",2 BHK House for rent in Nanmangalam 600 sqft,,,Ground out of 2 Floors,Unfurnished,Bachelors/Family,1,North,Immediately,1 Open,1,,
"₹ 21,000",3 BHK Apartment for rent in Velachery 1350 sqft,,,2 out of 2 Floors,Unfurnished,Bachelors/Family,2,South,Immediately,2 Covered,2,,Main Road
"₹ 12,000",2 BHK Builder Floor for rent in Mogappair West 900 sqft,13.082046508789062,80.17493438720703,Ground out of 2 Floors,Semi-Furnished,Bachelors/Family,2,North,Immediately,,,,Main Road
"₹ 24,500",2 BHK Builder Floor for rent in Ranga reddy garden 950 sqft,,,1 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,,From Mar '20,,,,
"₹ 32,000","3 BHK Apartment for rent in Rama Kamath Puram, T Nagar 1050 sqft",,,Ground out of 2 Floors,Semi-Furnished,Family,2,South,Immediately,1 Covered,1,,Main Road
"₹ 35,000",4 BHK Villa for rent in Velan Nagar 2700 sqft,,,,Semi-Furnished,Bachelors/Family,4,,Immediately,,,,
"₹ 11,000","2 BHK Builder Floor for rent in Manali New Town, Manali 750 sqft",,,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 40,000",3 BHK Builder Floor for rent in Anna Nagar 1900 sqft,13.0610990524292,80.19330596923828,Ground out of 3 Floors,Semi-Furnished,Bachelors,3,North,Immediately,"1 Covered, 1 Open",,,"Garden/Park, Main Road"
₹ 1.7 Lac,"3 BHK Apartment for rent in The Crest, Velachery 2800 sqft",12.9936341,80.21801628,,,,,,,,,,
"₹ 12,000","2 BHK Builder Floor for rent in Astalakshmi Nagar, Valasaravakkam 750 sqft",,,Ground out of 1 Floor,Semi-Furnished,Family,2,South,Immediately,1 Open,1,,Main Road
"₹ 18,500","3 BHK Builder Floor for rent in Gowrivakkam, Sembakkam 1292 sqft",,,1 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 15,000",2 BHK House for rent in Poonamalle 750 sqft,,,,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 6,000","1 BHK House for rent in Anjugam Nagar, Tiruvottiyur",,,Ground out of 1 Floor,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,
"₹ 6,500",1 BHK Builder Floor for rent in Selaiyur,,,,Furnished,Bachelors/Family,2,,Immediately,1 Covered,1,,
"₹ 7,000",3 BHK Villa for rent in Manimangalam 1220 sqft,,,,Semi-Furnished,Bachelors,3,,Immediately,1 Covered,1,,
