price,longitude,latitude,bathroom,coord,bhk,sqft
14000.0,80.16233670000001,13.034395199999999,,"(13.0343952, 80.1623367)",2.0,1000.0
6000.0,13.074247360229492,79.66032409667969,,"(13.0929577, 79.6631917)",1.0,
34000.0,12.501238,80.135657,,"(12.8371413, 80.23201619999999)",3.0,1749.0
38000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1350.0
27000.0,80.258866,12.956043,,"(12.956043, 80.258866)",3.0,1600.0
20000.0,13.052017211914062,80.21369171142578,,"(13.0534467, 80.2235188)",2.0,900.0
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
,80.24823289999998,13.0065799,,"(13.0065799, 80.24823289999999)",4.0,6000.0
35000.0,13.039969,80.13157199999998,,"(13.0435615, 80.13013020000001)",3.0,1791.0
40000.0,13.039969,80.13157199999998,,"(13.0435615, 80.13013020000001)",4.0,2621.0
11000.0,12.973403930664062,80.1319351196289,,"(17.385044, 78.486671)",3.0,1030.0
10500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,780.0
65000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,2000.0
30000.0,12.911072,80.203333,,"(12.9108681, 80.20338679999999)",4.0,2570.0
32000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1600.0
55000.0,13.07844352722168,80.21522521972656,,"(17.4508429, 78.4786192)",3.0,2062.0
26000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1700.0
18000.0,80.2595053,12.981282499999999,,"(12.9812825, 80.2595053)",2.0,850.0
33000.0,80.24823289999998,13.0065799,,"(13.0065799, 80.24823289999999)",3.0,1430.0
10000.0,12.9804363250732,80.131965637207,,"(17.385044, 78.486671)",2.0,1000.0
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,950.0
7500.0,12.92258358001709,80.14441680908203,,"(17.385044, 78.486671)",2.0,600.0
30000.0,13.053281,80.204059,,"(13.0530256, 80.2041126)",3.0,1650.0
