,title,price_per_month,deposit,rooms,baths,FOR FAMILY,FOR SINGLE MEN,FOR SINGLE WOMEN,FURNISHED,price
0,2 BHK Flat for rent in Wadala East,"₹ 55,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '55,000', '/monthDeposit', '₹', '200000']"
1,2 BHK Flat for rent in Bandra (West),"₹ 90,000",₹ 300000,BHK2,2,1.0,1.0,1.0,,"['₹', '90,000', '/monthDeposit', '₹', '300000']"
2,2 BHK Flat for rent in Vijay Nagari,"₹ 28,000",month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '28,000', '/monthDeposit', '6', 'month(s)', 'rent']"
3,2 BHK Flat for rent in Kandivali (East),"₹ 34,500",₹ 150000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '34,500', '/monthDeposit', '₹', '150000']"
4,2 BHK Flat for rent in Hiranandani Gardens - Powai,"₹ 90,000",month(s) rent,BHK2,2,1.0,,,1.0,"['₹', '90,000', '/monthDeposit', '4', 'month(s)', 'rent']"
5,2 BHK Flat for rent in Sector 23 Ghansoli,"₹ 24,000",₹ 60000,BHK2,2,1.0,1.0,1.0,,"['₹', '24,000', '/monthDeposit', '₹', '60000']"
6,2 BHK Flat for rent in Kolshet Road,"₹ 22,500",₹ 100000,BHK2,2,1.0,,,,"['₹', '22,500', '/monthDeposit', '₹', '100000']"
7,2 BHK Flat for rent in Lower Parel,"₹ 85,000",month(s) rent,BHK3,3,,,,1.0,"['₹', '85,000', '/monthDeposit', '6', 'month(s)', 'rent']"
8,2 BHK Flat for rent in Goregaon (East),"₹ 38,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '38,000', '/monthDeposit', '₹', '100000']"
9,2 BHK Flat for rent in Thane West,"₹ 23,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '23,000', '/monthDeposit', '₹', '100000']"
10,3 BHK Flat for rent in Jogeshwari (East),"₹ 72,000",₹ 300000,BHK2,2,1.0,,,,"['₹', '72,000', '/monthDeposit', '₹', '300000']"
11,1 BHK Flat for rent in Worli,"₹ 26,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '26,000', '/monthDeposit', '₹', '50000']"
12,3 BHK Flat for rent in Dadar (East),₹ 1.38,₹ 349000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.38', 'Lac', '/monthDeposit', '₹', '349000']"
13,3 BHK Flat for rent in Dadar (East),₹ 1.34,₹ 349000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.34', 'Lac', '/monthDeposit', '₹', '349000']"
14,3 BHK Flat for rent in Vile Parle (West),"₹ 75,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '75,000', '/monthDeposit', '₹', '300000']"
15,2 BHK Flat for rent in Sector-18 Kopar Khairane,"₹ 19,000",₹ 50000,BHK2,2,1.0,,,,"['₹', '19,000', '/monthDeposit', '₹', '50000']"
16,2 BHK Flat for rent in Andheri (East),"₹ 53,000",month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '53,000', '/monthDeposit', '4', 'month(s)', 'rent']"
17,2 BHK Flat for rent in Parel,₹ 1,month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '1', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
18,2 BHK Flat for rent in Chembur,"₹ 44,000",₹ 200000,BHK1,1,1.0,,,,"['₹', '44,000', '/monthDeposit', '₹', '200000']"
19,3 BHK Flat for rent in Prabhadevi,₹ 2,Lac /month,BHK3,3,,,,1.0,"['₹', '2', 'Lac', '/month']"
20,3 BHK Flat for rent in Andheri (West),"₹ 65,000",₹ 300000,BHK3,3,1.0,,,1.0,"['₹', '65,000', '/monthDeposit', '₹', '300000']"
21,4 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 2.65,month(s) rent,BHK6,6,1.0,1.0,1.0,,"['₹', '2.65', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
22,1 BHK Flat for rent in Lokhandwala Kandivali East,"₹ 24,000",₹ 150000,BHK1,1,1.0,,,1.0,"['₹', '24,000', '/monthDeposit', '₹', '150000']"
23,2 BHK Flat for rent in Mulund (East),"₹ 32,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '32,000', '/monthDeposit', '₹', '150000']"
24,1 BHK Flat for rent in Andheri (East),"₹ 30,000",₹ 100000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '30,000', '/monthDeposit', '₹', '100000']"
25,2 BHK Flat for rent in Raheja Estate,"₹ 33,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '33,000', '/monthDeposit', '₹', '100000']"
26,2 BHK Flat for rent in Mira Road,"₹ 18,000",₹ 80000,BHK2,2,1.0,,,,"['₹', '18,000', '/monthDeposit', '₹', '80000']"
27,1 BHK Flat for rent in Chembur,"₹ 33,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '33,000', '/monthDeposit', '₹', '100000']"
28,2 BHK Flat for rent in Worli,"₹ 95,000",month(s) rent,BHK2,2,,,,1.0,"['₹', '95,000', '/monthDeposit', '6', 'month(s)', 'rent']"
29,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.37,month(s) rent,BHK3,3,1.0,1.0,1.0,1.0,"['₹', '1.37', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
30,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.37,month(s) rent,BHK3,3,1.0,1.0,1.0,1.0,"['₹', '1.37', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
31,4 BHK Flat for rent in Andheri (West),"₹ 80,000",₹ 200000,BHK4,4,1.0,1.0,1.0,,"['₹', '80,000', '/monthDeposit', '₹', '200000']"
32,4 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.6,month(s) rent,BHK4,4,1.0,,,,"['₹', '1.6', 'Lac', '/monthDeposit', '4', 'month(s)', 'rent']"
33,2 BHK Flat for rent in Worli Hill,"₹ 70,000",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '70,000', '/monthDeposit', '6', 'month(s)', 'rent']"
34,3 BHK Flat for rent in Sector-14 Koparkhairane,"₹ 30,000",₹ 150000,BHK2,2,1.0,1.0,,,"['₹', '30,000', '/monthDeposit', '₹', '150000']"
35,1 BHK Flat for rent in Jankalyan Nagar,"₹ 24,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '24,000', '/monthDeposit', '₹', '100000']"
36,2 BHK Flat for rent in Parel,₹ 1.25,₹ 500000,BHK2,2,1.0,,,,"['₹', '1.25', 'Lac', '/monthDeposit', '₹', '500000']"
37,2 BHK Flat for rent in Gandhi Nagar Worli,"₹ 72,000",₹ 200000,BHK2,2,,,,,"['₹', '72,000', '/monthDeposit', '₹', '200000']"
38,3 BHK Flat for rent in Sector 12 Vashi,"₹ 60,000",₹ 360000,BHK3,3,1.0,,,,"['₹', '60,000', '/monthDeposit', '₹', '360000']"
39,2 BHK Flat for rent in Kandivali (East),"₹ 26,000",₹ 120000,BHK2,2,1.0,,,,"['₹', '26,000', '/monthDeposit', '₹', '120000']"
40,2 BHK Flat for rent in Bandra (West),"₹ 95,000",₹ 300000,BHK2,2,1.0,1.0,1.0,,"['₹', '95,000', '/monthDeposit', '₹', '300000']"
41,2 BHK Flat for rent in Andheri (East),"₹ 50,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '50,000', '/monthDeposit', '₹', '150000']"
42,2 BHK Flat for rent in Powai,"₹ 53,000",₹ 200000,BHK2,2,1.0,1.0,,1.0,"['₹', '53,000', '/monthDeposit', '₹', '200000']"
43,2 BHK Flat for rent in Andheri (East),"₹ 55,000",month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '55,000', '/monthDeposit', '4', 'month(s)', 'rent']"
44,2 BHK Flat for rent in Andheri (West),"₹ 38,500",₹ 125000,BHK1,1,1.0,,,1.0,"['₹', '38,500', '/monthDeposit', '₹', '125000']"
45,4 BHK Flat for rent in Raheja Vihar,"₹ 75,000",₹ 30000,BHK3,3,1.0,1.0,1.0,,"['₹', '75,000', '/monthDeposit', '₹', '30000']"
46,2 BHK Flat for rent in Powai,"₹ 56,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '56,000', '/monthDeposit', '₹', '200000']"
47,1 BHK Flat for rent in Bandra (West),"₹ 65,000",₹ 200000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '65,000', '/monthDeposit', '₹', '200000']"
48,2 BHK Flat for rent in Jankalyan Nagar,"₹ 29,000","29,000 /month",BHK2,2,1.0,,,1.0,"['₹', '29,000', '/month']"
49,2 BHK Flat for rent in Prabhadevi,"₹ 90,000",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '90,000', '/monthDeposit', '6', 'month(s)', 'rent']"
50,2 BHK Flat for rent in Sector 21 Nerul,"₹ 32,500",₹ 125000,BHK2,2,1.0,,,,"['₹', '32,500', '/monthDeposit', '₹', '125000']"
51,2 BHK Flat for rent in Kandivali (East),"₹ 26,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '26,000', '/monthDeposit', '₹', '150000']"
52,2 BHK Flat for rent in Kalyan (West),"₹ 11,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '11,000', '/monthDeposit', '₹', '50000']"
53,3 BHK Flat for rent in Seawoods,"₹ 45,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '45,000', '/monthDeposit', '6', 'month(s)', 'rent']"
54,2 BHK Flat for rent in Kandivali (East),"₹ 27,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '27,000', '/monthDeposit', '₹', '150000']"
55,2 BHK Flat for rent in Hiranandani Estate,"₹ 30,000",month(s) rent,BHK2,2,1.0,,,,"['₹', '30,000', '/monthDeposit', '6', 'month(s)', 'rent']"
56,1 BHK Flat for rent in Kasar vadavali,"₹ 13,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '13,000', '/monthDeposit', '₹', '50000']"
57,2 BHK Flat for rent in Chembur,"₹ 41,000",₹ 150000,BHK2,2,1.0,1.0,1.0,,"['₹', '41,000', '/monthDeposit', '₹', '150000']"
58,3 BHK Flat for rent in Worli,₹ 1.1,₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.1', 'Lac', '/monthDeposit', '₹', '300000']"
59,3 BHK Flat for rent in Sector-46 Seawoods,"₹ 52,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '52,000', '/monthDeposit', '₹', '300000']"
60,2 BHK Flat for rent in Mahalaxmi,₹ 3.25,month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '3.25', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
61,2 BHK Flat for rent in Mahalaxmi,₹ 3.25,month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '3.25', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
62,2 BHK Flat for rent in Reclamation,"₹ 80,000",₹ 300000,BHK1,1,1.0,1.0,1.0,,"['₹', '80,000', '/monthDeposit', '₹', '300000']"
63,3 BHK Flat for rent in Malad (East),"₹ 58,000",₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '58,000', '/monthDeposit', '₹', '300000']"
64,2 BHK Flat for rent in Marol,"₹ 57,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '57,000', '/monthDeposit', '₹', '200000']"
65,2 BHK Flat for rent in Kanchpada,"₹ 55,000",₹ 200000,BHK3,3,1.0,1.0,1.0,,"['₹', '55,000', '/monthDeposit', '₹', '200000']"
66,1 BHK Flat for rent in Pokhran-2,"₹ 18,500",₹ 80000,BHK2,2,1.0,,1.0,,"['₹', '18,500', '/monthDeposit', '₹', '80000']"
67,2 BHK Flat for rent in kurla (west),"₹ 44,900",₹ 150000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '44,900', '/monthDeposit', '₹', '150000']"
68,3 BHK Flat for rent in Hanuman Nagar,₹ 2.4,₹ 1000000,BHK5,5,1.0,,,,"['₹', '2.4', 'Lac', '/monthDeposit', '₹', '1000000']"
69,1 BHK Flat for rent in Matunga,"₹ 36,000",₹ 100000,BHK1,1,1.0,,,1.0,"['₹', '36,000', '/monthDeposit', '₹', '100000']"
70,2 BHK Flat for rent in Marol,"₹ 40,000",₹ 10000,BHK2,2,1.0,,,,"['₹', '40,000', '/monthDeposit', '₹', '10000']"
71,2 BHK Flat for rent in Sector-14 Koparkhairane,"₹ 35,000",₹ 100000,BHK2,2,1.0,1.0,1.0,,"['₹', '35,000', '/monthDeposit', '₹', '100000']"
72,3 BHK Flat for rent in Ghatkopar (East),"₹ 68,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '68,000', '/monthDeposit', '6', 'month(s)', 'rent']"
73,2 BHK Flat for rent in Deonar,"₹ 48,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '48,000', '/monthDeposit', '₹', '200000']"
74,3 BHK Flat for rent in Worli,₹ 1.25,₹ 500000,BHK3,3,1.0,1.0,1.0,1.0,"['₹', '1.25', 'Lac', '/monthDeposit', '₹', '500000']"
75,1 BHK Flat for rent in Goregaon (East),"₹ 30,000",₹ 125000,BHK1,1,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '125000']"
76,3 BHK Flat for rent in Malad (East),"₹ 60,000",₹ 300000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '60,000', '/monthDeposit', '₹', '300000']"
77,3 BHK Flat for rent in 60 Ft Road,"₹ 65,000",₹ 400000,BHK3,3,1.0,,,,"['₹', '65,000', '/monthDeposit', '₹', '400000']"
78,2 BHK Flat for rent in Sion (East),"₹ 40,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '40,000', '/monthDeposit', '₹', '100000']"
79,1 BHK Flat for rent in Koperkhairane,"₹ 16,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '16,000', '/monthDeposit', '₹', '50000']"
80,3 BHK Flat for rent in Kandivali (West),"₹ 70,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '70,000', '/monthDeposit', '₹', '300000']"
81,1 BHK Flat for rent in Hiranandani Estate,"₹ 25,500",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '25,500', '/monthDeposit', '6', 'month(s)', 'rent']"
82,3 BHK Flat for rent in Chembur (East),"₹ 85,000",₹ 500000,BHK3,3,1.0,1.0,1.0,,"['₹', '85,000', '/monthDeposit', '₹', '500000']"
83,2 BHK Flat for rent in Wadala,"₹ 75,000","75,000 /month",BHK2,2,1.0,1.0,1.0,,"['₹', '75,000', '/month']"
84,2 BHK Flat for rent in Vijay Nagari,"₹ 20,000",₹ 70000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '20,000', '/monthDeposit', '₹', '70000']"
85,2 BHK Flat for rent in Sector 20 Ulwe,"₹ 12,500",₹ 60000,BHK2,2,1.0,,,,"['₹', '12,500', '/monthDeposit', '₹', '60000']"
86,"2 BHK Flat for rent in NEAR D-MART GB ROAD,, Thane",₹ 7000,₹ 14400,BHK1,1,,,1.0,1.0,"['₹', '7000', '/monthDeposit', '₹', '14400']"
87,1 BHK Flat for rent in Wadala East,"₹ 31,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '31,000', '/monthDeposit', '₹', '100000']"
88,2 BHK Flat for rent in Pokhran-2,"₹ 33,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '33,000', '/monthDeposit', '₹', '200000']"
89,2 BHK Flat for rent in Goregaon (West),"₹ 33,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '33,000', '/monthDeposit', '₹', '100000']"
90,3 BHK Flat for rent in Sector 36 Seawoods,"₹ 50,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '50,000', '/monthDeposit', '6', 'month(s)', 'rent']"
91,2 BHK Flat for rent in Andheri (East),"₹ 61,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '61,000', '/monthDeposit', '₹', '200000']"
92,2 BHK Flat for rent in Andheri (East),"₹ 61,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '61,000', '/monthDeposit', '₹', '200000']"
93,2 BHK Flat for rent in Andheri (East),"₹ 61,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '61,000', '/monthDeposit', '₹', '200000']"
94,3 BHK Flat for rent in Worli,₹ 1.25,₹ 400000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.25', 'Lac', '/monthDeposit', '₹', '400000']"
95,1 BHK Flat for rent in Sector 34 Kamothe,"₹ 11,000",₹ 40000,BHK2,2,1.0,1.0,,,"['₹', '11,000', '/monthDeposit', '₹', '40000']"
96,2 BHK Flat for rent in Peddar Road,₹ 2,month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '2', 'Lac', '/monthDeposit', '3', 'month(s)', 'rent']"
97,3 BHK Flat for rent in Kandivali (East),"₹ 40,055",₹ 250000,BHK3,3,1.0,,,,"['₹', '40,055', '/monthDeposit', '₹', '250000']"
98,3 BHK Flat for rent in Vikhroli (East),"₹ 85,000",₹ 350000,BHK3,3,1.0,1.0,1.0,,"['₹', '85,000', '/monthDeposit', '₹', '350000']"
99,2 BHK Flat for rent in Goregaon (East),"₹ 32,000",₹ 125000,BHK2,2,1.0,1.0,,,"['₹', '32,000', '/monthDeposit', '₹', '125000']"
100,3 BHK Flat for rent in Swastik Park,"₹ 65,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '65,000', '/monthDeposit', '₹', '300000']"
101,3 BHK Flat for rent in Chembur (East),"₹ 74,000",₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '74,000', '/monthDeposit', '₹', '300000']"
102,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.2,₹ 400000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.2', 'Lac', '/monthDeposit', '₹', '400000']"
103,3 BHK Flat for rent in Lower Parel,₹ 2.25,₹ 1000000,BHK4,4,1.0,,,,"['₹', '2.25', 'Lac', '/monthDeposit', '₹', '1000000']"
104,2 BHK Flat for rent in Juhu,"₹ 85,000",₹ 300000,BHK2,2,1.0,,,1.0,"['₹', '85,000', '/monthDeposit', '₹', '300000']"
105,2 BHK Flat for rent in Kandivali (East),"₹ 28,055",₹ 200000,BHK2,2,1.0,,,,"['₹', '28,055', '/monthDeposit', '₹', '200000']"
106,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.8,₹ 800000,BHK4,4,1.0,,,1.0,"['₹', '1.8', 'Lac', '/monthDeposit', '₹', '800000']"
107,2 BHK Flat for rent in Sector 23 Ulwe,"₹ 13,000",₹ 70000,BHK2,2,1.0,,,,"['₹', '13,000', '/monthDeposit', '₹', '70000']"
108,2 BHK Flat for rent in Pokhran-2,"₹ 26,900",₹ 130000,BHK2,2,1.0,,,,"['₹', '26,900', '/monthDeposit', '₹', '130000']"
109,1 BHK Flat for rent in Wadala,"₹ 52,500","52,500 /month",BHK1,1,1.0,1.0,1.0,,"['₹', '52,500', '/month']"
110,2 BHK Flat for rent in Bhayander (East),"₹ 16,000",₹ 60000,BHK2,2,1.0,,,,"['₹', '16,000', '/monthDeposit', '₹', '60000']"
111,3 BHK Flat for rent in Malad (East),"₹ 59,500",₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '59,500', '/monthDeposit', '₹', '300000']"
112,1 BHK Flat for rent in Worli,"₹ 55,000",₹ 200000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '55,000', '/monthDeposit', '₹', '200000']"
113,2 BHK Flat for rent in Gypsy Rose Shastri Nager Lokhandwala,"₹ 75,000",₹ 300000,BHK2,2,1.0,,,1.0,"['₹', '75,000', '/monthDeposit', '₹', '300000']"
114,2 BHK Flat for rent in Kandivali (East),"₹ 27,000",₹ 125000,BHK2,2,1.0,,,,"['₹', '27,000', '/monthDeposit', '₹', '125000']"
115,2 BHK Flat for rent in Malad (East),"₹ 45,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '45,000', '/monthDeposit', '₹', '200000']"
116,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 2.15,₹ 500000,BHK3,3,1.0,1.0,1.0,,"['₹', '2.15', 'Lac', '/monthDeposit', '₹', '500000']"
117,2 BHK Flat for rent in Vile Parle (East),"₹ 70,000",₹ 300000,BHK2,2,1.0,,,1.0,"['₹', '70,000', '/monthDeposit', '₹', '300000']"
118,2 BHK Flat for rent in Malad (West),"₹ 45,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '45,000', '/monthDeposit', '₹', '200000']"
119,1 BHK Flat for rent in Worli,"₹ 45,000",₹ 150000,BHK2,2,1.0,1.0,1.0,,"['₹', '45,000', '/monthDeposit', '₹', '150000']"
120,2 BHK Flat for rent in Vile Parle (East),"₹ 70,000",₹ 300000,BHK2,2,1.0,,,,"['₹', '70,000', '/monthDeposit', '₹', '300000']"
121,1 BHK Flat for rent in Jankalyan Nagar,"₹ 23,000",₹ 85000,BHK2,2,1.0,,,,"['₹', '23,000', '/monthDeposit', '₹', '85000']"
122,2 BHK Flat for rent in Dombivli (East),"₹ 14,000",₹ 50000,BHK2,2,1.0,1.0,1.0,,"['₹', '14,000', '/monthDeposit', '₹', '50000']"
123,2 BHK Flat for rent in Dombivli (East),"₹ 14,000",₹ 50000,BHK2,2,1.0,1.0,1.0,,"['₹', '14,000', '/monthDeposit', '₹', '50000']"
124,4 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.6,month(s) rent,BHK4,4,1.0,,,,"['₹', '1.6', 'Lac', '/monthDeposit', '4', 'month(s)', 'rent']"
125,2 BHK Flat for rent in Sector 19A Nerul,"₹ 45,000",₹ 200000,BHK2,2,1.0,,,1.0,"['₹', '45,000', '/monthDeposit', '₹', '200000']"
126,1 BHK Flat for rent in Khar West,"₹ 40,000",₹ 100000,BHK1,1,1.0,,1.0,,"['₹', '40,000', '/monthDeposit', '₹', '100000']"
127,2 BHK Flat for rent in Andheri (East),"₹ 43,000",₹ 1,BHK2,2,1.0,,,,"['₹', '43,000', '/monthDeposit', '₹', '1']"
128,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.22,₹ 500000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.22', 'Lac', '/monthDeposit', '₹', '500000']"
129,2 BHK Flat for rent in Lokhandwala Kandivali East,"₹ 31,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '31,000', '/monthDeposit', '₹', '100000']"
130,2 BHK Flat for rent in Dombivli (East),"₹ 17,000",₹ 75000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '17,000', '/monthDeposit', '₹', '75000']"
131,2 BHK Flat for rent in Subhash Nagar,"₹ 40,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '40,000', '/monthDeposit', '₹', '200000']"
132,2 BHK Flat for rent in Mulund (East),"₹ 35,000",₹ 150000,BHK3,3,1.0,,,,"['₹', '35,000', '/monthDeposit', '₹', '150000']"
133,2 BHK Flat for rent in Kasar vadavali,"₹ 13,500",₹ 60000,BHK2,2,1.0,,,,"['₹', '13,500', '/monthDeposit', '₹', '60000']"
134,2 BHK Flat for rent in Kandivali (East),"₹ 40,007",₹ 200000,BHK2,2,1.0,,,,"['₹', '40,007', '/monthDeposit', '₹', '200000']"
135,2 BHK Flat for rent in Wadala,"₹ 66,100",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '66,100', '/monthDeposit', '₹', '200000']"
136,2 BHK Flat for rent in Kandivali (East),"₹ 38,000",₹ 200000,BHK2,2,1.0,,,1.0,"['₹', '38,000', '/monthDeposit', '₹', '200000']"
137,1 BHK Flat for rent in Sector-16 Ulwe,₹ 7000,₹ 25000,BHK1,1,1.0,,,,"['₹', '7000', '/monthDeposit', '₹', '25000']"
138,2 BHK Flat for rent in Sector-6 Airoli,"₹ 36,000",₹ 150000,BHK1,1,1.0,,,1.0,"['₹', '36,000', '/monthDeposit', '₹', '150000']"
139,2 BHK Flat for rent in Sector 1 Sanpada,"₹ 33,000",₹ 120000,BHK2,2,1.0,1.0,1.0,,"['₹', '33,000', '/monthDeposit', '₹', '120000']"
140,3 BHK Flat for rent in Kalyan (West),"₹ 18,000",₹ 60000,BHK2,2,1.0,1.0,,,"['₹', '18,000', '/monthDeposit', '₹', '60000']"
141,3 BHK Flat for rent in Bandra Kurla Complex,"₹ 91,111",₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '91,111', '/monthDeposit', '₹', '300000']"
142,3 BHK Flat for rent in Thakur Village,"₹ 30,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '150000']"
143,3 BHK Flat for rent in Sector-46 Seawoods,"₹ 55,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '55,000', '/monthDeposit', '6', 'month(s)', 'rent']"
144,3 BHK Flat for rent in Malad (East),"₹ 62,000",₹ 300000,BHK3,3,1.0,1.0,1.0,,"['₹', '62,000', '/monthDeposit', '₹', '300000']"
145,3 BHK Flat for rent in Hiranandani Gardens - Powai,₹ 1.35,₹ 500000,BHK3,3,1.0,1.0,1.0,1.0,"['₹', '1.35', 'Lac', '/monthDeposit', '₹', '500000']"
146,3 BHK Flat for rent in Goregaon (West),"₹ 50,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '50,000', '/monthDeposit', '₹', '300000']"
147,3 BHK Flat for rent in Bandra Kurla Complex,₹ 1.2,₹ 500000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.2', 'Lac', '/monthDeposit', '₹', '500000']"
148,3 BHK Flat for rent in Chembur,"₹ 50,000",₹ 200000,BHK3,3,1.0,1.0,1.0,,"['₹', '50,000', '/monthDeposit', '₹', '200000']"
149,2 BHK Flat for rent in Sector-20 Nerul,"₹ 26,500",₹ 100000,BHK2,2,1.0,,1.0,,"['₹', '26,500', '/monthDeposit', '₹', '100000']"
150,2 BHK Flat for rent in Mulund (East),"₹ 39,000",₹ 300000,BHK2,2,1.0,,,1.0,"['₹', '39,000', '/monthDeposit', '₹', '300000']"
151,1 BHK Flat for rent in Malad (West),"₹ 15,001",₹ 50000,BHK1,1,1.0,,,,"['₹', '15,001', '/monthDeposit', '₹', '50000']"
152,2 BHK Flat for rent in Kandivali (East),"₹ 28,010",₹ 150000,BHK2,2,1.0,,,,"['₹', '28,010', '/monthDeposit', '₹', '150000']"
153,2 BHK Flat for rent in Sector 7 Kharghar,"₹ 28,000",month(s) rent,BHK2,2,1.0,,1.0,,"['₹', '28,000', '/monthDeposit', '4', 'month(s)', 'rent']"
154,2 BHK Flat for rent in Sector 7 Kharghar,"₹ 28,000",month(s) rent,BHK2,2,1.0,,1.0,,"['₹', '28,000', '/monthDeposit', '4', 'month(s)', 'rent']"
155,1 BHK Flat for rent in Thakur complex,"₹ 23,400",₹ 100000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '23,400', '/monthDeposit', '₹', '100000']"
156,3 BHK Flat for rent in Kandivali (East),"₹ 35,055",₹ 230000,BHK2,2,1.0,,,,"['₹', '35,055', '/monthDeposit', '₹', '230000']"
157,3 BHK Flat for rent in Malabar Hill,₹ 3.65,₹ 900000,BHK3,3,1.0,,,,"['₹', '3.65', 'Lac', '/monthDeposit', '₹', '900000']"
158,3 BHK Flat for rent in Mulund (West),"₹ 51,200",₹ 300000,BHK4,4,1.0,,,,"['₹', '51,200', '/monthDeposit', '₹', '300000']"
159,2 BHK Flat for rent in Breach Candy,₹ 2.25,₹ 1000000,BHK2,2,1.0,,,1.0,"['₹', '2.25', 'Lac', '/monthDeposit', '₹', '1000000']"
160,1 BHK Flat for rent in Prabhadevi,"₹ 32,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '32,000', '/monthDeposit', '₹', '100000']"
