,title,price_per_month,deposit,rooms,baths,FOR FAMILY,FOR SINGLE MEN,FOR SINGLE WOMEN,FURNISHED,price
17888,3 BHK Flat for rent in Nerul,"₹ 70,000",₹ 400000,BHK3,3,1.0,,,1.0,"['₹', '70,000', '/monthDeposit', '₹', '400000']"
17889,4 BHK Flat for rent in Bandra (West),₹ 3,₹ 1500000,BHK5,5,1.0,1.0,1.0,,"['₹', '3', 'Lac', '/monthDeposit', '₹', '1500000']"
17890,2 BHK Flat for rent in Gokuldham,"₹ 45,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '45,000', '/monthDeposit', '₹', '200000']"
17891,2 BHK Flat for rent in Pinacola,"₹ 29,000",₹ 150000,BHK3,3,1.0,,,1.0,"['₹', '29,000', '/monthDeposit', '₹', '150000']"
17892,1 BHK Flat for rent in Mahim (West),"₹ 45,000",₹ 200000,BHK1,1,1.0,1.0,1.0,,"['₹', '45,000', '/monthDeposit', '₹', '200000']"
17893,3 BHK Flat for rent in Marol,"₹ 55,000",₹ 225000,BHK2,2,1.0,,,,"['₹', '55,000', '/monthDeposit', '₹', '225000']"
17894,2 BHK Flat for rent in Majiwada,"₹ 29,000",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '29,000', '/monthDeposit', '5', 'month(s)', 'rent']"
17895,3 BHK Flat for rent in Sector-4 Nerul,"₹ 70,000",₹ 400000,BHK2,2,1.0,,,,"['₹', '70,000', '/monthDeposit', '₹', '400000']"
17896,2 BHK Flat for rent in Pokhran-2,"₹ 35,000",month(s) rent,BHK2,2,1.0,,,1.0,"['₹', '35,000', '/monthDeposit', '6', 'month(s)', 'rent']"
17897,1 BHK Flat for rent in Goregaon (East),"₹ 24,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '24,000', '/monthDeposit', '₹', '100000']"
17898,2 BHK Flat for rent in Louis Wadi,"₹ 30,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '150000']"
17899,1 BHK Flat for rent in Marol,"₹ 33,000",₹ 100000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '33,000', '/monthDeposit', '₹', '100000']"
17900,1 BHK Flat for rent in Vikhroli (East),"₹ 60,000",₹ 200000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '60,000', '/monthDeposit', '₹', '200000']"
17901,1 BHK Flat for rent in Hiranandani Gardens - Powai,"₹ 40,000",₹ 200000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '40,000', '/monthDeposit', '₹', '200000']"
17902,2 BHK Flat for rent in Parel,₹ 1.55,Lac /month,BHK2,2,1.0,,,,"['₹', '1.55', 'Lac', '/month']"
17903,2 BHK Flat for rent in Kolshet Road,"₹ 24,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '24,000', '/monthDeposit', '₹', '200000']"
17904,2 BHK Flat for rent in Kolshet Road,"₹ 24,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '24,000', '/monthDeposit', '₹', '200000']"
17905,2 BHK Flat for rent in Worli Seaface,₹ 1.35,₹ 600000,BHK2,2,1.0,1.0,1.0,,"['₹', '1.35', 'Lac', '/monthDeposit', '₹', '600000']"
17906,2 BHK Flat for rent in Sector-14 Nerul,"₹ 42,000",₹ 250000,BHK2,2,1.0,,,,"['₹', '42,000', '/monthDeposit', '₹', '250000']"
17907,2 BHK Flat for rent in Aarey Milk Colony,"₹ 35,000",₹ 125000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '35,000', '/monthDeposit', '₹', '125000']"
17908,1 BHK Flat for rent in Dina Bama Estate,"₹ 27,000",₹ 100000,BHK2,2,1.0,1.0,1.0,,"['₹', '27,000', '/monthDeposit', '₹', '100000']"
17909,2 BHK Flat for rent in Sector 21 Kharghar,"₹ 22,000",₹ 75000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '22,000', '/monthDeposit', '₹', '75000']"
17910,3 BHK Flat for rent in Bandra Kurla Complex,₹ 1.75,₹ 550000,BHK3,3,1.0,,,,"['₹', '1.75', 'Lac', '/monthDeposit', '₹', '550000']"
17911,1 BHK Flat for rent in Bandra (West),"₹ 50,000",₹ 150000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '50,000', '/monthDeposit', '₹', '150000']"
17912,1 BHK Flat for rent in Powai,"₹ 35,000",₹ 80000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '35,000', '/monthDeposit', '₹', '80000']"
17913,2 BHK Flat for rent in Sangharsh Nagar,"₹ 42,000",₹ 150000,BHK2,2,1.0,1.0,1.0,,"['₹', '42,000', '/monthDeposit', '₹', '150000']"
17914,1 BHK Flat for rent in Boisar,₹ 5000,₹ 15000,BHK1,1,1.0,1.0,,,"['₹', '5000', '/monthDeposit', '₹', '15000']"
17915,1 BHK Flat for rent in Bandra (West),"₹ 53,000",₹ 150000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '53,000', '/monthDeposit', '₹', '150000']"
17916,3 BHK Flat for rent in Kasar vadavali,"₹ 25,000",₹ 100000,BHK3,3,1.0,,,,"['₹', '25,000', '/monthDeposit', '₹', '100000']"
17917,2 BHK Flat for rent in Thakur Village,"₹ 42,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '42,000', '/monthDeposit', '₹', '200000']"
17918,2 BHK Flat for rent in Sector 5 Ghansoli,"₹ 40,000",₹ 200000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '40,000', '/monthDeposit', '₹', '200000']"
17919,2 BHK Flat for rent in Gokuldham,"₹ 33,000",₹ 100000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '33,000', '/monthDeposit', '₹', '100000']"
17920,2 BHK Flat for rent in Sector 1 Kopar Khairane,"₹ 26,000",₹ 60000,BHK2,2,1.0,,,,"['₹', '26,000', '/monthDeposit', '₹', '60000']"
17921,3 BHK Flat for rent in Sector 12 Vashi,"₹ 60,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '60,000', '/monthDeposit', '₹', '300000']"
17922,2 BHK Flat for rent in Majiwada,"₹ 32,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '32,000', '/monthDeposit', '₹', '150000']"
17923,3 BHK Flat for rent in Chembur,"₹ 80,000",₹ 500000,BHK3,3,1.0,1.0,1.0,,"['₹', '80,000', '/monthDeposit', '₹', '500000']"
17924,1 BHK Flat for rent in Kolshet Road,"₹ 19,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '19,000', '/monthDeposit', '₹', '100000']"
17925,1 BHK Flat for rent in Kasar vadavali,"₹ 14,000",₹ 50000,BHK1,1,1.0,,,,"['₹', '14,000', '/monthDeposit', '₹', '50000']"
17926,3 BHK Flat for rent in Bandra (West),₹ 1.22,₹ 122000,BHK3,3,,,,1.0,"['₹', '1.22', 'Lac', '/monthDeposit', '₹', '122000']"
17927,3 BHK Flat for rent in Bandra (West),₹ 1.35,₹ 135000,BHK3,3,,,,,"['₹', '1.35', 'Lac', '/monthDeposit', '₹', '135000']"
17928,2 BHK Flat for rent in Andheri (West),"₹ 56,000",₹ 300000,BHK2,2,1.0,,,,"['₹', '56,000', '/monthDeposit', '₹', '300000']"
17929,3 BHK Flat for rent in Shivaji Park Gymkhana,₹ 1.25,month(s) rent,BHK3,3,1.0,,,,"['₹', '1.25', 'Lac', '/monthDeposit', '3', 'month(s)', 'rent']"
17930,2 BHK Flat for rent in Lower Parel,"₹ 90,000",₹ 300000,BHK2,2,1.0,1.0,1.0,,"['₹', '90,000', '/monthDeposit', '₹', '300000']"
17931,2 BHK Flat for rent in Thakur complex,"₹ 28,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '28,000', '/monthDeposit', '₹', '150000']"
17932,1 BHK Flat for rent in Mahakali Caves,"₹ 28,003",₹ 100000,BHK2,2,1.0,,,,"['₹', '28,003', '/monthDeposit', '₹', '100000']"
17933,1 BHK Flat for rent in Charkop,"₹ 26,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '26,000', '/monthDeposit', '₹', '150000']"
17934,2 BHK Flat for rent in Khar,"₹ 77,500",₹ 200000,BHK2,2,,,,,"['₹', '77,500', '/monthDeposit', '₹', '200000']"
17935,2 BHK Flat for rent in Khar,"₹ 77,500",₹ 200000,BHK2,2,,,,,"['₹', '77,500', '/monthDeposit', '₹', '200000']"
17936,1 BHK Flat for rent in Sector 9 Airoli,"₹ 14,000",₹ 50000,BHK2,2,1.0,,,,"['₹', '14,000', '/monthDeposit', '₹', '50000']"
17937,3 BHK Flat for rent in Chandivali,"₹ 85,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '85,000', '/monthDeposit', '₹', '300000']"
17938,1 BHK Flat for rent in Tilak Nagar,"₹ 30,000",₹ 100000,BHK1,1,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '100000']"
17939,2 BHK Flat for rent in Hiranandani Estate,"₹ 24,000",₹ 100000,BHK2,2,1.0,,1.0,,"['₹', '24,000', '/monthDeposit', '₹', '100000']"
17940,2 BHK Flat for rent in Sector 22 Kamothe,"₹ 16,000",₹ 60000,BHK2,2,1.0,,,,"['₹', '16,000', '/monthDeposit', '₹', '60000']"
17941,2 BHK Flat for rent in Hiranandani Estate,"₹ 32,000",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '32,000', '/monthDeposit', '6', 'month(s)', 'rent']"
17942,1 BHK Flat for rent in Goregaon (East),"₹ 18,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '18,000', '/monthDeposit', '₹', '50000']"
17943,1 BHK Flat for rent in Waghbil,"₹ 15,000",month(s) rent,BHK2,2,1.0,,,,"['₹', '15,000', '/monthDeposit', '6', 'month(s)', 'rent']"
17944,2 BHK Flat for rent in Manpada,"₹ 20,100",month(s) rent,BHK2,2,1.0,,,,"['₹', '20,100', '/monthDeposit', '6', 'month(s)', 'rent']"
17945,2 BHK Flat for rent in Ghatkopar (East),"₹ 46,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '46,000', '/monthDeposit', '₹', '200000']"
17946,2 BHK Flat for rent in Sector-35D Kharghar,"₹ 18,300",₹ 80000,BHK2,2,1.0,,,,"['₹', '18,300', '/monthDeposit', '₹', '80000']"
