,avg_price_sqft,Built Up Area,coord,lat,lng,lo_price,hi_price,one_price
0,,,"(18.938788, 72.838105)",18.938788,72.838105,11800000.0,23700000.0,
1,,,"(18.9304714, 72.8335331)",18.9304714,72.83353309999998,65000000.0,68000000.0,
2,,,"(18.9801254, 72.84028599999999)",18.9801254,72.84028599999998,33600000.0,49500000.0,
3,11090.0,789.0,"(19.160481, 72.9454193)",19.160481,72.9454193,,,8750000.0
4,,,"(19.1296654, 72.93163609999999)",19.129665399999997,72.93163609999998,10500000.0,25299999.999999996,
5,,,"(19.1300559, 72.9387868)",19.1300559,72.9387868,11200000.000000002,17600000.0,
6,27830.0,1150.0,"(18.9954087, 72.8480582)",18.9954087,72.84805820000001,,,32000000.0
7,,,"(19.0111181, 72.8319283)",19.0111181,72.83192829999999,73300000.0,98100000.0,
8,,,"(19.0670561, 72.85186449999999)",19.067056100000002,72.85186449999998,26600000.0,64300000.0,
9,,,"(19.0372959, 72.87871)",19.037295899999997,72.87871,15100000.0,42000000.0,
10,10990.0,556.0,"(19.1631138, 72.9380904)",19.1631138,72.93809040000001,,,6111000.0
11,,,"(18.9996394, 72.8253737)",18.999639399999996,72.82537370000001,36800000.0,68300000.0,
12,,,"(19.13679, 72.9306759)",19.136789999999998,72.93067590000001,12400000.0,31300000.0,
13,24560.0,1250.0,"(19.094047, 72.92266)",19.094047,72.92266,,,30700000.0
14,17500.0,1200.0,"(19.160481, 72.9454193)",19.160481,72.9454193,,,21000000.0
15,17090.0,550.0,"(19.1969201, 72.876083)",19.1969201,72.876083,,,9400000.0
16,15180.0,1100.0,"(19.2165676, 72.8655982)",19.2165676,72.86559820000001,,,16700000.0
17,30210.0,705.0,"(19.0305354, 72.8452449)",19.030535399999998,72.8452449,,,21300000.0
18,,,"(19.0771337, 72.83458499999999)",19.0771337,72.83458499999998,78000000.0,117000000.0,
19,,,"(19.118376, 72.8568849)",19.118376,72.85688490000001,16000000.0,43000000.0,
20,,,"(19.0941527, 72.92052009999999)",19.0941527,72.92052009999998,18300000.0,44800000.00000001,
21,,,"(19.1731822, 72.8696033)",19.1731822,72.8696033,16500000.0,18700000.0,
22,,,"(19.1095788, 72.9018007)",19.1095788,72.9018007,17100000.0,47100000.0,
23,,,"(19.0168866, 72.85388)",19.0168866,72.85388,23800000.0,29900000.000000004,
24,,,"(19.1840613, 72.8640314)",19.1840613,72.8640314,6900000.0,13899999.999999998,
25,,,"(19.160058, 72.9470533)",19.160058,72.9470533,13799999.999999998,23600000.0,
26,14500.0,1000.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,,,14500000.0
27,,,"(19.1985897, 72.85546409999999)",19.1985897,72.85546409999998,16100000.000000002,35000000.0,
28,,,"(19.0742111, 72.86198449999999)",19.0742111,72.86198449999998,,,19900000.0
29,12900.0,690.0,"(19.1953018, 72.8398395)",19.195301800000003,72.8398395,,,8900000.0
30,14500.0,1200.0,"(19.2165676, 72.8655982)",19.2165676,72.86559820000001,,,17400000.0
31,29480.0,1065.0,"(19.0357714, 72.85745159999999)",19.035771399999998,72.85745159999998,,,31400000.0
32,18510.0,848.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,,,15700000.0
33,13900.0,935.0,"(19.160481, 72.9454193)",19.160481,72.9454193,,,13000000.0
34,,,"(19.0566712, 72.8997346)",19.0566712,72.89973459999999,11500000.0,17600000.0,
35,,,"(19.1419959, 72.8444071)",19.141995899999998,72.8444071,19100000.0,33300000.0,
36,,,"(19.2067783, 72.84850689999999)",19.2067783,72.84850689999998,10000000.0,20299999.999999996,
37,25030.0,943.0,"(19.1969201, 72.876083)",19.1969201,72.876083,,,23600000.0
38,,,"(19.130708, 72.9317038)",19.130708,72.9317038,14800000.0,19900000.0,
39,,,"(19.0659804, 72.88390439999999)",19.065980399999997,72.88390439999998,8100000.0,14800000.0,
40,,,"(19.0855971, 72.90927940000002)",19.0855971,72.90927940000002,9800000.0,32000000.0,
41,,,"(19.116301, 72.9123412)",19.116301,72.9123412,,,12600000.0
42,,,"(19.1262732, 72.83264199999999)",19.1262732,72.83264199999998,30700000.0,42200000.0,
43,,,"(19.2037944, 72.8210831)",19.2037944,72.8210831,9200000.0,14700000.0,
44,,,"(19.1181505, 72.8567161)",19.1181505,72.8567161,15000000.0,31000000.0,
45,22670.0,750.0,"(19.1953018, 72.8398395)",19.195301800000003,72.8398395,,,17000000.0
46,35790.0,950.0,"(19.0347717, 72.8525198)",19.0347717,72.8525198,,,34000000.0
47,21430.0,700.0,"(19.2175443, 72.8534756)",19.2175443,72.8534756,,,15000000.0
48,15830.0,1200.0,"(19.1743576, 72.9627471)",19.1743576,72.96274709999999,,,19000000.0
49,25710.0,700.0,"(19.2175443, 72.8534756)",19.2175443,72.8534756,,,18000000.0
50,,,"(19.1888378, 72.8339862)",19.188837799999998,72.83398620000001,15800000.0,33200000.0,
51,,,"(19.1236962, 72.8928672)",19.1236962,72.8928672,21700000.0,54200000.0,
52,,,"(19.193901, 72.8704671)",19.193901,72.8704671,9500000.0,21500000.0,
53,,,"(19.1517821, 72.94048149999999)",19.151782100000002,72.94048149999998,11200000.000000002,14300000.0,
54,,,"(19.214243, 72.8726633)",19.214243,72.87266329999999,20099999.999999996,20400000.0,
55,,,"(19.1517345, 72.8328354)",19.1517345,72.83283540000001,110000000.0,140000000.0,
56,,,"(19.137351, 72.8340716)",19.137351000000002,72.83407159999999,36000000.0,100000000.0,
57,,,"(19.1615609, 72.9435088)",19.1615609,72.9435088,10000000.0,24500000.0,
58,,,"(19.0372959, 72.87871)",19.037295899999997,72.87871,58500000.0,95000000.0,
59,,,"(19.1289124, 72.8177657)",19.128912399999997,72.8177657,,,29900000.000000004
60,19170.0,1200.0,"(19.1464581, 72.93887509999999)",19.1464581,72.93887509999998,,,23000000.0
61,24440.0,1886.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,,,46100000.0
62,14530.0,950.0,"(19.1743576, 72.9627471)",19.1743576,72.96274709999999,,,13799999.999999998
63,25000.0,1280.0,"(19.0357714, 72.85745159999999)",19.035771399999998,72.85745159999998,,,32000000.0
64,20020.0,839.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,,,16800000.0
65,,,"(19.165003, 72.843069)",19.165003,72.843069,19800000.0,30500000.0,
66,,,"(19.16516, 72.93917429999999)",19.16516,72.93917429999998,15500000.0,34000000.0,
67,,,"(19.0620527, 72.88343549999999)",19.0620527,72.88343549999998,8568000.0,11700000.0,
68,,,"(19.221262, 72.85809499999999)",19.221262,72.85809499999998,18300000.0,44100000.0,
69,,,"(19.14731, 72.84837809999999)",19.14731,72.84837809999998,14800000.0,22200000.000000004,
70,,,"(19.1572463, 72.84051079999999)",19.1572463,72.84051079999998,21200000.0,49200000.0,
71,,,"(19.176465, 72.868985)",19.176465,72.868985,22000000.0,72300000.0,
72,,,"(18.9981214, 72.8229296)",18.9981214,72.8229296,32799999.999999996,40700000.0,
