price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides
"₹ 12,000",1 BHK Apartment for rent in Chhattarpur,,,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,North - East,Main Road,1 Open,
"₹ 18,000",3 BHK Apartment for rent in Chhattarpur 1000 sqft,,,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,North,Main Road,1 Covered,
"₹ 65,000",3 BHK Builder Floor for rent in Hauz Khas 2700 sqft,,,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,3,Immediately,North,Garden/Park,1 Open,
"₹ 25,000",2 BHK Apartment for rent in Dwarka Sector 19 900 sqft,28.57697105407715,77.04772186279297,4 out of 4 Floors,Unfurnished,Bachelors,2,1,Immediately,,Main Road,,
"₹ 27,000","3 BHK Apartment for rent in Green Valley Apartments, Dwarka Sector 22 1739 sqft",28.5594890752106,77.0586873218946,,,,,,,,,,
₹ 2 Lac,4 BHK Builder Floor for rent in Defence Colony 1800 sqft,28.575042724609375,77.23519897460938,,Semi-Furnished,Bachelors,4,3,Immediately,East,Main Road,2 Covered,
"₹ 9,000",2 BHK Builder Floor for rent in New Ashok Nagar 550 sqft,28.592716217041016,77.29749298095703,Ground out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 35,000","1 BHK Builder Floor for rent in Shivalik, Malviya Nagar",28.536296844482422,77.20820617675781,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,North - East,Garden/Park,1 Open,
"₹ 29,000",2 BHK Apartment for rent in Malviya Nagar 1125 sqft,,,1 out of 2 Floors,Unfurnished,Bachelors/Family,2,2,Immediately,,Main Road,,
"₹ 25,000",3 BHK Apartment for rent in Chhattarpur 1000 sqft,,,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 22,000",2 BHK Builder Floor for rent in Vasant Kunj Sector D 650 sqft,,,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,,,,
"₹ 75,000",3 BHK Builder Floor for rent in Panchsheel Enclave 2300 sqft,,,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,East,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 60,000",3 BHK Builder Floor for rent in Sarvapriya Vihar 1800 sqft,,,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,North,Garden/Park,1 Covered,
"₹ 11,000",2 BHK Builder Floor for rent in Shakarpur 65 sqft,,,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,
"₹ 11,000",2 BHK Builder Floor for rent in Rohini Sector 16 55 sqm,,,Ground out of 4 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,East,,,
"₹ 16,500",2 BHK Builder Floor for rent in Mayur Vihar 1 700 sqft,28.605365753173828,77.29544067382812,3 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,East,"Garden/Park, Main Road",,
"₹ 5,500",1 BHK Apartment for rent in Mahipalpur,,,3 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 10,000",1 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,
