price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides,address,gmaps_info,coord
"₹ 7,500",1 BHK Builder Floor for rent in Shahdara,28.745153427124023,77.25650024414062,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,East,"Garden/Park, Main Road",,," Shahdara, New Delhi","[{'address_components': [{'long_name': 'Shahdara', 'short_name': 'Shahdara', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Delhi', 'short_name': 'Delhi', 'types': ['locality', 'political']}, {'long_name': 'North East Delhi', 'short_name': 'North East Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Shahdara, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.711912, 'lng': 77.3050866}, 'southwest': {'lat': 28.6530789, 'lng': 77.22892209999999}}, 'location': {'lat': 28.6893535, 'lng': 77.2919352}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.711912, 'lng': 77.3050866}, 'southwest': {'lat': 28.6530789, 'lng': 77.22892209999999}}}, 'place_id': 'ChIJb5ecUA_7DDkRPP30oebbwZ4', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.6893535, 77.2919352)"
"₹ 90,000",3 BHK Builder Floor for rent in Gulmohar Park 200 sqyrd,77.2127891,28.5572098,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,North - East,Garden/Park,,," Gulmohar Park, New Delhi","[{'address_components': [{'long_name': 'Gulmohar Park', 'short_name': 'Gulmohar Park', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110049', 'short_name': '110049', 'types': ['postal_code']}], 'formatted_address': 'Gulmohar Park, New Delhi, Delhi 110049, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5607465, 'lng': 77.21622409999999}, 'southwest': {'lat': 28.5542709, 'lng': 77.208947}}, 'location': {'lat': 28.5572098, 'lng': 77.2127891}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5607465, 'lng': 77.21622409999999}, 'southwest': {'lat': 28.5542709, 'lng': 77.208947}}}, 'place_id': 'ChIJA2tLnmviDDkRheQBIV_pUKI', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.5572098, 77.2127891)"
₹ 2 Lac,4 BHK Builder Floor for rent in Gulmohar Park 500 sqyrd,77.2127891,28.5572098,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,4,4,Immediately,North - East,Garden/Park,,," Gulmohar Park, New Delhi","[{'address_components': [{'long_name': 'Gulmohar Park', 'short_name': 'Gulmohar Park', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110049', 'short_name': '110049', 'types': ['postal_code']}], 'formatted_address': 'Gulmohar Park, New Delhi, Delhi 110049, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5607465, 'lng': 77.21622409999999}, 'southwest': {'lat': 28.5542709, 'lng': 77.208947}}, 'location': {'lat': 28.5572098, 'lng': 77.2127891}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5607465, 'lng': 77.21622409999999}, 'southwest': {'lat': 28.5542709, 'lng': 77.208947}}}, 'place_id': 'ChIJA2tLnmviDDkRheQBIV_pUKI', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.5572098, 77.2127891)"
₹ 1.8 Lac,4 BHK Builder Floor for rent in Neeti Bagh 400 sqyrd,77.21680359999999,28.5595022,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,4,4,Immediately,North - East,Garden/Park,,," Neeti Bagh, New Delhi","[{'address_components': [{'long_name': 'Neeti Bagh', 'short_name': 'Neeti Bagh', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110049', 'short_name': '110049', 'types': ['postal_code']}], 'formatted_address': 'Neeti Bagh, New Delhi, Delhi 110049, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5617771, 'lng': 77.21914389999999}, 'southwest': {'lat': 28.556769, 'lng': 77.21329399999999}}, 'location': {'lat': 28.5595022, 'lng': 77.21680359999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5617771, 'lng': 77.21914389999999}, 'southwest': {'lat': 28.556769, 'lng': 77.21329399999999}}}, 'place_id': 'ChIJR3TJF2riDDkRe01ALe2_Myk', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.5595022, 77.21680359999999)"
₹ 1.8 Lac,5 BHK Builder Floor for rent in Greater Kailash 1000 sqyrd,77.2380163,28.548202,1 out of 4 Floors,Unfurnished,Bachelors/Family,5,4,Immediately,North - East,Garden/Park,,," Greater Kailash, New Delhi","[{'address_components': [{'long_name': 'Greater Kailash', 'short_name': 'Greater Kailash', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110048', 'short_name': '110048', 'types': ['postal_code']}], 'formatted_address': 'Greater Kailash, New Delhi, Delhi 110048, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5605757, 'lng': 77.250193}, 'southwest': {'lat': 28.5279221, 'lng': 77.228279}}, 'location': {'lat': 28.548202, 'lng': 77.2380163}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5605757, 'lng': 77.250193}, 'southwest': {'lat': 28.5279221, 'lng': 77.228279}}}, 'place_id': 'ChIJhRB-QC3iDDkR7eI56HRzhXU', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.548202, 77.2380163)"
"₹ 90,000",4 BHK Builder Floor for rent in Panchsheel Enclave 350 sqyrd,77.2283008,28.54482,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,4,4,Immediately,North - East,Garden/Park,,," Panchsheel Enclave, New Delhi","[{'address_components': [{'long_name': 'Panchsheel Enclave', 'short_name': 'Panchsheel Enclave', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110017', 'short_name': '110017', 'types': ['postal_code']}], 'formatted_address': 'Panchsheel Enclave, New Delhi, Delhi 110017, India', 'geometry': {'bounds': {'northeast': {'lat': 28.548654, 'lng': 77.2317441}, 'southwest': {'lat': 28.5417311, 'lng': 77.226912}}, 'location': {'lat': 28.54482, 'lng': 77.2283008}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.548654, 'lng': 77.2317441}, 'southwest': {'lat': 28.5417311, 'lng': 77.226912}}}, 'place_id': 'ChIJ26h-AjDiDDkRMsgzDEb0k7E', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.54482, 77.2283008)"
"₹ 39,000",3 BHK Builder Floor for rent in Anand Vihar 1700 sqft,28.7013645172119,77.0560836791992,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,East,Garden/Park,,," Anand Vihar, New Delhi","[{'address_components': [{'long_name': 'Anand Vihar', 'short_name': 'Anand Vihar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'East Delhi', 'short_name': 'East Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Anand Vihar, New Delhi, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.6653231, 'lng': 77.32060609999999}, 'southwest': {'lat': 28.640157, 'lng': 77.29249}}, 'location': {'lat': 28.650218, 'lng': 77.30270589999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.6653231, 'lng': 77.32060609999999}, 'southwest': {'lat': 28.640157, 'lng': 77.29249}}}, 'place_id': 'ChIJK09ZHjn7DDkRjmAoOS6PE7s', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.650218, 77.30270589999999)"
"₹ 85,000","3 BHK Builder Floor for rent in Safdarjung Development Area, Hauz Khas 1800 sqft",77.2005212,28.5506847,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,South - East,Garden/Park,"2 Covered, 2 Open",," Safdarjung Development Area, Hauz Khas, New Delhi","[{'address_components': [{'long_name': 'Safdarjung Development Area', 'short_name': 'Safdarjung Development Area', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Hauz Khas', 'short_name': 'Hauz Khas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110016', 'short_name': '110016', 'types': ['postal_code']}], 'formatted_address': 'Safdarjung Development Area, Hauz Khas, New Delhi, Delhi 110016, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5512391, 'lng': 77.20165399999999}, 'southwest': {'lat': 28.545391, 'lng': 77.1961815}}, 'location': {'lat': 28.5506847, 'lng': 77.2005212}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5512391, 'lng': 77.20165399999999}, 'southwest': {'lat': 28.545391, 'lng': 77.1961815}}}, 'place_id': 'ChIJbz2ouAviDDkRYUe2HyG0PmA', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(28.5506847, 77.2005212)"
₹ 1.8 Lac,4 BHK Builder Floor for rent in Sarvapriya Vihar 360 sqyrd,77.20674269999999,28.542767,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,4,,Immediately,,,,," Sarvapriya Vihar, New Delhi","[{'address_components': [{'long_name': 'Sarvapriya Vihar', 'short_name': 'Sarvapriya Vihar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Sarvapriya Vihar, New Delhi, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.543911, 'lng': 77.2099769}, 'southwest': {'lat': 28.53855, 'lng': 77.203669}}, 'location': {'lat': 28.542767, 'lng': 77.20674269999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.543911, 'lng': 77.2099769}, 'southwest': {'lat': 28.53855, 'lng': 77.203669}}}, 'place_id': 'ChIJUyJ46A_iDDkR__-FeCxFdW0', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.542767, 77.20674269999999)"
"₹ 10,000","1 BHK House for rent in Sarita Vihar, Mathura Road",77.28748329999999,28.5311698,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,," Sarita Vihar, Mathura Road, New Delhi","[{'address_components': [{'long_name': 'Mathura Road', 'short_name': 'Mathura Rd', 'types': ['route']}, {'long_name': 'Sarita Vihar', 'short_name': 'Sarita Vihar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Mathura Rd, Sarita Vihar, New Delhi, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5389412, 'lng': 77.2926116}, 'southwest': {'lat': 28.5243562, 'lng': 77.2832024}}, 'location': {'lat': 28.5311698, 'lng': 77.28748329999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 28.5389412, 'lng': 77.2926116}, 'southwest': {'lat': 28.5243562, 'lng': 77.2832024}}}, 'place_id': 'EjFNYXRodXJhIFJkLCBTYXJpdGEgVmloYXIsIE5ldyBEZWxoaSwgRGVsaGksIEluZGlhIi4qLAoUChIJB3gTFDfhDDkRooJzl_u7wz4SFAoSCbtyOkap5gw5EQBJIUAXLdUl', 'types': ['route']}]","(28.5311698, 77.28748329999999)"
"₹ 26,000","3 BHK Builder Floor for rent in Savitri Nagar Village, Sheikh Sarai 200 sqyrd",77.2193187,28.5393035,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,,Immediately,,,,," Savitri Nagar Village, Sheikh Sarai, New Delhi","[{'address_components': [{'long_name': 'Savitri Nagar Village', 'short_name': 'Savitri Nagar Village', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Sheikh Sarai', 'short_name': 'Sheikh Sarai', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110017', 'short_name': '110017', 'types': ['postal_code']}], 'formatted_address': 'Savitri Nagar Village, Sheikh Sarai, New Delhi, Delhi 110017, India', 'geometry': {'bounds': {'northeast': {'lat': 28.541123, 'lng': 77.2211555}, 'southwest': {'lat': 28.5379791, 'lng': 77.216332}}, 'location': {'lat': 28.5393035, 'lng': 77.2193187}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.541123, 'lng': 77.2211555}, 'southwest': {'lat': 28.5379791, 'lng': 77.216332}}}, 'place_id': 'ChIJmbdjaCLiDDkRCN1CKX-6ua4', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(28.5393035, 77.2193187)"
"₹ 25,000",2 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,,"Pool, Garden/Park, Main Road",,," Rohini Sector, New Delhi","[{'address_components': [{'long_name': 'Halar Road', 'short_name': 'Halar Rd', 'types': ['route']}, {'long_name': 'Rohini', 'short_name': 'Rohini', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Delhi', 'short_name': 'Delhi', 'types': ['locality', 'political']}, {'long_name': 'North West Delhi', 'short_name': 'North West Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110085', 'short_name': '110085', 'types': ['postal_code']}], 'formatted_address': 'Halar Rd, Rohini, Delhi, 110085, India', 'geometry': {'bounds': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}, 'location': {'lat': 28.7018804, 'lng': 77.1227164}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}}, 'place_id': 'ChIJ0yHXGuEDDTkRwBpruEgjnMQ', 'types': ['route']}]","(28.7018804, 77.1227164)"
"₹ 38,000","3 BHK Apartment for rent in DLF Capital Greens, Moti Nagar, Kirti Nagar 1630 sqft",28.666059000000004,77.150134,,,,,,,,,,," DLF Capital Greens, Moti Nagar, Kirti Nagar, New Delhi","[{'address_components': [{'long_name': 'Capital Greens', 'short_name': 'Capital Greens', 'types': ['premise']}, {'long_name': 'Karampura Industrial Area', 'short_name': 'Karampura Industrial Area', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Moti Nagar', 'short_name': 'Moti Nagar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'West Delhi', 'short_name': 'West Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110015', 'short_name': '110015', 'types': ['postal_code']}], 'formatted_address': 'DLF, Capital Greens, Karampura Industrial Area, Moti Nagar, New Delhi, Delhi 110015, India', 'geometry': {'location': {'lat': 28.6654974, 'lng': 77.1533091}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 28.6668463802915, 'lng': 77.15465808029151}, 'southwest': {'lat': 28.6641484197085, 'lng': 77.15196011970849}}}, 'place_id': 'ChIJ10wKxc4DDTkR-jRYNgrSG74', 'plus_code': {'compound_code': 'M583+58 Delhi, India', 'global_code': '7JWVM583+58'}, 'types': ['establishment', 'point_of_interest']}]","(28.6654974, 77.1533091)"
"₹ 4,000",1 BHK Apartment for rent in Rohini Sector 34,77.1227164,28.7018804,Ground out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,East,,1 Open,," Rohini Sector, New Delhi","[{'address_components': [{'long_name': 'Halar Road', 'short_name': 'Halar Rd', 'types': ['route']}, {'long_name': 'Rohini', 'short_name': 'Rohini', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Delhi', 'short_name': 'Delhi', 'types': ['locality', 'political']}, {'long_name': 'North West Delhi', 'short_name': 'North West Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110085', 'short_name': '110085', 'types': ['postal_code']}], 'formatted_address': 'Halar Rd, Rohini, Delhi, 110085, India', 'geometry': {'bounds': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}, 'location': {'lat': 28.7018804, 'lng': 77.1227164}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}}, 'place_id': 'ChIJ0yHXGuEDDTkRwBpruEgjnMQ', 'types': ['route']}]","(28.7018804, 77.1227164)"
"₹ 8,000",2 BHK Builder Floor for rent in Aya Nagar 500 sqft,77.1329417,28.4720443,1 out of 3 Floors,Furnished,Bachelors/Family,1,,Immediately,,,,," Aya Nagar, New Delhi","[{'address_components': [{'long_name': 'Aya Nagar', 'short_name': 'Aya Nagar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Aya Nagar, New Delhi, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.492272, 'lng': 77.14682100000002}, 'southwest': {'lat': 28.4491131, 'lng': 77.108071}}, 'location': {'lat': 28.4720443, 'lng': 77.1329417}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.492272, 'lng': 77.14682100000002}, 'southwest': {'lat': 28.4491131, 'lng': 77.108071}}}, 'place_id': 'ChIJyf3n4OEeDTkRmaNx980XW3s', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.4720443, 77.1329417)"
₹ 1.1 Lac,3 BHK House for rent in Safdarjung Enclave 250 sqyrd,77.1949164,28.564726,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,," Safdarjung Enclave, New Delhi","[{'address_components': [{'long_name': 'Safdarjung Enclave', 'short_name': 'Safdarjung Enclave', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South West Delhi', 'short_name': 'South West Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Safdarjung Enclave, New Delhi, Delhi, India', 'geometry': {'bounds': {'northeast': {'lat': 28.569732, 'lng': 77.20096889999999}, 'southwest': {'lat': 28.5580725, 'lng': 77.1880319}}, 'location': {'lat': 28.564726, 'lng': 77.1949164}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.569732, 'lng': 77.20096889999999}, 'southwest': {'lat': 28.5580725, 'lng': 77.1880319}}}, 'place_id': 'ChIJz7NwAXjiDDkRugH1cLcD2OY', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(28.564726, 77.1949164)"
"₹ 6,000",1 BHK Apartment for rent in Rohini Sector 35,77.1227164,28.7018804,4 out of 5 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,,,," Rohini Sector, New Delhi","[{'address_components': [{'long_name': 'Halar Road', 'short_name': 'Halar Rd', 'types': ['route']}, {'long_name': 'Rohini', 'short_name': 'Rohini', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Delhi', 'short_name': 'Delhi', 'types': ['locality', 'political']}, {'long_name': 'North West Delhi', 'short_name': 'North West Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110085', 'short_name': '110085', 'types': ['postal_code']}], 'formatted_address': 'Halar Rd, Rohini, Delhi, 110085, India', 'geometry': {'bounds': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}, 'location': {'lat': 28.7018804, 'lng': 77.1227164}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 28.7037129, 'lng': 77.1247863}, 'southwest': {'lat': 28.700085, 'lng': 77.1201117}}}, 'place_id': 'ChIJ0yHXGuEDDTkRwBpruEgjnMQ', 'types': ['route']}]","(28.7018804, 77.1227164)"
"₹ 80,000","3 BHK Builder Floor for rent in Safdarjung Development Area, Hauz Khas 2000 sqft",77.2005212,28.5506847,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,North - East,Garden/Park,"2 Covered, 1 Open",," Safdarjung Development Area, Hauz Khas, New Delhi","[{'address_components': [{'long_name': 'Safdarjung Development Area', 'short_name': 'Safdarjung Development Area', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Hauz Khas', 'short_name': 'Hauz Khas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110016', 'short_name': '110016', 'types': ['postal_code']}], 'formatted_address': 'Safdarjung Development Area, Hauz Khas, New Delhi, Delhi 110016, India', 'geometry': {'bounds': {'northeast': {'lat': 28.5512391, 'lng': 77.20165399999999}, 'southwest': {'lat': 28.545391, 'lng': 77.1961815}}, 'location': {'lat': 28.5506847, 'lng': 77.2005212}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.5512391, 'lng': 77.20165399999999}, 'southwest': {'lat': 28.545391, 'lng': 77.1961815}}}, 'place_id': 'ChIJbz2ouAviDDkRYUe2HyG0PmA', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(28.5506847, 77.2005212)"
"₹ 23,000","2 BHK Apartment for rent in Bhogal, Jangpura 765 sqft",77.2484181,28.584023,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,East,,,," Bhogal, Jangpura, New Delhi","[{'address_components': [{'long_name': 'Bhogal', 'short_name': 'Bhogal', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Jangpura', 'short_name': 'Jangpura', 'types': ['neighborhood', 'political']}, {'long_name': 'New Delhi', 'short_name': 'New Delhi', 'types': ['locality', 'political']}, {'long_name': 'South Delhi', 'short_name': 'South Delhi', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Delhi', 'short_name': 'DL', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '110014', 'short_name': '110014', 'types': ['postal_code']}], 'formatted_address': 'Jangpura, Bhogal, New Delhi, Delhi 110014, India', 'geometry': {'bounds': {'northeast': {'lat': 28.587134, 'lng': 77.2520849}, 'southwest': {'lat': 28.5793769, 'lng': 77.2440931}}, 'location': {'lat': 28.584023, 'lng': 77.2484181}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.587134, 'lng': 77.2520849}, 'southwest': {'lat': 28.5793769, 'lng': 77.2440931}}}, 'place_id': 'ChIJk8egBAfjDDkRgiR43CaloCo', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(28.584023, 77.2484181)"
