price,title,latitude,longitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 55,000","3 BHK Apartment for rent in Tower Height Apartment, Pitampura 1350 sqft",28.700154700000002,77.15098640000001,,,,,,,,,,,₹,False,55000.0,771.21
"₹ 9,000",1 BHK Apartment for rent in Rohini Sector 18,28.7162092,77.1170743,3 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,North - East,Garden/Park,2 Open,,₹,False,9000.0,126.2
"₹ 16,000","2 BHK Apartment for rent in Millennium Apartment, Rohini Sector 18 900 sqft",28.736530717079603,77.134687,,,,,,,,,,,₹,False,16000.0,224.35
"₹ 15,000",2 BHK Builder Floor for rent in Virender Nagar 100 sqyrd,,,1 out of 4 Floors,Furnished,Family,2,,Immediately,East,,1 Covered,,₹,False,15000.0,210.33
"₹ 35,000",2 BHK Builder Floor for rent in Greater Kailash 2 200 sqyrd,28.534725189208984,77.24182891845703,1 out of 3 Floors,Semi-Furnished,Bachelors,2,2,Immediately,East,Garden/Park,"1 Covered, 1 Open",,₹,False,35000.0,490.77
"₹ 25,000",Studio Apartment for rent in Saket,28.523548126220703,77.20889282226562,2 out of 3 Floors,Furnished,Bachelors,1,1,Immediately,East,Main Road,,,₹,False,25000.0,350.55
"₹ 43,000","3 BHK Apartment for rent in DDA Flats Sector D Pocket 6, Vasant Kunj Sector D 1600 sqft",28.5265735632272,77.1494911318021,,,,,,,,,,,₹,False,43000.0,602.95
₹ 1.4 Lac,"4 BHK Builder Floor for rent in Safdarjung Development Area, Hauz Khas 450 sqyrd",28.54936395,77.19905568137051,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,4,2,Immediately,North - East,Main Road,2 Open,,₹,True,1.4,1963.08
"₹ 40,000",3 BHK Apartment for rent in Vasant Kunj 1600 sqft,28.52431869506836,77.14955139160156,,Semi-Furnished,Bachelors,2,1,Immediately,North - East,Main Road,2 Open,,₹,False,40000.0,560.88
"₹ 2,500","1 BHK House for rent in Molarband Extension, Badarpur",,,Ground out of 1 Floor,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,,₹,False,2500.0,35.05
"₹ 12,000",1 BHK Apartment for rent in Chhattarpur,28.5070073,77.1754171,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,North - East,Main Road,1 Open,,₹,False,12000.0,168.26
"₹ 18,000",3 BHK Apartment for rent in Chhattarpur 1000 sqft,28.5070073,77.1754171,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,North,Main Road,1 Covered,,₹,False,18000.0,252.4
"₹ 65,000",3 BHK Builder Floor for rent in Hauz Khas 2700 sqft,28.5442564,77.2067072,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,3,Immediately,North,Garden/Park,1 Open,,₹,False,65000.0,911.43
"₹ 25,000",2 BHK Apartment for rent in Dwarka Sector 19 900 sqft,28.57697105407715,77.04772186279297,4 out of 4 Floors,Unfurnished,Bachelors,2,1,Immediately,,Main Road,,,₹,False,25000.0,350.55
"₹ 27,000","3 BHK Apartment for rent in Green Valley Apartments, Dwarka Sector 22 1739 sqft",28.5594890752106,77.0586873218946,,,,,,,,,,,₹,False,27000.0,378.59
₹ 2 Lac,4 BHK Builder Floor for rent in Defence Colony 1800 sqft,28.57504272460937,77.23519897460938,,Semi-Furnished,Bachelors,4,3,Immediately,East,Main Road,2 Covered,,₹,True,,
"₹ 9,000",2 BHK Builder Floor for rent in New Ashok Nagar 550 sqft,28.592716217041016,77.29749298095703,Ground out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,,,,₹,False,9000.0,126.2
"₹ 35,000","1 BHK Builder Floor for rent in Shivalik, Malviya Nagar",28.536296844482425,77.20820617675781,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,North - East,Garden/Park,1 Open,,₹,False,35000.0,490.77
"₹ 29,000",2 BHK Apartment for rent in Malviya Nagar 1125 sqft,28.5339201,77.2124474,1 out of 2 Floors,Unfurnished,Bachelors/Family,2,2,Immediately,,Main Road,,,₹,False,29000.0,406.64
"₹ 25,000",3 BHK Apartment for rent in Chhattarpur 1000 sqft,28.5070073,77.1754171,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,,₹,False,25000.0,350.55
"₹ 22,000",2 BHK Builder Floor for rent in Vasant Kunj Sector D 650 sqft,28.5292495,77.1541335,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,,,,,₹,False,22000.0,308.48
"₹ 75,000",3 BHK Builder Floor for rent in Panchsheel Enclave 2300 sqft,28.6385903,77.04068836247909,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,75000.0,1051.65
"₹ 60,000",3 BHK Builder Floor for rent in Sarvapriya Vihar 1800 sqft,28.5422362,77.2073492,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,North,Garden/Park,1 Covered,,₹,False,60000.0,841.32
"₹ 11,000",2 BHK Builder Floor for rent in Shakarpur 65 sqft,28.62948875,77.28106072967365,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,,₹,False,11000.0,154.24
