price,title,furnishing,tenants preferred,bathroom,availability,longitude,latitude,balcony,floor,facing,overlooking,car parking,owner resides
"₹ 16,000","2 BHK Apartment for rent in Kukatpally, NH 9 1050 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 5 Floors,,,,
"₹ 15,000","2 BHK House for rent in Gayatri Nagar, Medbowli, Inner Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 3 Floors,,,,
"₹ 15,000",3 BHK Apartment for rent in Kompally 1530 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,2 out of 4 Floors,,,,
"₹ 21,000",3 BHK Apartment for rent in Sai Nagar-Uppal 1605 sqft,Furnished,Bachelors,3,Immediately,17.400156021118164,78.5891342163086,1,3 out of 5 Floors,,,,
"₹ 9,500","2 BHK House for rent in West Venkatapuram, Secunderabad, Siddipet Road 1000 sqft",Furnished,Family,2,Immediately,,,,Ground out of 1 Floor,,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 36,500",2 BHK Apartment for rent in Madhapur 1290 sqft,Furnished,Bachelors,3,Immediately,,,2,1 out of 9 Floors,North - West,Garden/Park,,
"₹ 10,000","2 BHK Villa for rent in Peerzadiguda, NH 2 2 1750 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,,,,,
"₹ 6,500","1 BHK Penthouse for rent in Chandanagar, NH 9",Unfurnished,Bachelors,1,Immediately,17.509449005126953,78.31008911132812,1,2 out of 2 Floors,East,,,
"₹ 16,500","2 BHK Apartment for rent in Miyapur, NH 9 1050 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.521093368530273,78.34429931640625,,2 out of 5 Floors,,,,
"₹ 10,000","2 BHK House for rent in LB Nagar, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.362995147705078,78.55517578125,1,2 out of 2 Floors,North,Main Road,,
"₹ 28,000",2 BHK Apartment for rent in Kondapur 1250 sqft,Furnished,Bachelors/Family,2,Immediately,,,,1 out of 5 Floors,,,,
"₹ 25,000","3 BHK Apartment for rent in Domalguda, Himayath Nagar, NH 7 1575 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,4 out of 5 Floors,,,,
"₹ 22,000","3 BHK House for rent in Concrete OU Colony, Tanasha Nagar, Outer Ring Road 1850 sqft",,,,,17.4080024,78.3915439,,,,,,
"₹ 16,500","3 BHK Apartment for rent in Trident Grande, Kompally 1898 sqft",,,,,17.5622357986078,78.4880920923764,,,,,,
"₹ 15,000","2 BHK Apartment for rent in Gudi Malkapur, Mehdipatnam 1000 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.38923454284668,78.4422378540039,,5 out of 5 Floors,East,,"1 Covered, 1 Open",
"₹ 16,000",2 BHK Apartment for rent in Moghalpura 160 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,1 out of 3 Floors,,,,
"₹ 13,000","3 BHK Apartment for rent in Bachupally, Outer Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,1 out of 5 Floors,,,,
"₹ 25,000","2 BHK Apartment for rent in SMR Vinay Harmony County, Appa junction 1285 sqft",,,,,17.350308,78.389608,,,,,,
"₹ 23,000","3 BHK Builder Floor for rent in Hyder Nagar, NH 9 1500 sqft",Furnished,Bachelors/Family,2,Immediately,,,,1 out of 2 Floors,East,,1 Covered,
"₹ 20,000","2 BHK Apartment for rent in Sai Keerthi Estates, Chandanagar, NH 9 1200 sqft",,,,,17.4990705,78.3228208,,,,,,
"₹ 27,000","3 BHK Apartment for rent in Aditya Imperial Heights, Hafeezpet, NH 9",,,,,17.4851348,78.358788,,,,,,
"₹ 6,000","1 BHK Apartment for rent in Sunrise Homes Apartments, Upparpally, Hyderabad Expressway",,,,,,,,,,,,
"₹ 24,500","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1650 sqft",Unfurnished,Bachelors,2,Immediately,,,1,4 out of 4 Floors,North - East,Main Road,,
"₹ 9,500",2 BHK House for rent in Patelguda 1250 sqft,Semi-Furnished,Bachelors,2,Immediately,17.54598617553711,78.2869644165039,,Ground out of 1 Floor,East,"Garden/Park, Main Road",,
"₹ 36,000","3 BHK Apartment for rent in Prajay City, Hafeezpet 1485 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,7 out of 20 Floors,,,,
"₹ 12,000",2 BHK Apartment for rent in Sai Shashank Residency 1150 sqft,Unfurnished,Bachelors,2,Immediately,,,1,4 out of 5 Floors,,,,
"₹ 8,500",2 BHK House for rent in Dammaiguda 1250 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,Ground out of 1 Floor,,,,
"₹ 10,000",3 BHK House for rent in Bhanoor 1700 sqft,Unfurnished,Bachelors/Family,3,Immediately,18.482120513916016,78.69385528564453,,1 out of 1 Floor,North,,,
"₹ 37,000",3 BHK Apartment for rent in Nanakramguda 1600 sqft,Furnished,Bachelors/Family,3,Immediately,,,,1 out of 4 Floors,,,,
"₹ 24,000","3 BHK Apartment for rent in Chitrapuri Colony, Manikonda, Outer Ring Road 1800 sqft",,,,,17.41673666666667,78.37749166666667,,,,,,
"₹ 20,000",3 BHK Apartment for rent in elipsblossom heights Gachibowli 2400 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 6 Floors,,,,
"₹ 10,000","1 BHK Apartment for rent in Shanti Bagh Apartments, Begumpet",,,,,,,,,,,,
"₹ 15,000","2 BHK House for rent in Hyder Nagar, NH 9 1500 sqft",Unfurnished,Bachelors/Family,2,Immediately,,,,2 out of 3 Floors,,,,
"₹ 45,000","3 BHK Builder Floor for rent in Banjara Hills, NH 9 2500 sqft",Furnished,Bachelors,3,Immediately,17.415895462036133,78.43576049804688,2,3 out of 6 Floors,East,"Pool, Garden/Park, Main Road",,
"₹ 25,000","2 BHK Builder Floor for rent in Lakdikapul, NH 9 1750 sqft",Unfurnished,Bachelors,1,Immediately,,,,2 out of 4 Floors,,,10 Open,
"₹ 18,000","2 BHK Builder Floor for rent in Padmanabha Nagar, Mehdipatnam 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,1,2 out of 2 Floors,East,,,
"₹ 15,500","3 BHK Apartment for rent in Tellapur, Outer Ring Road 1800 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,6 out of 10 Floors,,,,
"₹ 9,000",2 BHK House for rent in Dammaiguda 1350 sqft,Unfurnished,Bachelors,2,Immediately,17.5012474060059,78.599723815918,,Ground out of 1 Floor,West,,,
"₹ 25,000","3 BHK Builder Floor for rent in Manikonda, Outer Ring Road 1800 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 5 Floors,,,,
"₹ 27,500","3 BHK Apartment for rent in Aditya Imperial Heights, Hafeezpet, NH 9 1500 sqft",,,,,17.4851348,78.358788,,,,,,
"₹ 15,000","3 BHK Apartment for rent in Saket Sriyam, Dr A.S. Rao Nagar",,,,,17.4889087684143,78.5695835663441,,,,,,
"₹ 20,000",3 BHK Apartment for rent in Toli Chowki 2000 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,4 out of 5 Floors,,,,
"₹ 10,000","2 BHK House for rent in Shilpa Nagar, Secunderabad 1300 sqft",Unfurnished,Family,2,From Mar '20,17.482942581176758,78.60226440429688,1,Ground out of 3 Floors,West,Main Road,1 Covered,
"₹ 40,000",3 BHK Apartment for rent in Hitech City 1900 sqft,Furnished,Bachelors/Family,3,Immediately,78.37617492675781,17.447917938232422,2,2 out of 5 Floors,West,Main Road,1 Covered,
"₹ 25,000","3 BHK Apartment for rent in Hafeezpet, NH 9",Furnished,Bachelors/Family,2,Immediately,,,1,3 out of 5 Floors,,,,
"₹ 12,000","3 BHK House for rent in Beeramguda, Ramachandra Puram, NH 9 1200 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.493444442749023,78.29805755615234,2,Ground out of 1 Floor,East,"Garden/Park, Main Road",,
"₹ 21,000","3 BHK Apartment for rent in Manikonda, Outer Ring Road 1250 sqft",Furnished,Bachelors,2,Immediately,17.395299911499023,78.36126708984375,2,,North,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 12,900",2 BHK House for rent in Sainikpuri 200 sqyrd,Unfurnished,Family,2,From Apr '20,,,,1 out of 1 Floor,,,"1 Covered, 2 Open",
"₹ 13,500","3 BHK Villa for rent in Beeramguda, Ramachandra Puram, NH 9 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.51835823059082,78.30586242675781,1,,East,"Main Road, Garden/Park, Pool",,
"₹ 43,000","3 BHK Apartment for rent in Aparna Serene Park, Kondapur 2225 sqft",,,,,17.4640338,78.337495,,,,,,
"₹ 6,000","2 BHK House for rent in Peerzadiguda, NH 2 2 1000 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.307004928588867,78.41996002197266,1,2 out of 2 Floors,North - East,Main Road,,
"₹ 17,000",3 BHK Apartment for rent in Praneeth Pranav Zenith 1280 sqft,Furnished,Bachelors,2,Immediately,,,2,5 out of 5 Floors,East,"Pool, Garden/Park, Main Road",,
"₹ 49,000","3 BHK Builder Floor for rent in Gachibowli, Outer Ring Road 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,1,1 out of 2 Floors,,,1 Open,
"₹ 26,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1025 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,22 out of 25 Floors,,,,
"₹ 10,500",2 BHK House for rent in Gajularamaram 1000 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,4 out of 4 Floors,,,,
"₹ 8,500","1 BHK Builder Floor for rent in Kukatpally, NH 9",Unfurnished,Bachelors,1,From Mar '20,,,2,2 out of 3 Floors,East,,,
"₹ 22,000","3 BHK Apartment for rent in Janapriya Metropolis, Moti Nagar 1460 sqft",,,,,17.456138,78.42833931,,,,,,
"₹ 11,000",3 BHK House for rent in Aminpur,Unfurnished,Bachelors/Family,3,Immediately,17.52031898498535,78.33340454101562,1,1 out of 2 Floors,East,,,
"₹ 8,000","1 BHK Apartment for rent in Ameerpet, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.439186096191406,78.44463348388672,1,2 out of 4 Floors,East,Main Road,,
"₹ 9,500",2 BHK Apartment for rent in Alwal 1000 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,2 out of 2 Floors,,,,
"₹ 10,500",2 BHK Apartment for rent in Attapur 1180 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,2,1 out of 5 Floors,,,,
"₹ 20,000","2 BHK House for rent in Old Alwal, Secunderabad, Siddipet Road 2000 sqft",Semi-Furnished,Bachelors,2,Immediately,17.50795555114746,78.49589538574219,2,Ground out of 1 Floor,,,,
"₹ 6,000",2 BHK House for rent in Chandrayangutta 650 sqft,Unfurnished,Bachelors/Family,1,Immediately,,,,1 out of 2 Floors,,,,
"₹ 16,000",3 BHK Builder Floor for rent in Bandlaguda Jagir 1650 sqft,Unfurnished,Family,3,Immediately,17.443832397460938,78.47359466552734,2,4 out of 4 Floors,North,Main Road,1 Covered,
"₹ 15,000",3 BHK Apartment for rent in Pragati Nagar 1458 sqft,Furnished,Bachelors/Family,3,Immediately,,,,4 out of 5 Floors,,,,
"₹ 8,500","1 BHK House for rent in Malakpet, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.368732452392578,78.50315856933594,2,1 out of 2 Floors,North,,,
"₹ 7,500",2 BHK Builder Floor for rent in Nehru Nagar-Ramanthpur 870 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,1,1 out of 4 Floors,,,,
"₹ 24,000","2 BHK Apartment for rent in Punjagutta, NH 9 1200 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,1,1 out of 5 Floors,North - East,Garden/Park,1 Covered,
₹ 1 Lac,"4 BHK Villa for rent in Grand Boulevard, Gachibowli, Outer Ring Road 4200 sqft",,,,,17.4051398891899,78.3306951696323,,,,,,
"₹ 18,500","2 BHK Apartment for rent in Ameerpet, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,1 out of 5 Floors,,,,
"₹ 7,000","2 BHK Apartment for rent in Vishal Residency, Kothapet 1000 sqft",,,,,,,,,,,,
"₹ 9,000",2 BHK Builder Floor for rent in Nizampet 1052 sqft,Unfurnished,Bachelors/Family,2,From Mar '20,,,,2 out of 4 Floors,,,,
"₹ 24,000","3 BHK Builder Floor for rent in Panchavati Colony, Peerzadiguda, NH 2 2 1442 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 5 Floors,,,,
"₹ 12,500","2 BHK House for rent in Beeramguda, Ramachandra Puram, NH 9 1500 sqft",Semi-Furnished,Family,2,Immediately,17.523033296090276,78.29516603265756,,Ground out of 1 Floor,East,Main Road,2 Covered,
"₹ 16,000","1 BHK Penthouse for rent in Banjara Hills, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.415895462036133,78.43576049804688,3,3 out of 3 Floors,East,"Garden/Park, Main Road",,
"₹ 36,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1198 sqft",Semi-Furnished,Family,2,Immediately,17.424196243286133,78.34105682373047,2,10 out of 27 Floors,West,"Garden/Park, Pool, Main Road",1 Covered,
"₹ 20,000","3 BHK Apartment for rent in Manikonda, Outer Ring Road 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.406845092773438,78.3726806640625,,1 out of 5 Floors,,,,
"₹ 21,150","2 BHK House for rent in Aditya Nagar, Hafeezpet 1200 sqft",Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 6 Floors,,,,
"₹ 7,500","1 BHK Apartment for rent in Nagarjuna Nagar, Secunderabad",Semi-Furnished,Bachelors/Family,1,From Mar '20,,,1,2 out of 4 Floors,West,Main Road,,
"₹ 14,000",3 BHK House for rent in Nagole 1500 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,,1 out of 1 Floor,,,,
"₹ 12,500","2 BHK Apartment for rent in Moti Nagar-Erragadda, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,2,2 out of 5 Floors,North,Main Road,,
"₹ 8,500","2 BHK House for rent in Peerzadiguda, NH 2 2 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.40196990966797,78.6095199584961,,Ground out of 1 Floor,West,Main Road,,
"₹ 19,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1200 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.454535067619776,78.34046164550784,,1 out of 5 Floors,,,,
"₹ 13,000","2 BHK Apartment for rent in Boduppal, NH 2 2 1600 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 3 Floors,,,,
"₹ 24,000",2 BHK Apartment for rent in Kondapur 1200 sqft,Semi-Furnished,Bachelors,2,Immediately,17.462682723999023,78.35317993164062,1,1 out of 5 Floors,West,Main Road,,
"₹ 15,500","2 BHK Apartment for rent in Sanjeeva Reddy Nagar, NH 9 1000 sqft",Unfurnished,Family,2,Immediately,,,1,2 out of 2 Floors,East,,,
