price,bathroom,longitude,latitude,coord,bhk,sqft
24500.0,2.0,78.3588692,17.428599399999996,"(17.4285994, 78.3588692)",2.0,1650.0
9500.0,2.0,17.54598617553711,78.2869644165039,"(17.5457997, 78.28605379999999)",2.0,1250.0
36000.0,3.0,78.35506629999998,17.492384899999998,"(17.4923849, 78.35506629999999)",3.0,1485.0
12000.0,2.0,78.36615440000001,17.5466441,"(17.5466441, 78.3661544)",2.0,1150.0
8500.0,2.0,78.5938192,17.5003026,"(17.5003026, 78.5938192)",2.0,1250.0
10000.0,3.0,18.482120513916016,78.69385528564453,"(17.4735741, 78.17354379999999)",3.0,1700.0
37000.0,3.0,78.3423777,17.4169142,"(17.4169142, 78.3423777)",3.0,1600.0
24000.0,,17.41673666666667,78.37749166666667,"(17.4153172, 78.3556287)",3.0,1800.0
20000.0,3.0,78.4257865,17.3930122,"(17.3930122, 78.4257865)",3.0,2400.0
10000.0,,78.45570099999998,17.4384646,"(17.4384646, 78.45570099999999)",1.0,
15000.0,2.0,78.3848778,17.499282,"(17.499282, 78.3848778)",2.0,1500.0
45000.0,3.0,17.415895462036133,78.43576049804688,"(17.4244895, 78.4535709)",3.0,2500.0
25000.0,1.0,78.4622181,17.4028108,"(17.4028108, 78.4622181)",2.0,1750.0
18000.0,2.0,78.42794190000001,17.391485199999998,"(17.3914852, 78.4279419)",2.0,1100.0
15500.0,2.0,78.2511115,17.4578074,"(17.4578074, 78.2511115)",3.0,1800.0
9000.0,2.0,17.5012474060059,78.599723815918,"(17.5003026, 78.5938192)",2.0,1350.0
25000.0,3.0,78.3556287,17.4153172,"(17.4153172, 78.3556287)",3.0,1800.0
27500.0,,17.4851348,78.358788,"(17.4840305, 78.35881049999999)",3.0,1500.0
15000.0,,17.4889087684143,78.5695835663441,"(17.4888905, 78.5704573)",3.0,
20000.0,2.0,78.4156933,17.399002300000003,"(17.3990023, 78.4156933)",3.0,2000.0
10000.0,2.0,17.482942581176758,78.60226440429688,"(17.4829201, 78.6044052)",2.0,1300.0
40000.0,3.0,78.37617492675781,17.447917938232422,"(17.4434646, 78.3771953)",3.0,1900.0
25000.0,2.0,78.35702909999998,17.4955379,"(17.4955379, 78.35702909999999)",3.0,
12000.0,3.0,17.493444442749027,78.29805755615234,"(17.509399, 78.29983829999999)",3.0,1200.0
21000.0,2.0,17.395299911499027,78.36126708984375,"(17.4153172, 78.3556287)",3.0,1250.0
12900.0,2.0,78.54690149999998,17.492838,"(17.492838, 78.54690149999999)",2.0,200.0
13500.0,3.0,17.51835823059082,78.30586242675781,"(17.509399, 78.29983829999999)",3.0,1600.0
43000.0,,17.464033800000006,78.33749499999998,"(17.4640287, 78.33747629999999)",3.0,2225.0
6000.0,2.0,17.307004928588867,78.41996002197266,"(17.4097358, 78.6016437)",2.0,1000.0
17000.0,2.0,78.36653799999998,17.542417999999998,"(17.542418, 78.36653799999999)",3.0,1280.0
49000.0,3.0,78.3588692,17.428599399999996,"(17.4285994, 78.3588692)",3.0,1600.0
26000.0,2.0,78.3588692,17.428599399999996,"(17.4285994, 78.3588692)",2.0,1025.0
10500.0,2.0,78.4022446,17.534962699999998,"(17.5349627, 78.4022446)",2.0,1000.0
8500.0,1.0,78.39914559999998,17.4948682,"(17.4948682, 78.3991456)",1.0,
22000.0,,17.456138,78.42833931,"(17.4564916, 78.4288957)",3.0,1460.0
11000.0,3.0,17.520318984985348,78.33340454101562,"(17.5171428, 78.315742)",3.0,
8000.0,1.0,17.439186096191403,78.44463348388672,"(17.4355539, 78.44474699999999)",1.0,
9500.0,3.0,78.5066233,17.4967016,"(17.4967016, 78.5066233)",2.0,1000.0
10500.0,2.0,78.4304712,17.369888699999997,"(17.3698887, 78.4304712)",2.0,1180.0
20000.0,2.0,17.50795555114746,78.49589538574219,"(17.4975276, 78.5132589)",2.0,2000.0
6000.0,1.0,78.4743396,17.305087399999998,"(17.3050874, 78.4743396)",2.0,650.0
16000.0,3.0,17.443832397460938,78.47359466552734,"(17.3629719, 78.3943263)",3.0,1650.0
15000.0,3.0,78.39625290000001,17.518636899999997,"(17.5186369, 78.3962529)",3.0,1458.0
8500.0,1.0,17.368732452392578,78.50315856933594,"(17.3773139, 78.4922217)",1.0,
7500.0,2.0,78.5343079,17.3969693,"(17.3969693, 78.5343079)",2.0,870.0
24000.0,2.0,78.45312690000002,17.425387399999998,"(17.4253874, 78.4531269)",2.0,1200.0
,,17.4051398891899,78.3306951696323,"(17.4049037, 78.3310594)",4.0,4200.0
18500.0,2.0,78.44474699999998,17.4355539,"(17.4355539, 78.44474699999999)",2.0,1150.0
7000.0,,78.5442132,17.373625699999998,"(17.3736257, 78.5442132)",2.0,1000.0
9000.0,2.0,78.3778542,17.519667499999997,"(17.5196675, 78.3778542)",2.0,1052.0
24000.0,2.0,78.6098059,17.399057100000004,"(17.3990571, 78.6098059)",3.0,1442.0
12500.0,2.0,17.523033296090276,78.29516603265756,"(17.509399, 78.29983829999999)",2.0,1500.0
16000.0,1.0,17.415895462036133,78.43576049804688,"(17.4244895, 78.4535709)",1.0,
36000.0,2.0,17.424196243286133,78.34105682373047,"(17.4285994, 78.3588692)",2.0,1198.0
20000.0,3.0,17.406845092773438,78.3726806640625,"(17.4153172, 78.3556287)",3.0,1600.0
21150.0,2.0,78.36573419999998,17.4806393,"(17.4806393, 78.36573419999999)",2.0,1200.0
7500.0,1.0,78.5406801,17.4253515,"(17.4253515, 78.5406801)",1.0,
14000.0,2.0,78.5695016,17.3714737,"(17.3714737, 78.5695016)",3.0,1500.0
12500.0,2.0,78.4318673,17.460578899999998,"(17.4605789, 78.4318673)",2.0,1150.0
8500.0,2.0,17.401969909667972,78.6095199584961,"(17.4097358, 78.6016437)",2.0,1100.0
19000.0,2.0,17.454535067619773,78.34046164550784,"(17.4285994, 78.3588692)",2.0,1200.0
13000.0,2.0,78.363964,17.439055,"(17.439055, 78.363964)",2.0,1600.0
24000.0,2.0,17.462682723999027,78.35317993164062,"(17.4698577, 78.3578246)",2.0,1200.0
15500.0,2.0,78.4418183,17.441643300000003,"(17.4416433, 78.4418183)",2.0,1000.0
31000.0,3.0,78.39080349999998,17.448583499999998,"(17.4485835, 78.39080349999999)",3.0,1500.0
9000.0,1.0,17.367401123046875,78.52318572998047,"(17.3684998, 78.53158959999999)",1.0,
17000.0,3.0,78.5415931,17.4300625,"(17.4300625, 78.5415931)",3.0,1465.0
11000.0,1.0,17.523937225341793,78.42308044433594,"(17.499282, 78.3848778)",1.0,
25000.0,3.0,78.6098059,17.399057100000004,"(17.3990571, 78.6098059)",3.0,1550.0
30000.0,3.0,17.405160903930664,78.48606872558594,"(17.4085878, 78.4753216)",3.0,1800.0
28000.0,6.0,78.4304712,17.369888699999997,"(17.3698887, 78.4304712)",6.0,3500.0
15000.0,1.0,17.44356346130371,78.33977508544922,"(17.4285994, 78.3588692)",1.0,
13000.0,2.0,17.4286804199219,78.6440505981445,"(17.385044, 78.486671)",3.0,1360.0
25000.0,2.0,17.421821594238278,78.38440704345703,"(17.4178301, 78.3889717)",2.0,1330.0
16000.0,3.0,78.4070691,17.432589399999998,"(17.4325894, 78.4070691)",3.0,1500.0
35000.0,3.0,17.413887023925778,78.34127044677734,"(17.4169142, 78.3423777)",3.0,2030.0
50000.0,3.0,78.3920437,17.4785496,"(17.4785496, 78.3920437)",3.0,1854.0
